year,age_gr,migback,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,No migration background,Yes,0.08315,163,1918,0.07079,0.09551
1999,17-29 y.,No migration background,No,0.80770,1755,1918,0.79006,0.82535
1999,17-29 y.,Direct migration background,No,0.92875,353,353,0.90187,0.95562
1999,17-29 y.,Indirect migration background,No,0.87912,438,438,0.84855,0.90968
1999,30-45 y.,No migration background,Yes,0.10017,351,3375,0.09004,0.11030
1999,30-45 y.,No migration background,No,0.75277,3024,3375,0.73822,0.76733
1999,30-45 y.,Direct migration background,No,0.89877,689,689,0.87623,0.92131
1999,30-45 y.,Indirect migration background,No,0.87013,83,83,0.79737,0.94289
1999,46-65 y.,No migration background,Yes,0.09269,258,2892,0.08212,0.10326
1999,46-65 y.,No migration background,No,0.76193,2634,2892,0.74640,0.77746
1999,46-65 y.,Direct migration background,No,0.87830,798,798,0.85560,0.90100
1999,66 and older,No migration background,Yes,0.06893,94,1414,0.05572,0.08213
1999,66 and older,No migration background,No,0.83445,1320,1414,0.81507,0.85383
1999,66 and older,Direct migration background,No,0.87811,227,227,0.83546,0.92077
2000,17-29 y.,No migration background,Yes,0.07836,252,3014,0.06876,0.08795
2000,17-29 y.,No migration background,No,0.80866,2762,3014,0.79462,0.82271
2000,17-29 y.,Direct migration background,No,0.91489,547,547,0.89148,0.93830
2000,17-29 y.,Indirect migration background,No,0.89355,562,562,0.86803,0.91907
2000,30-45 y.,No migration background,Yes,0.09641,634,5896,0.08888,0.10395
2000,30-45 y.,No migration background,No,0.75781,5262,5896,0.74687,0.76875
2000,30-45 y.,Direct migration background,Yes,0.03749,40,1124,0.02638,0.04860
2000,30-45 y.,Direct migration background,No,0.90360,1084,1124,0.88634,0.92086
2000,30-45 y.,Indirect migration background,No,0.74312,124,124,0.66591,0.82034
2000,46-65 y.,No migration background,Yes,0.10564,619,5579,0.09758,0.11371
2000,46-65 y.,No migration background,No,0.74460,4960,5579,0.73315,0.75604
2000,46-65 y.,Direct migration background,Yes,0.05112,45,1117,0.03820,0.06405
2000,46-65 y.,Direct migration background,No,0.87351,1072,1117,0.85401,0.89301
2000,66 and older,No migration background,Yes,0.06942,212,2942,0.06024,0.07861
2000,66 and older,No migration background,No,0.83998,2730,2942,0.82673,0.85323
2000,66 and older,Direct migration background,No,0.90383,327,327,0.87183,0.93584
2001,17-29 y.,No migration background,Yes,0.08430,241,2725,0.07387,0.09474
2001,17-29 y.,No migration background,No,0.80411,2484,2725,0.78920,0.81901
