year,pgisced97,quintil_oecd,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No answer / don't know,1st Quintile,No,0.97410,92,92,0.94147,1.00674
1999,No answer / don't know,2nd Quintile,No,0.84386,53,53,0.74519,0.94252
1999,No answer / don't know,3rd Quintile,No,0.84203,33,33,0.71566,0.96840
1999,No answer / don't know,4th Quintile,No,0.92739,35,35,0.84016,1.01461
1999,Pre-primary Level,1st Quintile,No,0.97305,67,67,0.93398,1.01212
1999,Pre-primary Level,2nd Quintile,No,0.97703,80,80,0.94399,1.01006
1999,Pre-primary Level,3rd Quintile,No,0.90233,42,42,0.81145,0.99320
1999,Pre-primary Level,4th Quintile,No,0.88825,31,31,0.77551,1.00099
1999,Primary Level,1st Quintile,No,0.99655,175,175,0.98783,1.00526
1999,Primary Level,3rd Quintile,No,0.98555,74,74,0.95817,1.01293
1999,Primary Level,4th Quintile,No,0.97083,50,50,0.92371,1.01795
1999,Lower Secondary Level,1st Quintile,No,0.97113,705,705,0.95876,0.98350
1999,Lower Secondary Level,2nd Quintile,No,0.98380,582,582,0.97354,0.99407
1999,Lower Secondary Level,3rd Quintile,No,0.96716,456,456,0.95079,0.98354
1999,Lower Secondary Level,4th Quintile,No,0.93721,327,327,0.91088,0.96354
1999,Lower Secondary Level,5th Quintile,Yes,0.19561,32,205,0.14118,0.25005
1999,Lower Secondary Level,5th Quintile,No,0.80439,173,205,0.74995,0.85882
1999,Upper Secondary Level,1st Quintile,Yes,0.05415,46,1188,0.04128,0.06702
1999,Upper Secondary Level,1st Quintile,No,0.94585,1142,1188,0.93298,0.95872
1999,Upper Secondary Level,2nd Quintile,Yes,0.05132,61,1503,0.04016,0.06248
1999,Upper Secondary Level,2nd Quintile,No,0.94868,1442,1503,0.93752,0.95984
1999,Upper Secondary Level,3rd Quintile,Yes,0.06689,90,1422,0.05390,0.07988
1999,Upper Secondary Level,3rd Quintile,No,0.93311,1332,1422,0.92012,0.94610
1999,Upper Secondary Level,4th Quintile,Yes,0.10854,123,1281,0.09150,0.12559
1999,Upper Secondary Level,4th Quintile,No,0.89146,1158,1281,0.87441,0.90850
1999,Upper Secondary Level,5th Quintile,Yes,0.20297,178,956,0.17746,0.22848
1999,Upper Secondary Level,5th Quintile,No,0.79703,778,956,0.77152,0.82254
1999,Post-secondary Non-tertiary Level,1st Quintile,No,0.95509,70,70,0.90621,1.00396
1999,Post-secondary Non-tertiary Level,2nd Quintile,No,0.87329,73,73,0.79646,0.95013
