year,sampreg,sex,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,West,male,Yes,0.09846,340,4065,0.08930,0.10762
1999,West,male,No,0.90154,3725,4065,0.89238,0.91070
1999,West,female,Yes,0.11129,448,4629,0.10223,0.12035
1999,West,female,No,0.88871,4181,4629,0.87965,0.89777
1999,East,male,Yes,0.04615,82,1695,0.03616,0.05614
1999,East,male,No,0.95385,1613,1695,0.94386,0.96384
1999,East,female,Yes,0.04165,73,1897,0.03265,0.05064
1999,East,female,No,0.95835,1824,1897,0.94936,0.96735
2000,West,male,Yes,0.10484,729,7325,0.09783,0.11186
2000,West,male,No,0.89516,6596,7325,0.88814,0.90217
2000,West,female,Yes,0.11321,923,8512,0.10648,0.11995
2000,West,female,No,0.88679,7589,8512,0.88005,0.89352
2000,East,male,Yes,0.04133,104,2571,0.03364,0.04903
2000,East,male,No,0.95867,2467,2571,0.95097,0.96636
2000,East,female,Yes,0.04103,114,2930,0.03385,0.04822
2000,East,female,No,0.95897,2816,2930,0.95178,0.96615
2001,West,male,Yes,0.10664,642,6554,0.09917,0.11412
2001,West,male,No,0.89336,5912,6554,0.88588,0.90083
2001,West,female,Yes,0.11606,856,7714,0.10891,0.12321
2001,West,female,No,0.88394,6858,7714,0.87679,0.89109
2001,East,male,Yes,0.04697,111,2413,0.03852,0.05541
2001,East,male,No,0.95303,2302,2413,0.94459,0.96148
2001,East,female,Yes,0.03711,110,2703,0.02999,0.04424
2001,East,female,No,0.96289,2593,2703,0.95576,0.97001
2002,West,male,Yes,0.11041,836,6669,0.10289,0.11793
2002,West,male,No,0.88959,5833,6669,0.88207,0.89711
2002,West,female,Yes,0.12407,1092,7863,0.11678,0.13135
2002,West,female,No,0.87593,6771,7863,0.86865,0.88322
2002,East,male,Yes,0.05030,129,2371,0.04150,0.05910
2002,East,male,No,0.94970,2242,2371,0.94090,0.95850
2002,East,female,Yes,0.04189,135,2659,0.03427,0.04950
2002,East,female,No,0.95811,2524,2659,0.95050,0.96573
2003,West,male,Yes,0.10882,805,6373,0.10117,0.11647
2003,West,male,No,0.89118,5568,6373,0.88353,0.89883
2003,West,female,Yes,0.12572,1053,7530,0.11823,0.13321
2003,West,female,No,0.87428,6477,7530,0.86679,0.88177
2003,East,male,Yes,0.04692,123,2314,0.03831,0.05554
2003,East,male,No,0.95308,2191,2314,0.94446,0.96169
2003,East,female,Yes,0.05715,159,2620,0.04826,0.06604
2003,East,female,No,0.94285,2461,2620,0.93396,0.95174
2004,West,male,Yes,0.11988,833,6192,0.11179,0.12798
2004,West,male,No,0.88012,5359,6192,0.87202,0.88821
2004,West,female,Yes,0.13110,1084,7335,0.12338,0.13883
2004,West,female,No,0.86890,6251,7335,0.86117,0.87662
