year,age_gr,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Yes,0.10493,317,2855,0.09368,0.11617
2009,17-29 y.,No,0.82945,2538,2855,0.81566,0.84325
2009,30-45 y.,Yes,0.16349,699,4676,0.15289,0.17409
2009,30-45 y.,No,0.83651,3977,4676,0.82591,0.84711
2009,46-65 y.,Yes,0.22143,1381,6325,0.21119,0.23166
2009,46-65 y.,No,0.77857,4944,6325,0.76834,0.78881
2009,66 and older,Yes,0.28481,1095,4162,0.27109,0.29852
2009,66 and older,No,0.71519,3067,4162,0.70148,0.72891
2011,17-29 y.,Yes,0.08342,310,2994,0.07352,0.09333
2011,17-29 y.,No,0.75132,2684,2994,0.73583,0.76680
2011,30-45 y.,Yes,0.10665,635,4856,0.09797,0.11533
2011,30-45 y.,No,0.68080,4221,4856,0.66769,0.69391
2011,46-65 y.,Yes,0.15389,1159,7775,0.14587,0.16191
2011,46-65 y.,No,0.80413,6616,7775,0.79531,0.81295
2011,66 and older,Yes,0.15993,787,5120,0.14989,0.16997
2011,66 and older,No,0.83926,4333,5120,0.82920,0.84932
2013,17-29 y.,Yes,0.07738,295,2536,0.06697,0.08778
2013,17-29 y.,No,0.61659,2241,2536,0.59766,0.63552
2013,30-45 y.,Yes,0.09575,551,4073,0.08671,0.10479
2013,30-45 y.,No,0.58533,3522,4073,0.57019,0.60046
2013,46-65 y.,Yes,0.14414,1133,7320,0.13609,0.15219
2013,46-65 y.,No,0.75897,6187,7320,0.74917,0.76876
2013,66 and older,Yes,0.14868,750,4937,0.13875,0.15860
2013,66 and older,No,0.84438,4187,4937,0.83426,0.85449
2015,17-29 y.,Yes,0.10041,436,3923,0.09100,0.10981
2015,17-29 y.,No,0.78510,3487,3923,0.77224,0.79795
2015,30-45 y.,Yes,0.13134,939,7356,0.12362,0.13906
2015,30-45 y.,No,0.82149,6417,7356,0.81274,0.83024
2015,46-65 y.,Yes,0.15870,1319,8878,0.15109,0.16630
2015,46-65 y.,No,0.83280,7559,8878,0.82504,0.84057
2015,66 and older,Yes,0.16804,803,4883,0.15755,0.17853
2015,66 and older,No,0.83093,4080,4883,0.82042,0.84145
2017,17-29 y.,Yes,0.11695,521,4360,0.10741,0.12649
2017,17-29 y.,No,0.79505,3839,4360,0.78307,0.80703
2017,30-45 y.,Yes,0.14667,999,7257,0.13853,0.15481
2017,30-45 y.,No,0.84284,6258,7257,0.83446,0.85121
2017,46-65 y.,Yes,0.16748,1583,9973,0.16015,0.17481
2017,46-65 y.,No,0.83026,8390,9973,0.82289,0.83762
2017,66 and older,Yes,0.16476,819,4959,0.15443,0.17508
2017,66 and older,No,0.83492,4140,4959,0.82459,0.84526
2019,17-29 y.,Yes,0.12107,459,3843,0.11076,0.13139
2019,17-29 y.,No,0.78404,3384,3843,0.77103,0.79705
2019,30-45 y.,Yes,0.12911,795,6287,0.12082,0.13740
2019,30-45 y.,No,0.85658,5492,6287,0.84791,0.86524
2019,46-65 y.,Yes,0.14124,1463,10421,0.13455,0.14793
2019,46-65 y.,No,0.85594,8958,10421,0.84920,0.86268
2019,66 and older,Yes,0.17577,834,5174,0.16540,0.18614
2019,66 and older,No,0.82393,4340,5174,0.81355,0.83431
2021,17-29 y.,Yes,0.09913,334,3183,0.08875,0.10951
2021,17-29 y.,No,0.82373,2849,3183,0.81049,0.83697
2021,30-45 y.,Yes,0.12519,584,5216,0.11621,0.13418
2021,30-45 y.,No,0.86413,4632,5216,0.85483,0.87343
2021,46-65 y.,Yes,0.14086,997,7231,0.13284,0.14888
2021,46-65 y.,No,0.85176,6234,7231,0.84357,0.85995
2021,66 and older,Yes,0.17434,587,3572,0.16190,0.18678
2021,66 and older,No,0.81972,2985,3572,0.80711,0.83233
