year,regtyp,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.17455,2339,11682,0.16767,0.18143
2009,Urban regions,No,0.66663,9343,11682,0.65808,0.67518
2009,Rural regions,Yes,0.16238,1153,6336,0.15330,0.17147
2009,Rural regions,No,0.68631,5183,6336,0.67489,0.69774
2011,Urban regions,Yes,0.11503,1942,13360,0.10962,0.12044
2011,Urban regions,No,0.65106,11418,13360,0.64298,0.65914
2011,Rural regions,Yes,0.10379,949,7385,0.09683,0.11075
2011,Rural regions,No,0.66483,6436,7385,0.65407,0.67560
2013,Urban regions,Yes,0.10528,1806,12047,0.09980,0.11076
2013,Urban regions,No,0.59173,10241,12047,0.58296,0.60051
2013,Rural regions,Yes,0.10155,923,6819,0.09438,0.10872
2013,Rural regions,No,0.63956,5896,6819,0.62816,0.65095
2015,Urban regions,Yes,0.12210,2297,16171,0.11706,0.12715
2015,Urban regions,No,0.69781,13874,16171,0.69073,0.70489
2015,Rural regions,Yes,0.12676,1200,8869,0.11983,0.13368
2015,Rural regions,No,0.70967,7669,8869,0.70023,0.71912
2017,Urban regions,Yes,0.13221,2605,17147,0.12714,0.13728
2017,Urban regions,No,0.69961,14542,17147,0.69275,0.70648
2017,Rural regions,Yes,0.12594,1317,9402,0.11924,0.13265
2017,Rural regions,No,0.71283,8085,9402,0.70369,0.72198
2019,Urban regions,Yes,0.11938,2215,16365,0.11441,0.12434
2019,Urban regions,No,0.71023,14150,16365,0.70328,0.71718
2019,Rural regions,Yes,0.12144,1180,8806,0.11462,0.12826
2019,Rural regions,No,0.71252,7626,8806,0.70306,0.72197
2021,Urban regions,Yes,0.12123,1715,13020,0.11562,0.12684
2021,Urban regions,No,0.70246,11305,13020,0.69461,0.71032
2021,Rural regions,Yes,0.10650,787,6181,0.09881,0.11419
2021,Rural regions,No,0.72225,5394,6181,0.71108,0.73342
