year,sex,ple0023,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,Yes,0.15304,1515,8598,0.14543,0.16065
2009,male,No,0.68274,7083,8598,0.67290,0.69258
2009,female,Yes,0.18760,1977,9420,0.17972,0.19549
2009,female,No,0.66358,7443,9420,0.65404,0.67312
2011,male,Yes,0.10037,1262,9789,0.09441,0.10632
2011,male,No,0.66590,8527,9789,0.65656,0.67524
2011,female,Yes,0.12193,1629,10956,0.11580,0.12806
2011,female,No,0.64565,9327,10956,0.63669,0.65460
2013,male,Yes,0.09415,1181,8834,0.08806,0.10024
2013,male,No,0.61239,7653,8834,0.60222,0.62255
2013,female,Yes,0.11362,1548,10032,0.10741,0.11983
2013,female,No,0.60246,8484,10032,0.59288,0.61204
2015,male,Yes,0.10351,1408,11458,0.09793,0.10908
2015,male,No,0.71365,10050,11458,0.70537,0.72192
2015,female,Yes,0.14307,2089,13582,0.13719,0.14896
2015,female,No,0.68999,11493,13582,0.68221,0.69777
2017,male,Yes,0.11406,1574,12261,0.10843,0.11969
2017,male,No,0.71075,10687,12261,0.70273,0.71878
2017,female,Yes,0.14617,2348,14288,0.14038,0.15196
2017,female,No,0.69693,11940,14288,0.68939,0.70446
2019,male,Yes,0.12202,1695,12278,0.11623,0.12781
2019,male,No,0.70044,10583,12278,0.69233,0.70854
2019,female,Yes,0.12110,1852,13440,0.11558,0.12662
2019,female,No,0.71920,11588,13440,0.71160,0.72680
2021,male,Yes,0.10805,1110,9312,0.10175,0.11436
2021,male,No,0.71289,8202,9312,0.70370,0.72208
2021,female,Yes,0.12466,1389,9883,0.11815,0.13117
2021,female,No,0.70498,8494,9883,0.69598,0.71397
