"plb0571","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2015","Schleswig-Holstein","kein Migrationshintergrund","34","0.049502201991219","0.0331746505540919","0.0658297534283462"
"Ja, viele Personen","2015","Schleswig-Holstein","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Hamburg","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Hamburg","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Hamburg","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Niedersachsen","kein Migrationshintergrund","64","0.0324631214148451","0.024434812580976","0.0404914302487142"
"Ja, viele Personen","2015","Niedersachsen","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Niedersachsen","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Bremen","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Bremen","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Bremen","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Nordrhein-Westfalen","kein Migrationshintergrund","130","0.0342631861063058","0.028249667037398","0.0402767051752136"
"Ja, viele Personen","2015","Nordrhein-Westfalen","direkter Migrationshintergrund","57","0.0439914579040595","0.0335399472425167","0.0544429685656024"
"Ja, viele Personen","2015","Nordrhein-Westfalen","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Hessen","kein Migrationshintergrund","58","0.0429113579661846","0.031358177344434","0.0544645385879351"
"Ja, viele Personen","2015","Hessen","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Hessen","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Baden-Wuerttemberg","kein Migrationshintergrund","57","0.0185642946986723","0.0127269138986424","0.0244016754987022"
"Ja, viele Personen","2015","Baden-Wuerttemberg","direkter Migrationshintergrund","35","0.0415719990936974","0.028097441812601","0.0550465563747938"
"Ja, viele Personen","2015","Baden-Wuerttemberg","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Bayern","kein Migrationshintergrund","106","0.0329194560595326","0.0265747449175143","0.0392641672015509"
"Ja, viele Personen","2015","Bayern","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Bayern","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Saarland","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Saarland","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Saarland","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Berlin","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Berlin","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Berlin","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Brandenburg","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Brandenburg","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Brandenburg","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Mecklenburg-Vorpommern","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Mecklenburg-Vorpommern","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Mecklenburg-Vorpommern","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Sachsen","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Sachsen","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Sachsen","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Sachsen-Anhalt","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Sachsen-Anhalt","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Sachsen-Anhalt","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Thueringen","kein Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Thueringen","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","Thueringen","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Schleswig-Holstein","kein Migrationshintergrund","159","0.270980014369864","0.237524201060919","0.30443582767881"
"Ja, wenige Personen","2015","Schleswig-Holstein","direkter Migrationshintergrund","30","0.155491044963928","0.0998610386181225","0.211121051309733"
"Ja, wenige Personen","2015","Schleswig-Holstein","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Hamburg","kein Migrationshintergrund","69","0.187637162737269","0.143383731542795","0.231890593931743"
"Ja, wenige Personen","2015","Hamburg","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Hamburg","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Niedersachsen","kein Migrationshintergrund","414","0.219435655124688","0.200687733844931","0.238183576404446"
"Ja, wenige Personen","2015","Niedersachsen","direkter Migrationshintergrund","70","0.125845945921649","0.0987360549210096","0.152955836922289"
"Ja, wenige Personen","2015","Niedersachsen","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Bremen","kein Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Bremen","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Bremen","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Nordrhein-Westfalen","kein Migrationshintergrund","723","0.170663725710145","0.15822656150646","0.183100889913829"
"Ja, wenige Personen","2015","Nordrhein-Westfalen","direkter Migrationshintergrund","194","0.130416334395068","0.113253631464296","0.14757903732584"
"Ja, wenige Personen","2015","Nordrhein-Westfalen","indirekter Migrationshintergrund","88","0.173107987936268","0.139436665445935","0.206779310426602"
"Ja, wenige Personen","2015","Hessen","kein Migrationshintergrund","264","0.219243136921015","0.195656812834136","0.242829461007894"
"Ja, wenige Personen","2015","Hessen","direkter Migrationshintergrund","70","0.145004656129393","0.11441588369522","0.175593428563567"
"Ja, wenige Personen","2015","Hessen","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","Rheinland-Pfalz,Saarland","kein Migrationshintergrund","164","0.173017405715957","0.14815230098026","0.197882510451655"
"Ja, wenige Personen","2015","Rheinland-Pfalz,Saarland","direkter Migrationshintergrund","33","0.0924417963036664","0.0618334193543886","0.123050173252944"
"Ja, wenige Personen","2015","Rheinland-Pfalz,Saarland","indirekter Migrationshintergrund","","","",""
