"plb0571","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2015","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Hamburg","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Niedersachsen","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Bremen","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Hessen","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Bayern","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Saarland","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Berlin","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Brandenburg","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Sachsen","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","Thueringen","","","",""
"Ja, viele Personen","2015","Hauptschulabschluss","Schleswig-Holstein","","","",""
"Ja, viele Personen","2015","Hauptschulabschluss","Hamburg","","","",""
"Ja, viele Personen","2015","Hauptschulabschluss","Niedersachsen","","","",""
"Ja, viele Personen","2015","Hauptschulabschluss","Bremen","","","",""
"Ja, viele Personen","2015","Hauptschulabschluss","Nordrhein-Westfalen","54","0.0246148173242631","0.0172771875555858","0.0319524470929404"
"Ja, viele Personen","2015","Hauptschulabschluss","Hessen","","","",""
"Ja, viele Personen","2015","Hauptschulabschluss","Rheinland-Pfalz,Saarland","","","",""
"Ja, viele Personen","2015","Hauptschulabschluss","Baden-Wuerttemberg","37","0.0265556659970414","0.0162664844191225","0.0368448475749603"
"Ja, viele Personen","2015","Hauptschulabschluss","Bayern","55","0.0351243877739489","0.02580810830883","0.0444406672390677"
