"plb0571","year","sex","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2015","maennlich","478","0.0357621239627005","0.0324595460121634","0.0390647019132376"
"Ja, viele Personen","2015","weiblich","337","0.0227083880063069","0.0202680069023054","0.0251487691103084"
"Ja, wenige Personen","2015","maennlich","2255","0.192771454521879","0.185755787809578","0.199787121234179"
"Ja, wenige Personen","2015","weiblich","2172","0.139224079831079","0.133553145116535","0.144895014545623"
"Nein, weiss nicht","2015","maennlich","4924","0.413136828091076","0.404379639246369","0.421894016935783"
"Nein, weiss nicht","2015","weiblich","6022","0.425080655772334","0.416982398931354","0.433178912613313"
"Nein, niemand","2015","maennlich","4488","0.358329593424345","0.349801603569482","0.366857583279207"
"Nein, niemand","2015","weiblich","5784","0.41298687639028","0.404921132166871","0.421052620613689"
"Ja, viele Personen","2016","maennlich","328","0.0302112722158325","0.0270199520646409","0.033402592367024"
"Ja, viele Personen","2016","weiblich","211","0.0128363787252006","0.0109074026069338","0.0147653548434674"
"Ja, wenige Personen","2016","maennlich","1630","0.144946309571875","0.138382626912413","0.151509992231338"
"Ja, wenige Personen","2016","weiblich","1566","0.110652430258444","0.105276826383442","0.116028034133447"
"Nein, weiss nicht","2016","maennlich","3773","0.339536189355933","0.330707121600951","0.348365257110915"
"Nein, weiss nicht","2016","weiblich","4456","0.334704381928941","0.326618096830594","0.342790667027288"
"Nein, niemand","2016","maennlich","5320","0.485306228856359","0.475988079001395","0.494624378711324"
"Nein, niemand","2016","weiblich","6849","0.541806809087414","0.533268781309064","0.550344836865764"
