"plb0571","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2015","kein Migrationshintergrund","maennlich","344","0.035528278857066","0.0316516639495703","0.0394048937645617"
"Ja, viele Personen","2015","kein Migrationshintergrund","weiblich","237","0.0220975293192732","0.0192598752394581","0.0249351833990884"
"Ja, viele Personen","2015","direkter Migrationshintergrund","maennlich","96","0.0351096485421524","0.0280686272115266","0.0421506698727782"
"Ja, viele Personen","2015","direkter Migrationshintergrund","weiblich","76","0.0286439369695999","0.022773062556562","0.0345148113826378"
"Ja, viele Personen","2015","indirekter Migrationshintergrund","maennlich","38","0.0411192955307725","0.0270114438514612","0.0552271472100838"
"Ja, viele Personen","2015","indirekter Migrationshintergrund","weiblich","","","",""
"Ja, wenige Personen","2015","kein Migrationshintergrund","maennlich","1775","0.204554557153524","0.196107010351877","0.213002103955172"
"Ja, wenige Personen","2015","kein Migrationshintergrund","weiblich","1691","0.140574287264403","0.133864682508895","0.147283892019911"
"Ja, wenige Personen","2015","direkter Migrationshintergrund","maennlich","339","0.140278238160075","0.126993360832369","0.153563115487782"
"Ja, wenige Personen","2015","direkter Migrationshintergrund","weiblich","350","0.120205040913804","0.108759158424538","0.13165092340307"
"Ja, wenige Personen","2015","indirekter Migrationshintergrund","maennlich","141","0.161490896900661","0.135346196059403","0.187635597741918"
"Ja, wenige Personen","2015","indirekter Migrationshintergrund","weiblich","131","0.177451646777022","0.152560521132131","0.202342772421913"
"Nein, weiss nicht","2015","kein Migrationshintergrund","maennlich","3658","0.419926067024492","0.409590152242463","0.430261981806521"
"Nein, weiss nicht","2015","kein Migrationshintergrund","weiblich","4444","0.434778119777267","0.425208754249394","0.444347485305141"
"Nein, weiss nicht","2015","direkter Migrationshintergrund","maennlich","985","0.386775421103025","0.368145001010598","0.405405841195453"
"Nein, weiss nicht","2015","direkter Migrationshintergrund","weiblich","1190","0.374386515758188","0.357352762284503","0.391420269231874"
"Nein, weiss nicht","2015","indirekter Migrationshintergrund","maennlich","281","0.38425445271567","0.349695079525214","0.418813825906127"
"Nein, weiss nicht","2015","indirekter Migrationshintergrund","weiblich","388","0.419452183484695","0.387301957558086","0.451602409411303"
"Nein, niemand","2015","kein Migrationshintergrund","maennlich","2982","0.339991096964918","0.330070689804209","0.349911504125626"
"Nein, niemand","2015","kein Migrationshintergrund","weiblich","3937","0.402550063639057","0.393083321872092","0.412016805406021"
"Nein, niemand","2015","direkter Migrationshintergrund","maennlich","1205","0.437836692194747","0.418857804226608","0.456815580162886"
"Nein, niemand","2015","direkter Migrationshintergrund","weiblich","1485","0.476764506358408","0.459185360716398","0.494343652000418"
"Nein, niemand","2015","indirekter Migrationshintergrund","maennlich","301","0.413135354852897","0.378151237825296","0.448119471880497"
"Nein, niemand","2015","indirekter Migrationshintergrund","weiblich","362","0.388977359986866","0.357214864615002","0.420739855358731"
"Ja, viele Personen","2016","kein Migrationshintergrund","maennlich","233","0.0278211464238624","0.0242571928724547","0.0313850999752701"
"Ja, viele Personen","2016","kein Migrationshintergrund","weiblich","142","0.0123686898598932","0.0101620247096599","0.0145753550101265"
"Ja, viele Personen","2016","direkter Migrationshintergrund","maennlich","65","0.0319853934907374","0.024568243689261","0.0394025432922138"
"Ja, viele Personen","2016","direkter Migrationshintergrund","weiblich","48","0.0130050242279149","0.00865434282932219","0.0173557056265075"
