"plb0571","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2015","Westdeutschland, alte Bundeslaender","maennlich","421","0.0386789469377083","0.0348362242481692","0.0425216696272474"
"Ja, viele Personen","2015","Westdeutschland, alte Bundeslaender","weiblich","305","0.0253779195447995","0.0224884169338308","0.0282674221557682"
"Ja, viele Personen","2015","Ostdeutschland, neue Bundeslaender","maennlich","57","0.0224478716138955","0.0166082943964678","0.0282874488313232"
"Ja, viele Personen","2015","Ostdeutschland, neue Bundeslaender","weiblich","32","0.010374919415059","0.00670909422709717","0.0140407446030208"
"Ja, wenige Personen","2015","Westdeutschland, alte Bundeslaender","maennlich","1941","0.208324428881418","0.200231397598999","0.216417460163836"
"Ja, wenige Personen","2015","Westdeutschland, alte Bundeslaender","weiblich","1872","0.150621357691928","0.144049760926241","0.157192954457615"
"Ja, wenige Personen","2015","Ostdeutschland, neue Bundeslaender","maennlich","314","0.121777696185605","0.10888600285457","0.13466938951664"
"Ja, wenige Personen","2015","Ostdeutschland, neue Bundeslaender","weiblich","300","0.0865676618432707","0.0763944034962509","0.0967409201902905"
"Nein, weiss nicht","2015","Westdeutschland, alte Bundeslaender","maennlich","3794","0.402700668110508","0.392927065279095","0.41247427094192"
"Nein, weiss nicht","2015","Westdeutschland, alte Bundeslaender","weiblich","4716","0.41860700747359","0.409543107512525","0.427670907434655"
"Nein, weiss nicht","2015","Ostdeutschland, neue Bundeslaender","maennlich","1130","0.460774161149802","0.441124581522159","0.480423740777444"
"Nein, weiss nicht","2015","Ostdeutschland, neue Bundeslaender","weiblich","1306","0.4549894756578","0.436973940888343","0.473005010427258"
"Nein, niemand","2015","Westdeutschland, alte Bundeslaender","maennlich","3517","0.350295956070366","0.340788970298253","0.35980294184248"
"Nein, niemand","2015","Westdeutschland, alte Bundeslaender","weiblich","4487","0.405393715289683","0.396373223544637","0.414414207034728"
"Nein, niemand","2015","Ostdeutschland, neue Bundeslaender","maennlich","971","0.395000271050698","0.375729453278465","0.414271088822931"
"Nein, niemand","2015","Ostdeutschland, neue Bundeslaender","weiblich","1297","0.44806794308387","0.430076798879161","0.46605908728858"
"Ja, viele Personen","2016","Westdeutschland, alte Bundeslaender","maennlich","295","0.0326000935755255","0.0288820938751824","0.0363180932758685"
"Ja, viele Personen","2016","Westdeutschland, alte Bundeslaender","weiblich","194","0.0147362225017035","0.0124122534195815","0.0170601915838255"
"Ja, viele Personen","2016","Ostdeutschland, neue Bundeslaender","maennlich","33","0.0190992797844544","0.013489626356416","0.0247089332124927"
"Ja, viele Personen","2016","Ostdeutschland, neue Bundeslaender","weiblich","","","",""
"Ja, wenige Personen","2016","Westdeutschland, alte Bundeslaender","maennlich","1402","0.153122773694139","0.145583543089681","0.160662004298597"
"Ja, wenige Personen","2016","Westdeutschland, alte Bundeslaender","weiblich","1357","0.120094055614046","0.113824454888555","0.126363656339537"
"Ja, wenige Personen","2016","Ostdeutschland, neue Bundeslaender","maennlich","228","0.106912152235932","0.0942480142203628","0.1195762902515"
"Ja, wenige Personen","2016","Ostdeutschland, neue Bundeslaender","weiblich","209","0.0673170217387719","0.0579604497879193","0.0766735936896244"
"Nein, weiss nicht","2016","Westdeutschland, alte Bundeslaender","maennlich","2959","0.336381328130292","0.326489600589833","0.346273055670752"
"Nein, weiss nicht","2016","Westdeutschland, alte Bundeslaender","weiblich","3556","0.337168694489074","0.328050977018242","0.346286411959905"
"Nein, weiss nicht","2016","Ostdeutschland, neue Bundeslaender","maennlich","814","0.354211541248244","0.334609942166905","0.373813140329584"
"Nein, weiss nicht","2016","Ostdeutschland, neue Bundeslaender","weiblich","900","0.323393618422513","0.305926508349396","0.340860728495629"
"Nein, niemand","2016","Westdeutschland, alte Bundeslaender","maennlich","4108","0.477895804600043","0.467437961854961","0.488353647345126"
"Nein, niemand","2016","Westdeutschland, alte Bundeslaender","weiblich","5220","0.528001027395177","0.518372742928865","0.537629311861489"
"Nein, niemand","2016","Ostdeutschland, neue Bundeslaender","maennlich","1212","0.51977702673137","0.499301031717079","0.54025302174566"
"Nein, niemand","2016","Ostdeutschland, neue Bundeslaender","weiblich","1629","0.605172931659896","0.586920089584732","0.623425773735061"
