"plb0571","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2015","Schleswig-Holstein","maennlich","","","",""
"Ja, viele Personen","2015","Schleswig-Holstein","weiblich","","","",""
"Ja, viele Personen","2015","Hamburg","maennlich","","","",""
"Ja, viele Personen","2015","Hamburg","weiblich","","","",""
"Ja, viele Personen","2015","Niedersachsen","maennlich","56","0.0374559666388497","0.0266542311179297","0.0482577021597698"
"Ja, viele Personen","2015","Niedersachsen","weiblich","31","0.0244644909821146","0.0162929783669078","0.0326360035973215"
"Ja, viele Personen","2015","Bremen","maennlich","","","",""
"Ja, viele Personen","2015","Bremen","weiblich","","","",""
"Ja, viele Personen","2015","Nordrhein-Westfalen","maennlich","118","0.0439559904604429","0.0359266678780995","0.0519853130427862"
"Ja, viele Personen","2015","Nordrhein-Westfalen","weiblich","88","0.0267103448108198","0.0209165193632985","0.0325041702583411"
"Ja, viele Personen","2015","Hessen","maennlich","50","0.0442746913375019","0.0304540681774895","0.0580953144975143"
"Ja, viele Personen","2015","Hessen","weiblich","31","0.0310556370456387","0.0202281100559075","0.04188316403537"
"Ja, viele Personen","2015","Rheinland-Pfalz,Saarland","maennlich","","","",""
"Ja, viele Personen","2015","Rheinland-Pfalz,Saarland","weiblich","","","",""
"Ja, viele Personen","2015","Baden-Wuerttemberg","maennlich","54","0.0278517267568457","0.0194628620273342","0.0362405914863572"
"Ja, viele Personen","2015","Baden-Wuerttemberg","weiblich","52","0.0213220312680663","0.0144972010830355","0.0281468614530971"
"Ja, viele Personen","2015","Bayern","maennlich","84","0.0421310326267618","0.0332981336972557","0.050963931556268"
"Ja, viele Personen","2015","Bayern","weiblich","49","0.0194106595205322","0.0138219554464576","0.0249993635946067"
"Ja, viele Personen","2015","Saarland","maennlich","","","",""
"Ja, viele Personen","2015","Saarland","weiblich","","","",""
"Ja, viele Personen","2015","Berlin","maennlich","","","",""
"Ja, viele Personen","2015","Berlin","weiblich","","","",""
"Ja, viele Personen","2015","Brandenburg","maennlich","","","",""
"Ja, viele Personen","2015","Brandenburg","weiblich","","","",""
"Ja, viele Personen","2015","Mecklenburg-Vorpommern","maennlich","","","",""
"Ja, viele Personen","2015","Mecklenburg-Vorpommern","weiblich","","","",""
"Ja, viele Personen","2015","Sachsen","maennlich","","","",""
"Ja, viele Personen","2015","Sachsen","weiblich","","","",""
"Ja, viele Personen","2015","Sachsen-Anhalt","maennlich","","","",""
"Ja, viele Personen","2015","Sachsen-Anhalt","weiblich","","","",""
"Ja, viele Personen","2015","Thueringen","maennlich","","","",""
"Ja, viele Personen","2015","Thueringen","weiblich","","","",""
