"plb0571","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2015","(Fach-)Abitur","149","0.0395188196173004","0.0335538460162944","0.0454837932183065"
"Ja, viele Personen","2015","(noch) kein Abschluss","30","0.0263812974644643","0.0161576792463253","0.0366049156826033"
"Ja, viele Personen","2015","AkademikerInnen","152","0.023462223640735","0.0197418823039992","0.0271825649774708"
"Ja, viele Personen","2015","Hauptschulabschluss","232","0.0253753493651162","0.021866403303349","0.0288842954268834"
"Ja, viele Personen","2015","Realschulabschluss","224","0.0316769422018235","0.0274192606527057","0.0359346237509413"
"Ja, wenige Personen","2015","(Fach-)Abitur","778","0.200498456505558","0.18824024010037","0.212756672910746"
"Ja, wenige Personen","2015","(noch) kein Abschluss","128","0.135032175364161","0.113230960140507","0.156833390587814"
"Ja, wenige Personen","2015","AkademikerInnen","1284","0.207468977700911","0.197502575774131","0.217435379627691"
"Ja, wenige Personen","2015","Hauptschulabschluss","971","0.1238437105049","0.116493838928965","0.131193582080836"
"Ja, wenige Personen","2015","Realschulabschluss","1115","0.164797102016732","0.155778022952099","0.173816181081365"
"Nein, weiss nicht","2015","(Fach-)Abitur","1691","0.417001965667421","0.401905867535044","0.432098063799798"
"Nein, weiss nicht","2015","(noch) kein Abschluss","378","0.410411044975249","0.379031525888467","0.44179056406203"
"Nein, weiss nicht","2015","AkademikerInnen","2657","0.421737862045763","0.409600135376162","0.433875588715365"
"Nein, weiss nicht","2015","Hauptschulabschluss","3063","0.410069483451124","0.399095074536059","0.421043892366188"
"Nein, weiss nicht","2015","Realschulabschluss","2822","0.433632712679761","0.421585085712565","0.445680339646957"
"Nein, niemand","2015","(Fach-)Abitur","1480","0.342980758209721","0.328446728742178","0.357514787677263"
"Nein, niemand","2015","(noch) kein Abschluss","408","0.428175482196127","0.396610585100513","0.45974037929174"
"Nein, niemand","2015","AkademikerInnen","2266","0.347330936612591","0.335628617789803","0.359033255435379"
"Nein, niemand","2015","Hauptschulabschluss","3450","0.44071145667886","0.429633820096955","0.451789093260765"
"Nein, niemand","2015","Realschulabschluss","2339","0.369893243101683","0.358156795069079","0.381629691134287"
"Ja, viele Personen","2016","(Fach-)Abitur","93","0.0244527510032563","0.0194578642753848","0.0294476377311278"
"Ja, viele Personen","2016","(noch) kein Abschluss","","","",""
"Ja, viele Personen","2016","AkademikerInnen","96","0.0148412719694238","0.0117480028433025","0.0179345410955451"
"Ja, viele Personen","2016","Hauptschulabschluss","166","0.0215634571009519","0.0181517210841732","0.0249751931177307"
"Ja, viele Personen","2016","Realschulabschluss","138","0.0238194693183194","0.019965275054916","0.0276736635817228"
"Ja, wenige Personen","2016","(Fach-)Abitur","575","0.162601702688306","0.150668247459184","0.174535157917427"
"Ja, wenige Personen","2016","(noch) kein Abschluss","79","0.0842421325788039","0.0651498513161043","0.103334413841504"
"Ja, wenige Personen","2016","AkademikerInnen","947","0.157519263020129","0.148200122382443","0.166838403657815"
"Ja, wenige Personen","2016","Hauptschulabschluss","693","0.089539106456112","0.0828327455769051","0.0962454673353189"
"Ja, wenige Personen","2016","Realschulabschluss","769","0.128764196309154","0.120298398202822","0.137229994415485"
"Nein, weiss nicht","2016","(Fach-)Abitur","1330","0.353743120179694","0.338280459782818","0.36920578057657"
"Nein, weiss nicht","2016","(noch) kein Abschluss","279","0.368214088426489","0.335059931600854","0.401368245252125"
"Nein, weiss nicht","2016","AkademikerInnen","1988","0.338659941061786","0.326553308282723","0.35076657384085"
"Nein, weiss nicht","2016","Hauptschulabschluss","2320","0.328220997231478","0.31719173947443","0.339250254988527"
"Nein, weiss nicht","2016","Realschulabschluss","2081","0.338095720419694","0.326138783986731","0.350052656852656"
"Nein, niemand","2016","(Fach-)Abitur","1675","0.459202426128744","0.443086432719327","0.475318419538161"
"Nein, niemand","2016","(noch) kein Abschluss","434","0.524555151748004","0.490227154278679","0.55888314921733"
"Nein, niemand","2016","AkademikerInnen","2839","0.488979523948661","0.476191791881983","0.501767256015338"
"Nein, niemand","2016","Hauptschulabschluss","3784","0.560676439211458","0.549019130594649","0.572333747828266"
"Nein, niemand","2016","Realschulabschluss","3025","0.509320613952833","0.496684980392564","0.521956247513102"
