"plb0571","year","alter_gr","migback","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2015","16-34 Jahre alt","kein Migrationshintergrund","170","0.0421631969460889","0.0356948880026018","0.0486315058895759"
"Ja, viele Personen","2015","16-34 Jahre alt","direkter Migrationshintergrund","64","0.0305201303498118","0.0227217209623968","0.0383185397372269"
"Ja, viele Personen","2015","16-34 Jahre alt","indirekter Migrationshintergrund","38","0.0301691381712063","0.0194761081984958","0.0408621681439169"
"Ja, viele Personen","2015","35-65 Jahre alt","kein Migrationshintergrund","356","0.0302690836037559","0.0270523146180041","0.0334858525895077"
"Ja, viele Personen","2015","35-65 Jahre alt","direkter Migrationshintergrund","98","0.0320763903573067","0.0261744543036184","0.037978326410995"
"Ja, viele Personen","2015","35-65 Jahre alt","indirekter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","66 und älter","kein Migrationshintergrund","55","0.0159906759404271","0.0123105077642384","0.0196708441166157"
"Ja, viele Personen","2015","66 und älter","direkter Migrationshintergrund","","","",""
"Ja, viele Personen","2015","66 und älter","indirekter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","16-34 Jahre alt","kein Migrationshintergrund","876","0.228913180774162","0.215390423025414","0.24243593852291"
"Ja, wenige Personen","2015","16-34 Jahre alt","direkter Migrationshintergrund","256","0.175111983778065","0.157881444445428","0.192342523110702"
"Ja, wenige Personen","2015","16-34 Jahre alt","indirekter Migrationshintergrund","150","0.160745593336368","0.13778475793553","0.183706428737206"
"Ja, wenige Personen","2015","35-65 Jahre alt","kein Migrationshintergrund","2081","0.181429096453121","0.174193468362653","0.18866472454359"
"Ja, wenige Personen","2015","35-65 Jahre alt","direkter Migrationshintergrund","404","0.126171505118268","0.11504970831352","0.137293301923016"
"Ja, wenige Personen","2015","35-65 Jahre alt","indirekter Migrationshintergrund","122","0.187950854345374","0.158544136601421","0.217357572089326"
"Ja, wenige Personen","2015","66 und älter","kein Migrationshintergrund","509","0.113081249748393","0.103790048531556","0.122372450965231"
"Ja, wenige Personen","2015","66 und älter","direkter Migrationshintergrund","","","",""
"Ja, wenige Personen","2015","66 und älter","indirekter Migrationshintergrund","","","",""
"Nein, weiss nicht","2015","16-34 Jahre alt","kein Migrationshintergrund","1445","0.396260077544238","0.380516865836254","0.412003289252223"
"Nein, weiss nicht","2015","16-34 Jahre alt","direkter Migrationshintergrund","685","0.34051158974518","0.319027697110701","0.36199548237966"
"Nein, weiss nicht","2015","16-34 Jahre alt","indirekter Migrationshintergrund","397","0.415192058690716","0.384388387286758","0.445995730094674"
"Nein, weiss nicht","2015","35-65 Jahre alt","kein Migrationshintergrund","4745","0.442190713613022","0.43286585416436","0.451515573061684"
"Nein, weiss nicht","2015","35-65 Jahre alt","direkter Migrationshintergrund","1308","0.396454580906515","0.380070091489872","0.412839070323157"
"Nein, weiss nicht","2015","35-65 Jahre alt","indirekter Migrationshintergrund","270","0.368639115209033","0.332325224038403","0.404953006379663"
"Nein, weiss nicht","2015","66 und älter","kein Migrationshintergrund","1912","0.422819441892513","0.408326118967562","0.437312764817464"
"Nein, weiss nicht","2015","66 und älter","direkter Migrationshintergrund","182","0.388674353513223","0.342761594311769","0.434587112714678"
"Nein, weiss nicht","2015","66 und älter","indirekter Migrationshintergrund","","","",""
"Nein, niemand","2015","16-34 Jahre alt","kein Migrationshintergrund","1217","0.332663544735511","0.317498166067084","0.347828923403937"
"Nein, niemand","2015","16-34 Jahre alt","direkter Migrationshintergrund","864","0.453856296126943","0.431285021324179","0.476427570929708"
"Nein, niemand","2015","16-34 Jahre alt","indirekter Migrationshintergrund","398","0.39389320980171","0.363348559742042","0.424437859861378"
