"plb0571","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2015","(Fach-)Abitur","maennlich","78","0.0430489324743461","0.0335149408900025","0.0525829240586898"
"Ja, viele Personen","2015","(Fach-)Abitur","weiblich","71","0.0363241226343532","0.0287709160973872","0.0438773291713193"
"Ja, viele Personen","2015","(noch) kein Abschluss","maennlich","","","",""
"Ja, viele Personen","2015","(noch) kein Abschluss","weiblich","","","",""
"Ja, viele Personen","2015","AkademikerInnen","maennlich","92","0.0279641930079954","0.0222203374376195","0.0337080485783714"
"Ja, viele Personen","2015","AkademikerInnen","weiblich","60","0.0183359932350371","0.0136831942621578","0.0229887922079164"
"Ja, viele Personen","2015","Hauptschulabschluss","maennlich","156","0.0344730348126431","0.0286761759978168","0.0402698936274694"
"Ja, viele Personen","2015","Hauptschulabschluss","weiblich","76","0.0164755881005911","0.0124860995969938","0.0204650766041885"
"Ja, viele Personen","2015","Realschulabschluss","maennlich","120","0.0397008894393611","0.0322028519276997","0.0471989269510225"
"Ja, viele Personen","2015","Realschulabschluss","weiblich","104","0.0251870157699919","0.0202661290263197","0.0301079025136641"
"Ja, wenige Personen","2015","(Fach-)Abitur","maennlich","344","0.231173985698343","0.211370929461241","0.250977041935445"
"Ja, wenige Personen","2015","(Fach-)Abitur","weiblich","434","0.172737581844879","0.157476568745421","0.187998594944337"
"Ja, wenige Personen","2015","(noch) kein Abschluss","maennlich","60","0.166679996016612","0.130692873092599","0.202667118940625"
"Ja, wenige Personen","2015","(noch) kein Abschluss","weiblich","68","0.109264339260337","0.0827545718938212","0.135774106626852"
"Ja, wenige Personen","2015","AkademikerInnen","maennlich","671","0.232326989057349","0.217614057928111","0.247039920186588"
"Ja, wenige Personen","2015","AkademikerInnen","weiblich","613","0.179164055289122","0.165864587555834","0.192463523022409"
"Ja, wenige Personen","2015","Hauptschulabschluss","maennlich","578","0.155598591894175","0.144081361196318","0.167115822592032"
"Ja, wenige Personen","2015","Hauptschulabschluss","weiblich","393","0.0927796706479624","0.0836870937419782","0.101872247553947"
"Ja, wenige Personen","2015","Realschulabschluss","maennlich","518","0.185358728138636","0.170436490496163","0.20028096578111"
"Ja, wenige Personen","2015","Realschulabschluss","weiblich","597","0.148166454169784","0.13700947368749","0.159323434652077"
"Nein, weiss nicht","2015","(Fach-)Abitur","maennlich","701","0.408990275578807","0.385896097523707","0.432084453633906"
"Nein, weiss nicht","2015","(Fach-)Abitur","weiblich","990","0.424252420027065","0.404299956550251","0.444204883503879"
"Nein, weiss nicht","2015","(noch) kein Abschluss","maennlich","162","0.372252501794524","0.325574657509662","0.418930346079386"
"Nein, weiss nicht","2015","(noch) kein Abschluss","weiblich","216","0.441479948500693","0.399284350009948","0.483675546991439"
