"plb0571","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja, viele Personen","2015","Westdeutschland, alte Bundeslaender","726","0.0318654778204921","0.0294929070993372","0.034238048541647"
"Ja, viele Personen","2015","Ostdeutschland, neue Bundeslaender","89","0.0162999094936173","0.012924753434346","0.0196750655528887"
"Ja, wenige Personen","2015","Westdeutschland, alte Bundeslaender","3813","0.1787659532912","0.173590278578933","0.183941628003467"
"Ja, wenige Personen","2015","Ostdeutschland, neue Bundeslaender","614","0.10384753678257","0.0957162560092814","0.111978817555858"
"Nein, weiss nicht","2015","Westdeutschland, alte Bundeslaender","8510","0.410848711777879","0.404202939184675","0.417494484371083"
"Nein, weiss nicht","2015","Ostdeutschland, neue Bundeslaender","2436","0.457828400519193","0.444548658040528","0.471108142997859"
"Nein, niemand","2015","Westdeutschland, alte Bundeslaender","8004","0.378519857110429","0.371968231710018","0.385071482510841"
"Nein, niemand","2015","Ostdeutschland, neue Bundeslaender","2268","0.42202415320462","0.408859985547757","0.435188320861482"
"Ja, viele Personen","2016","Westdeutschland, alte Bundeslaender","489","0.0234788052391155","0.0213309125204805","0.0256266979577504"
"Ja, viele Personen","2016","Ostdeutschland, neue Bundeslaender","50","0.0113989410819226","0.00846879373231376","0.0143290884315314"
"Ja, wenige Personen","2016","Westdeutschland, alte Bundeslaender","2759","0.136258318070519","0.131391924797277","0.141124711343762"
"Ja, wenige Personen","2016","Ostdeutschland, neue Bundeslaender","437","0.0865624935845441","0.0788008987246253","0.0943240884444628"
"Nein, weiss nicht","2016","Westdeutschland, alte Bundeslaender","6515","0.336783357206474","0.330079314517312","0.343487399895636"
"Nein, weiss nicht","2016","Ostdeutschland, neue Bundeslaender","1714","0.338372871139721","0.325312633154826","0.351433109124616"
"Nein, niemand","2016","Westdeutschland, alte Bundeslaender","9328","0.503479519483891","0.496387119172073","0.510571919795709"
"Nein, niemand","2016","Ostdeutschland, neue Bundeslaender","2841","0.563665694193812","0.54997683828588","0.577354550101745"
