year,age_gr,sampreg,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Full-Time Employment,0.43160,1484,3435,0.41504,0.44817
1984,17-29 y.,West,Regular Part-Time Employment,0.02661,93,3435,0.02123,0.03200
1984,17-29 y.,West,Vocational Training,0.13333,435,3435,0.12197,0.14470
1984,17-29 y.,West,"Marginal, Irregular Part-Time Employment",0.02259,75,3435,0.01762,0.02756
1984,17-29 y.,West,Not Employed,0.38455,1348,3435,0.36828,0.40082
1984,30-45 y.,West,Full-Time Employment,0.59623,2383,3903,0.58084,0.61163
1984,30-45 y.,West,Regular Part-Time Employment,0.10156,346,3903,0.09208,0.11104
1984,30-45 y.,West,"Marginal, Irregular Part-Time Employment",0.04775,157,3903,0.04106,0.05444
1984,30-45 y.,West,Not Employed,0.25401,1017,3903,0.24036,0.26767
1984,46-65 y.,West,Full-Time Employment,0.45627,1792,3556,0.43989,0.47264
1984,46-65 y.,West,Regular Part-Time Employment,0.06430,210,3556,0.05624,0.07236
1984,46-65 y.,West,"Marginal, Irregular Part-Time Employment",0.02752,88,3556,0.02214,0.03290
1984,46-65 y.,West,Not Employed,0.45191,1466,3556,0.43555,0.46827
1984,66 and older,West,Not Employed,0.96542,1217,1217,0.95516,0.97569
1985,17-29 y.,West,Full-Time Employment,0.46822,1444,3140,0.45076,0.48567
1985,17-29 y.,West,Regular Part-Time Employment,0.03910,120,3140,0.03232,0.04588
1985,17-29 y.,West,Vocational Training,0.09431,275,3140,0.08409,0.10454
1985,17-29 y.,West,"Marginal, Irregular Part-Time Employment",0.02540,80,3140,0.01990,0.03090
1985,17-29 y.,West,Not Employed,0.37298,1221,3140,0.35606,0.38989
1985,30-45 y.,West,Full-Time Employment,0.60076,2113,3466,0.58445,0.61707
1985,30-45 y.,West,Regular Part-Time Employment,0.12101,370,3466,0.11015,0.13187
1985,30-45 y.,West,"Marginal, Irregular Part-Time Employment",0.02849,85,3466,0.02295,0.03403
1985,30-45 y.,West,Not Employed,0.24655,898,3466,0.23220,0.26090
1985,46-65 y.,West,Full-Time Employment,0.45093,1642,3304,0.43396,0.46790
1985,46-65 y.,West,Regular Part-Time Employment,0.08098,248,3304,0.07168,0.09029
1985,46-65 y.,West,"Marginal, Irregular Part-Time Employment",0.01863,53,3304,0.01402,0.02324
1985,46-65 y.,West,Not Employed,0.44946,1361,3304,0.43250,0.46643
1985,66 and older,West,Not Employed,0.96485,1059,1059,0.95375,0.97594
1986,17-29 y.,West,Full-Time Employment,0.46770,1384,3054,0.45000,0.48539
1986,17-29 y.,West,Regular Part-Time Employment,0.04061,116,3054,0.03361,0.04761
1986,17-29 y.,West,Vocational Training,0.12121,354,3054,0.10964,0.13279
1986,17-29 y.,West,"Marginal, Irregular Part-Time Employment",0.02053,62,3054,0.01550,0.02556
1986,17-29 y.,West,Not Employed,0.34980,1138,3054,0.33289,0.36672
1986,30-45 y.,West,Full-Time Employment,0.60463,1972,3261,0.58784,0.62141
1986,30-45 y.,West,Regular Part-Time Employment,0.10272,308,3261,0.09230,0.11315
1986,30-45 y.,West,"Marginal, Irregular Part-Time Employment",0.03623,110,3261,0.02982,0.04265
1986,30-45 y.,West,Not Employed,0.25276,871,3261,0.23784,0.26768
1986,46-65 y.,West,Full-Time Employment,0.45729,1631,3227,0.44010,0.47449
1986,46-65 y.,West,Regular Part-Time Employment,0.06962,208,3227,0.06084,0.07840
1986,46-65 y.,West,"Marginal, Irregular Part-Time Employment",0.02780,83,3227,0.02212,0.03347
1986,46-65 y.,West,Not Employed,0.44512,1305,3227,0.42797,0.46227
1986,66 and older,West,Not Employed,0.97385,1001,1001,0.96395,0.98374
1987,17-29 y.,West,Full-Time Employment,0.46477,1318,3008,0.44694,0.48259
1987,17-29 y.,West,Regular Part-Time Employment,0.04616,119,3008,0.03866,0.05366
1987,17-29 y.,West,Vocational Training,0.13896,427,3008,0.12660,0.15133
1987,17-29 y.,West,"Marginal, Irregular Part-Time Employment",0.02318,65,3008,0.01780,0.02855
1987,17-29 y.,West,Not Employed,0.32619,1079,3008,0.30943,0.34295
1987,30-45 y.,West,Full-Time Employment,0.62427,1969,3160,0.60738,0.64116
1987,30-45 y.,West,Regular Part-Time Employment,0.10786,313,3160,0.09704,0.11868
1987,30-45 y.,West,"Marginal, Irregular Part-Time Employment",0.02932,86,3160,0.02344,0.03520
1987,30-45 y.,West,Not Employed,0.23603,792,3160,0.22122,0.25084
1987,46-65 y.,West,Full-Time Employment,0.46920,1628,3205,0.45192,0.48648
1987,46-65 y.,West,Regular Part-Time Employment,0.08352,245,3205,0.07394,0.09310
1987,46-65 y.,West,"Marginal, Irregular Part-Time Employment",0.01879,50,3205,0.01409,0.02349
1987,46-65 y.,West,Not Employed,0.42711,1282,3205,0.40998,0.44424
1987,66 and older,West,Not Employed,0.97240,1032,1032,0.96240,0.98240
1988,17-29 y.,West,Full-Time Employment,0.45653,1243,2870,0.43830,0.47475
1988,17-29 y.,West,Regular Part-Time Employment,0.03653,92,2870,0.02967,0.04340
1988,17-29 y.,West,Vocational Training,0.13612,425,2870,0.12357,0.14867
1988,17-29 y.,West,"Marginal, Irregular Part-Time Employment",0.02703,72,2870,0.02109,0.03296
1988,17-29 y.,West,Not Employed,0.34289,1038,2870,0.32552,0.36026
1988,30-45 y.,West,Full-Time Employment,0.62655,1819,2948,0.60908,0.64401
1988,30-45 y.,West,Regular Part-Time Employment,0.11398,324,2948,0.10251,0.12546
1988,30-45 y.,West,"Marginal, Irregular Part-Time Employment",0.02694,76,2948,0.02110,0.03279
1988,30-45 y.,West,Not Employed,0.23096,729,2948,0.21574,0.24618
