year,age_gr,pgisced97,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Not Employed,0.98296,184,184,0.96421,1.00171
1984,17-29 y.,Primary Level,Full-Time Employment,0.31789,73,190,0.25151,0.38428
1984,17-29 y.,Primary Level,Not Employed,0.57716,117,190,0.50673,0.64759
1984,17-29 y.,Lower Secondary Level,Full-Time Employment,0.21120,281,1002,0.18592,0.23649
1984,17-29 y.,Lower Secondary Level,Vocational Training,0.34866,296,1002,0.31914,0.37818
1984,17-29 y.,Lower Secondary Level,Not Employed,0.40246,425,1002,0.37208,0.43284
1984,17-29 y.,Upper Secondary Level,Full-Time Employment,0.57198,900,1603,0.54775,0.59621
1984,17-29 y.,Upper Secondary Level,Regular Part-Time Employment,0.02482,39,1603,0.01720,0.03244
1984,17-29 y.,Upper Secondary Level,Vocational Training,0.06403,120,1603,0.05204,0.07602
1984,17-29 y.,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.02485,38,1603,0.01723,0.03248
1984,17-29 y.,Upper Secondary Level,Not Employed,0.31431,506,1603,0.29158,0.33705
1984,17-29 y.,Post-secondary Non-tertiary Level,Full-Time Employment,0.51895,65,114,0.42682,0.61107
1984,17-29 y.,Post-secondary Non-tertiary Level,Not Employed,0.38110,49,114,0.29155,0.47064
1984,17-29 y.,First Stage of Tertiary Education,Full-Time Employment,0.63964,80,80,0.53377,0.74551
1984,17-29 y.,Second Stage of Tertiary Education,Full-Time Employment,0.60206,78,114,0.51181,0.69231
1984,17-29 y.,Second Stage of Tertiary Education,Not Employed,0.27281,36,114,0.19069,0.35494
1984,30-45 y.,Primary Level,Full-Time Employment,0.53044,234,381,0.48027,0.58062
1984,30-45 y.,Primary Level,Not Employed,0.38834,147,381,0.33934,0.43734
1984,30-45 y.,Lower Secondary Level,Full-Time Employment,0.39424,404,803,0.36042,0.42807
1984,30-45 y.,Lower Secondary Level,Regular Part-Time Employment,0.09920,63,803,0.07851,0.11989
1984,30-45 y.,Lower Secondary Level,"Marginal, Irregular Part-Time Employment",0.08312,48,803,0.06401,0.10223
1984,30-45 y.,Lower Secondary Level,Not Employed,0.42315,288,803,0.38895,0.45734
1984,30-45 y.,Upper Secondary Level,Full-Time Employment,0.60259,1190,1948,0.58085,0.62433
1984,30-45 y.,Upper Secondary Level,Regular Part-Time Employment,0.10937,205,1948,0.09550,0.12323
1984,30-45 y.,Upper Secondary Level,"Marginal, Irregular Part-Time Employment",0.04383,79,1948,0.03474,0.05292
1984,30-45 y.,Upper Secondary Level,Not Employed,0.24358,474,1948,0.22451,0.26264
1984,30-45 y.,Post-secondary Non-tertiary Level,Full-Time Employment,0.71048,75,75,0.60714,0.81382
1984,30-45 y.,First Stage of Tertiary Education,Full-Time Employment,0.69799,174,220,0.63718,0.75879
1984,30-45 y.,First Stage of Tertiary Education,Not Employed,0.18579,46,220,0.13428,0.23730
1984,30-45 y.,Second Stage of Tertiary Education,Full-Time Employment,0.77675,291,365,0.73397,0.81953
1984,30-45 y.,Second Stage of Tertiary Education,Regular Part-Time Employment,0.09794,37,365,0.06741,0.12848
1984,30-45 y.,Second Stage of Tertiary Education,Not Employed,0.09205,37,365,0.06235,0.12175
1984,46-65 y.,Primary Level,Full-Time Employment,0.52572,220,359,0.47400,0.57745
1984,46-65 y.,Primary Level,Not Employed,0.43433,139,359,0.38298,0.48567
