year,migback,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Full-Time Employment,0.33614,3674,8670,0.32619,0.34608
1984,No migration background,Regular Part-Time Employment,0.04617,528,8670,0.04176,0.05059
1984,No migration background,Vocational Training,0.02892,317,8670,0.02539,0.03244
1984,No migration background,"Marginal, Irregular Part-Time Employment",0.02581,284,8670,0.02248,0.02915
1984,No migration background,Not Employed,0.40459,3867,8670,0.39425,0.41492
1984,Direct migration background,Full-Time Employment,0.45728,1968,3369,0.44046,0.47411
1984,Direct migration background,Regular Part-Time Employment,0.04969,127,3369,0.04235,0.05703
1984,Direct migration background,Vocational Training,0.01819,97,3369,0.01368,0.02270
1984,Direct migration background,"Marginal, Irregular Part-Time Employment",0.01784,54,3369,0.01337,0.02231
1984,Direct migration background,Not Employed,0.34185,1123,3369,0.32583,0.35787
1984,Indirect migration background,Full-Time Employment,0.03490,34,92,-0.00281,0.07262
1984,Indirect migration background,Not Employed,0.05600,58,92,0.00876,0.10325
1985,No migration background,Full-Time Employment,0.34861,3476,7980,0.33816,0.35907
1985,No migration background,Regular Part-Time Employment,0.05934,618,7980,0.05416,0.06453
1985,No migration background,Vocational Training,0.02149,211,7980,0.01830,0.02467
1985,No migration background,"Marginal, Irregular Part-Time Employment",0.01900,192,7980,0.01601,0.02200
1985,No migration background,Not Employed,0.40567,3483,7980,0.39490,0.41644
1985,Direct migration background,Full-Time Employment,0.46402,1702,2906,0.44589,0.48216
1985,Direct migration background,Regular Part-Time Employment,0.05306,129,2906,0.04491,0.06121
1985,Direct migration background,Vocational Training,0.01628,55,2906,0.01168,0.02088
1985,Direct migration background,"Marginal, Irregular Part-Time Employment",0.01546,39,2906,0.01098,0.01995
1985,Direct migration background,Not Employed,0.36186,981,2906,0.34439,0.37933
1985,Indirect migration background,Full-Time Employment,0.04921,39,114,0.00933,0.08909
1985,Indirect migration background,Not Employed,0.06846,75,114,0.02190,0.11502
1986,No migration background,Full-Time Employment,0.35099,3332,7605,0.34026,0.36172
1986,No migration background,Regular Part-Time Employment,0.05118,511,7605,0.04623,0.05613
1986,No migration background,Vocational Training,0.02753,262,7605,0.02385,0.03120
1986,No migration background,"Marginal, Irregular Part-Time Employment",0.02204,217,7605,0.01874,0.02534
1986,No migration background,Not Employed,0.40203,3283,7605,0.39101,0.41305
1986,Direct migration background,Full-Time Employment,0.45450,1616,2825,0.43613,0.47286
1986,Direct migration background,Regular Part-Time Employment,0.05084,118,2825,0.04274,0.05895
1986,Direct migration background,Vocational Training,0.02072,75,2825,0.01547,0.02597
