year,regtyp,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Full-Time Employment,0.35779,4153,8659,0.34770,0.36789
1985,Urban regions,Regular Part-Time Employment,0.05784,591,8659,0.05292,0.06276
1985,Urban regions,Vocational Training,0.02021,219,8659,0.01724,0.02317
1985,Urban regions,"Marginal, Irregular Part-Time Employment",0.01866,183,8659,0.01581,0.02151
1985,Urban regions,Not Employed,0.38776,3513,8659,0.37750,0.39802
1985,Rural regions,Full-Time Employment,0.32658,1064,2367,0.30768,0.34547
1985,Rural regions,Regular Part-Time Employment,0.05612,163,2367,0.04684,0.06539
1985,Rural regions,Vocational Training,0.02230,65,2367,0.01635,0.02825
1985,Rural regions,"Marginal, Irregular Part-Time Employment",0.01721,49,2367,0.01197,0.02245
1985,Rural regions,Not Employed,0.40554,1026,2367,0.38576,0.42533
1986,Urban regions,Full-Time Employment,0.35767,3980,8328,0.34737,0.36796
1986,Urban regions,Regular Part-Time Employment,0.05123,506,8328,0.04649,0.05597
1986,Urban regions,Vocational Training,0.02414,266,8328,0.02085,0.02744
1986,Urban regions,"Marginal, Irregular Part-Time Employment",0.02093,205,8328,0.01785,0.02400
1986,Urban regions,Not Employed,0.38794,3371,8328,0.37747,0.39841
1986,Rural regions,Full-Time Employment,0.33066,1017,2255,0.31124,0.35008
1986,Rural regions,Regular Part-Time Employment,0.04759,135,2255,0.03880,0.05638
1986,Rural regions,Vocational Training,0.03313,98,2255,0.02574,0.04051
1986,Rural regions,"Marginal, Irregular Part-Time Employment",0.02180,61,2255,0.01577,0.02782
1986,Rural regions,Not Employed,0.39084,944,2255,0.37069,0.41098
1987,Urban regions,Full-Time Employment,0.36077,3915,8227,0.35039,0.37114
1987,Urban regions,Regular Part-Time Employment,0.05387,518,8227,0.04899,0.05875
1987,Urban regions,Vocational Training,0.02746,322,8227,0.02393,0.03099
1987,Urban regions,"Marginal, Irregular Part-Time Employment",0.01799,166,8227,0.01512,0.02087
1987,Urban regions,Not Employed,0.38101,3306,8227,0.37051,0.39150
1987,Rural regions,Full-Time Employment,0.33502,1014,2222,0.31539,0.35465
1987,Rural regions,Regular Part-Time Employment,0.06325,170,2222,0.05313,0.07337
1987,Rural regions,Vocational Training,0.03408,113,2222,0.02653,0.04162
1987,Rural regions,"Marginal, Irregular Part-Time Employment",0.01508,46,2222,0.01001,0.02014
1987,Rural regions,Not Employed,0.36841,879,2222,0.34835,0.38847
1988,Urban regions,Full-Time Employment,0.36302,3707,7887,0.35241,0.37364
1988,Urban regions,Regular Part-Time Employment,0.05714,535,7887,0.05202,0.06227
1988,Urban regions,Vocational Training,0.02602,326,7887,0.02251,0.02954
1988,Urban regions,"Marginal, Irregular Part-Time Employment",0.01762,161,7887,0.01472,0.02052
1988,Urban regions,Not Employed,0.37727,3158,7887,0.36657,0.38796
1988,Rural regions,Full-Time Employment,0.32815,940,2081,0.30797,0.34832
1988,Rural regions,Regular Part-Time Employment,0.05591,144,2081,0.04604,0.06579
1988,Rural regions,Vocational Training,0.03298,103,2081,0.02530,0.04065
1988,Rural regions,"Marginal, Irregular Part-Time Employment",0.01789,46,2081,0.01219,0.02359
1988,Rural regions,Not Employed,0.38085,848,2081,0.35998,0.40172
1989,Urban regions,Full-Time Employment,0.36952,3697,7686,0.35873,0.38032
1989,Urban regions,Regular Part-Time Employment,0.05720,521,7686,0.05201,0.06239
1989,Urban regions,Vocational Training,0.02606,289,7686,0.02250,0.02963
1989,Urban regions,"Marginal, Irregular Part-Time Employment",0.01847,163,7686,0.01546,0.02148
1989,Urban regions,Not Employed,0.37126,3016,7686,0.36046,0.38206
1989,Rural regions,Full-Time Employment,0.33548,917,1976,0.31466,0.35631
1989,Rural regions,Regular Part-Time Employment,0.06295,152,1976,0.05224,0.07366
1989,Rural regions,Vocational Training,0.02768,85,1976,0.02045,0.03492
1989,Rural regions,"Marginal, Irregular Part-Time Employment",0.01188,33,1976,0.00710,0.01666
1989,Rural regions,Not Employed,0.37992,789,1976,0.35852,0.40133
1990,Urban regions,Full-Time Employment,0.38201,4557,8953,0.37195,0.39208
1990,Urban regions,Regular Part-Time Employment,0.06358,693,8953,0.05853,0.06864
1990,Urban regions,Vocational Training,0.02544,309,8953,0.02218,0.02870
1990,Urban regions,"Marginal, Irregular Part-Time Employment",0.01292,134,8953,0.01058,0.01526
1990,Urban regions,Not Employed,0.34575,3260,8953,0.33590,0.35560
1990,Rural regions,Full-Time Employment,0.39580,2765,4846,0.38203,0.40957
1990,Rural regions,Regular Part-Time Employment,0.06888,433,4846,0.06175,0.07602
1990,Rural regions,Vocational Training,0.02279,161,4846,0.01859,0.02700
1990,Rural regions,"Marginal, Irregular Part-Time Employment",0.01259,54,4846,0.00945,0.01572
1990,Rural regions,Not Employed,0.30936,1433,4846,0.29635,0.32238
1991,Urban regions,Full-Time Employment,0.37740,4406,8761,0.36725,0.38755
1991,Urban regions,Regular Part-Time Employment,0.06221,656,8761,0.05715,0.06726
1991,Urban regions,Vocational Training,0.02564,330,8761,0.02233,0.02895
1991,Urban regions,"Marginal, Irregular Part-Time Employment",0.01831,178,8761,0.01551,0.02112
1991,Urban regions,Not Employed,0.34423,3191,8761,0.33428,0.35418
1991,Rural regions,Full-Time Employment,0.37320,2496,4735,0.35942,0.38698
1991,Rural regions,Regular Part-Time Employment,0.05826,323,4735,0.05159,0.06493
1991,Rural regions,Vocational Training,0.02621,179,4735,0.02166,0.03076
1991,Rural regions,"Marginal, Irregular Part-Time Employment",0.01456,66,4735,0.01115,0.01798
1991,Rural regions,Not Employed,0.34468,1671,4735,0.33114,0.35822
1992,Urban regions,Full-Time Employment,0.36859,4206,8651,0.35842,0.37875
1992,Urban regions,Regular Part-Time Employment,0.06316,657,8651,0.05804,0.06829
1992,Urban regions,Vocational Training,0.02147,292,8651,0.01841,0.02452
1992,Urban regions,"Marginal, Irregular Part-Time Employment",0.01421,141,8651,0.01171,0.01670
1992,Urban regions,Not Employed,0.36051,3355,8651,0.35039,0.37063
1992,Rural regions,Full-Time Employment,0.34985,2229,4546,0.33598,0.36371
1992,Rural regions,Regular Part-Time Employment,0.05528,283,4546,0.04864,0.06192
1992,Rural regions,Vocational Training,0.02949,185,4546,0.02457,0.03440
1992,Rural regions,"Marginal, Irregular Part-Time Employment",0.00974,43,4546,0.00689,0.01260
1992,Rural regions,Not Employed,0.37280,1806,4546,0.35874,0.38686
1993,Urban regions,Full-Time Employment,0.36595,4132,8585,0.35576,0.37614
1993,Urban regions,Regular Part-Time Employment,0.06203,638,8585,0.05692,0.06713
1993,Urban regions,Vocational Training,0.02382,307,8585,0.02060,0.02705
1993,Urban regions,"Marginal, Irregular Part-Time Employment",0.01546,141,8585,0.01285,0.01807
1993,Urban regions,Not Employed,0.35875,3367,8585,0.34860,0.36890
1993,Rural regions,Full-Time Employment,0.33886,2129,4516,0.32505,0.35267
1993,Rural regions,Regular Part-Time Employment,0.05549,280,4516,0.04881,0.06217
1993,Rural regions,Vocational Training,0.03047,205,4516,0.02545,0.03548
