year,bula_h,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Full-Time Employment,0.33996,169,361,0.29102,0.38889
1984,Schleswig-Holstein,Regular Part-Time Employment,0.06218,32,361,0.03724,0.08713
1984,Schleswig-Holstein,Not Employed,0.36070,160,361,0.31109,0.41030
1984,Hamburg,Full-Time Employment,0.33977,143,275,0.28369,0.39586
1984,Hamburg,Not Employed,0.47200,132,275,0.41289,0.53111
1984,Lower Saxony,Full-Time Employment,0.30916,508,1234,0.28337,0.33496
1984,Lower Saxony,Regular Part-Time Employment,0.04780,72,1234,0.03589,0.05971
1984,Lower Saxony,Vocational Training,0.03497,54,1234,0.02472,0.04523
1984,Lower Saxony,"Marginal, Irregular Part-Time Employment",0.02376,37,1234,0.01525,0.03226
1984,Lower Saxony,Not Employed,0.41078,563,1234,0.38332,0.43824
1984,Bremen,Full-Time Employment,0.19290,40,118,0.12140,0.26440
1984,Bremen,Not Employed,0.62678,78,118,0.53914,0.71442
1984,North Rhine-Westphalia,Full-Time Employment,0.33200,1484,3254,0.31582,0.34818
1984,North Rhine-Westphalia,Regular Part-Time Employment,0.04007,148,3254,0.03333,0.04681
1984,North Rhine-Westphalia,Vocational Training,0.02365,107,3254,0.01843,0.02887
1984,North Rhine-Westphalia,"Marginal, Irregular Part-Time Employment",0.02237,82,3254,0.01728,0.02745
1984,North Rhine-Westphalia,Not Employed,0.39821,1433,3254,0.38138,0.41503
1984,Hesse,Full-Time Employment,0.34635,592,1247,0.31993,0.37277
1984,Hesse,Regular Part-Time Employment,0.05598,73,1247,0.04322,0.06875
1984,Hesse,Vocational Training,0.02919,46,1247,0.01984,0.03854
1984,Hesse,"Marginal, Irregular Part-Time Employment",0.02761,38,1247,0.01851,0.03671
1984,Hesse,Not Employed,0.38986,498,1247,0.36278,0.41694
1984,"Rhineland-Palatinate, Saarland",Full-Time Employment,0.32589,366,799,0.29337,0.35841
1984,"Rhineland-Palatinate, Saarland",Vocational Training,0.03344,35,799,0.02097,0.04591
1984,"Rhineland-Palatinate, Saarland",Not Employed,0.43644,398,799,0.40203,0.47085
1984,Baden-Wuerttemberg,Full-Time Employment,0.35742,1168,2252,0.33763,0.37722
1984,Baden-Wuerttemberg,Regular Part-Time Employment,0.05109,135,2252,0.04199,0.06019
1984,Baden-Wuerttemberg,Vocational Training,0.02619,79,2252,0.01959,0.03279
1984,Baden-Wuerttemberg,"Marginal, Irregular Part-Time Employment",0.02224,54,2252,0.01615,0.02834
1984,Baden-Wuerttemberg,Not Employed,0.34632,816,2252,0.32666,0.36598
1984,Bavaria,Full-Time Employment,0.35281,991,2091,0.33232,0.37330
1984,Bavaria,Regular Part-Time Employment,0.04517,121,2091,0.03627,0.05407
1984,Bavaria,Vocational Training,0.03100,83,2091,0.02357,0.03843
1984,Bavaria,"Marginal, Irregular Part-Time Employment",0.02890,70,2091,0.02172,0.03608
1984,Bavaria,Not Employed,0.36867,826,2091,0.34799,0.38936
1984,Berlin,Full-Time Employment,0.38918,215,390,0.34073,0.43763
1984,Berlin,Regular Part-Time Employment,0.05678,31,390,0.03378,0.07977
1984,Berlin,Not Employed,0.35549,144,390,0.30792,0.40305
1985,Schleswig-Holstein,Full-Time Employment,0.34287,159,308,0.28977,0.39597
1985,Schleswig-Holstein,Not Employed,0.38457,149,308,0.33014,0.43899
1985,Hamburg,Full-Time Employment,0.35923,128,242,0.29866,0.41981
1985,Hamburg,Not Employed,0.43230,114,242,0.36976,0.49485
1985,Lower Saxony,Full-Time Employment,0.31263,451,1056,0.28466,0.34061
1985,Lower Saxony,Regular Part-Time Employment,0.06270,83,1056,0.04807,0.07733
1985,Lower Saxony,Not Employed,0.43276,522,1056,0.40286,0.46266
1985,Bremen,Full-Time Employment,0.18295,31,105,0.10864,0.25725
1985,Bremen,Not Employed,0.65045,74,105,0.55881,0.74210
1985,North Rhine-Westphalia,Full-Time Employment,0.34287,1358,2961,0.32577,0.35997
1985,North Rhine-Westphalia,Regular Part-Time Employment,0.05004,185,2961,0.04219,0.05790
1985,North Rhine-Westphalia,Vocational Training,0.01977,75,2961,0.01476,0.02479
1985,North Rhine-Westphalia,"Marginal, Irregular Part-Time Employment",0.01864,65,2961,0.01377,0.02351
1985,North Rhine-Westphalia,Not Employed,0.39639,1278,2961,0.37877,0.41402
1985,Hesse,Full-Time Employment,0.35802,551,1114,0.32985,0.38618
1985,Hesse,Regular Part-Time Employment,0.05863,70,1114,0.04482,0.07243
1985,Hesse,"Marginal, Irregular Part-Time Employment",0.02359,32,1114,0.01467,0.03250
1985,Hesse,Not Employed,0.40220,461,1114,0.37339,0.43101
1985,"Rhineland-Palatinate, Saarland",Full-Time Employment,0.34703,345,737,0.31264,0.38142
1985,"Rhineland-Palatinate, Saarland",Regular Part-Time Employment,0.04272,38,737,0.02811,0.05733
1985,"Rhineland-Palatinate, Saarland",Not Employed,0.43031,354,737,0.39453,0.46608
1985,Baden-Wuerttemberg,Full-Time Employment,0.37583,1074,2041,0.35481,0.39685
1985,Baden-Wuerttemberg,Regular Part-Time Employment,0.06176,142,2041,0.05131,0.07220
1985,Baden-Wuerttemberg,Vocational Training,0.02323,62,2041,0.01669,0.02976
1985,Baden-Wuerttemberg,"Marginal, Irregular Part-Time Employment",0.01703,35,2041,0.01142,0.02265
1985,Baden-Wuerttemberg,Not Employed,0.33932,728,2041,0.31877,0.35986
1985,Bavaria,Full-Time Employment,0.36438,940,1897,0.34272,0.38604
1985,Bavaria,Regular Part-Time Employment,0.06343,147,1897,0.05246,0.07440
