year,age_gr,regtyp,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Full-Time Employment,0.46564,1129,2488,0.44603,0.48524
1985,17-29 y.,Urban regions,Regular Part-Time Employment,0.03910,96,2488,0.03148,0.04672
1985,17-29 y.,Urban regions,Vocational Training,0.09053,212,2488,0.07926,0.10181
1985,17-29 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.03016,73,2488,0.02344,0.03689
1985,17-29 y.,Urban regions,Not Employed,0.37456,978,2488,0.35554,0.39359
1985,17-29 y.,Rural regions,Full-Time Employment,0.47627,315,621,0.43696,0.51559
1985,17-29 y.,Rural regions,Vocational Training,0.10612,63,621,0.08187,0.13036
1985,17-29 y.,Rural regions,Not Employed,0.36802,243,621,0.33005,0.40598
1985,30-45 y.,Urban regions,Full-Time Employment,0.61404,1690,2743,0.59582,0.63226
1985,30-45 y.,Urban regions,Regular Part-Time Employment,0.11637,285,2743,0.10437,0.12838
1985,30-45 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.02772,64,2743,0.02158,0.03387
1985,30-45 y.,Urban regions,Not Employed,0.23833,704,2743,0.22238,0.25428
1985,30-45 y.,Rural regions,Full-Time Employment,0.55790,423,702,0.52114,0.59467
1985,30-45 y.,Rural regions,Regular Part-Time Employment,0.13598,85,702,0.11061,0.16136
1985,30-45 y.,Rural regions,Not Employed,0.27308,194,702,0.24010,0.30606
1985,46-65 y.,Urban regions,Full-Time Employment,0.45635,1322,2605,0.43721,0.47548
1985,46-65 y.,Urban regions,Regular Part-Time Employment,0.08222,195,2605,0.07166,0.09277
1985,46-65 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.01571,35,2605,0.01093,0.02049
1985,46-65 y.,Urban regions,Not Employed,0.44573,1053,2605,0.42664,0.46482
1985,46-65 y.,Rural regions,Full-Time Employment,0.43413,320,681,0.39688,0.47139
1985,46-65 y.,Rural regions,Regular Part-Time Employment,0.07715,53,681,0.05710,0.09721
1985,46-65 y.,Rural regions,Not Employed,0.46103,308,681,0.42357,0.49850
1985,66 and older,Urban regions,Not Employed,0.96239,778,778,0.94901,0.97577
1985,66 and older,Rural regions,Not Employed,0.97139,281,281,0.95186,0.99092
1986,17-29 y.,Urban regions,Full-Time Employment,0.46982,1096,2413,0.44990,0.48974
1986,17-29 y.,Urban regions,Regular Part-Time Employment,0.03625,83,2413,0.02879,0.04371
1986,17-29 y.,Urban regions,Vocational Training,0.11106,259,2413,0.09852,0.12360
1986,17-29 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.02003,48,2413,0.01444,0.02562
1986,17-29 y.,Urban regions,Not Employed,0.36265,927,2413,0.34346,0.38183
1986,17-29 y.,Rural regions,Full-Time Employment,0.46125,288,627,0.42220,0.50030
1986,17-29 y.,Rural regions,Regular Part-Time Employment,0.05383,33,627,0.03615,0.07151
1986,17-29 y.,Rural regions,Vocational Training,0.15204,95,627,0.12391,0.18017
1986,17-29 y.,Rural regions,Not Employed,0.31082,211,627,0.27456,0.34707
1986,30-45 y.,Urban regions,Full-Time Employment,0.60975,1571,2591,0.59097,0.62854
1986,30-45 y.,Urban regions,Regular Part-Time Employment,0.10339,246,2591,0.09166,0.11511
1986,30-45 y.,Urban regions,"Marginal, Irregular Part-Time Employment",0.03426,82,2591,0.02726,0.04127
