year,sex,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Full-Time Employment,0.51616,4086,5953,0.50347,0.52886
1984,male,Regular Part-Time Employment,0.00637,41,5953,0.00435,0.00839
1984,male,Vocational Training,0.03264,262,5953,0.02812,0.03715
1984,male,"Marginal, Irregular Part-Time Employment",0.00961,61,5953,0.00713,0.01209
1984,male,Not Employed,0.24782,1503,5953,0.23685,0.25879
1984,female,Full-Time Employment,0.17660,1590,6211,0.16711,0.18608
1984,female,Regular Part-Time Employment,0.08140,620,6211,0.07459,0.08820
1984,female,Vocational Training,0.02291,176,6211,0.01918,0.02663
1984,female,"Marginal, Irregular Part-Time Employment",0.03815,280,6211,0.03339,0.04292
1984,female,Not Employed,0.51974,3545,6211,0.50731,0.53216
1985,male,Full-Time Employment,0.51862,3697,5414,0.50531,0.53193
1985,male,Regular Part-Time Employment,0.00953,57,5414,0.00694,0.01212
1985,male,Vocational Training,0.02414,170,5414,0.02005,0.02823
1985,male,"Marginal, Irregular Part-Time Employment",0.00961,57,5414,0.00701,0.01221
1985,male,Not Employed,0.26540,1433,5414,0.25364,0.27717
1985,female,Full-Time Employment,0.19623,1520,5612,0.18584,0.20662
1985,female,Regular Part-Time Employment,0.10106,697,5612,0.09318,0.10895
1985,female,Vocational Training,0.01762,114,5612,0.01417,0.02106
1985,female,"Marginal, Irregular Part-Time Employment",0.02621,175,5612,0.02203,0.03039
1985,female,Not Employed,0.50783,3106,5612,0.49475,0.52091
1986,male,Full-Time Employment,0.51683,3530,5231,0.50328,0.53037
1986,male,Regular Part-Time Employment,0.01064,65,5231,0.00786,0.01342
1986,male,Vocational Training,0.03066,210,5231,0.02599,0.03533
1986,male,"Marginal, Irregular Part-Time Employment",0.00770,40,5231,0.00533,0.01006
1986,male,Not Employed,0.26285,1386,5231,0.25092,0.27478
1986,female,Full-Time Employment,0.19919,1467,5352,0.18849,0.20989
1986,female,Regular Part-Time Employment,0.08665,576,5352,0.07912,0.09419
1986,female,Vocational Training,0.02244,154,5352,0.01847,0.02640
1986,female,"Marginal, Irregular Part-Time Employment",0.03345,226,5352,0.02863,0.03827
1986,female,Not Employed,0.50380,2929,5352,0.49040,0.51720
1987,male,Full-Time Employment,0.51913,3477,5172,0.50552,0.53275
1987,male,Regular Part-Time Employment,0.00808,43,5172,0.00564,0.01052
1987,male,Vocational Training,0.03242,247,5172,0.02759,0.03725
1987,male,"Marginal, Irregular Part-Time Employment",0.01021,49,5172,0.00747,0.01295
1987,male,Not Employed,0.25360,1356,5172,0.24175,0.26546
1987,female,Full-Time Employment,0.20260,1452,5277,0.19176,0.21345
1987,female,Regular Part-Time Employment,0.10051,645,5277,0.09240,0.10863
1987,female,Vocational Training,0.02601,188,5277,0.02171,0.03030
1987,female,"Marginal, Irregular Part-Time Employment",0.02379,163,5277,0.01968,0.02790
1987,female,Not Employed,0.49253,2829,5277,0.47904,0.50602
1988,male,Full-Time Employment,0.51689,3277,4929,0.50294,0.53085
1988,male,Regular Part-Time Employment,0.00762,45,4929,0.00520,0.01005
1988,male,Vocational Training,0.03120,243,4929,0.02634,0.03605
1988,male,"Marginal, Irregular Part-Time Employment",0.00943,48,4929,0.00673,0.01213
1988,male,Not Employed,0.25991,1316,4929,0.24766,0.27215
1988,female,Full-Time Employment,0.20369,1370,5039,0.19257,0.21481
1988,female,Regular Part-Time Employment,0.10260,634,5039,0.09422,0.11098
1988,female,Vocational Training,0.02446,186,5039,0.02020,0.02873
1988,female,"Marginal, Irregular Part-Time Employment",0.02536,159,5039,0.02102,0.02970
1988,female,Not Employed,0.48803,2690,5039,0.47423,0.50183
1989,male,Full-Time Employment,0.52084,3216,4761,0.50665,0.53503
1989,male,Regular Part-Time Employment,0.00874,44,4761,0.00610,0.01138
1989,male,Vocational Training,0.03162,220,4761,0.02665,0.03659
1989,male,"Marginal, Irregular Part-Time Employment",0.00890,44,4761,0.00623,0.01156
1989,male,Not Employed,0.25617,1237,4761,0.24377,0.26857
1989,female,Full-Time Employment,0.21289,1398,4901,0.20142,0.22435
1989,female,Regular Part-Time Employment,0.10501,629,4901,0.09643,0.11360
1989,female,Vocational Training,0.02162,154,4901,0.01755,0.02570
1989,female,"Marginal, Irregular Part-Time Employment",0.02438,152,4901,0.02006,0.02870
1989,female,Not Employed,0.48252,2568,4901,0.46853,0.49651
1990,male,Full-Time Employment,0.53697,4827,6769,0.52510,0.54885
1990,male,Regular Part-Time Employment,0.01042,80,6769,0.00800,0.01284
1990,male,Vocational Training,0.03061,277,6769,0.02650,0.03471
1990,male,"Marginal, Irregular Part-Time Employment",0.00611,40,6769,0.00425,0.00797
1990,male,Not Employed,0.22834,1545,6769,0.21833,0.23834
1990,female,Full-Time Employment,0.24603,2557,7117,0.23603,0.25604
1990,female,Regular Part-Time Employment,0.11651,1050,7117,0.10906,0.12397
1990,female,Vocational Training,0.01890,196,7117,0.01574,0.02206
1990,female,"Marginal, Irregular Part-Time Employment",0.01901,148,7117,0.01584,0.02218
1990,female,Not Employed,0.43254,3166,7117,0.42102,0.44405
1991,male,Full-Time Employment,0.52351,4562,6632,0.51149,0.53553
1991,male,Regular Part-Time Employment,0.01106,79,6632,0.00854,0.01357
1991,male,Vocational Training,0.02911,281,6632,0.02506,0.03316
1991,male,"Marginal, Irregular Part-Time Employment",0.00922,63,6632,0.00692,0.01152
1991,male,Not Employed,0.23889,1647,6632,0.22862,0.24915
1991,female,Full-Time Employment,0.23806,2397,6954,0.22805,0.24807
1991,female,Regular Part-Time Employment,0.10742,903,6954,0.10015,0.11470
1991,female,Vocational Training,0.02257,230,6954,0.01908,0.02606
1991,female,"Marginal, Irregular Part-Time Employment",0.02434,181,6954,0.02072,0.02796
1991,female,Not Employed,0.44276,3243,6954,0.43108,0.45443
1992,male,Full-Time Employment,0.50659,4290,6463,0.49440,0.51878
1992,male,Regular Part-Time Employment,0.01082,71,6463,0.00830,0.01335
1992,male,Vocational Training,0.02635,259,6463,0.02244,0.03026
1992,male,"Marginal, Irregular Part-Time Employment",0.01060,68,6463,0.00810,0.01309
1992,male,Not Employed,0.25915,1775,6463,0.24846,0.26983
1992,female,Full-Time Employment,0.22753,2214,6853,0.21760,0.23746
1992,female,Regular Part-Time Employment,0.10729,872,6853,0.09996,0.11462
1992,female,Vocational Training,0.02188,227,6853,0.01842,0.02535
1992,female,"Marginal, Irregular Part-Time Employment",0.01469,116,6853,0.01185,0.01754
1992,female,Not Employed,0.46246,3424,6853,0.45065,0.47426
1993,male,Full-Time Employment,0.49869,4135,6365,0.48641,0.51098
1993,male,Regular Part-Time Employment,0.00961,61,6365,0.00722,0.01201
1993,male,Vocational Training,0.02923,271,6365,0.02509,0.03337
1993,male,"Marginal, Irregular Part-Time Employment",0.00832,51,6365,0.00609,0.01055
