year,age_gr,bula_h,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,Full-Time Employment,0.42927,42,78,0.31871,0.53983
1984,17-29 y.,Schleswig-Holstein,Not Employed,0.37054,36,78,0.26267,0.47842
1984,17-29 y.,Lower Saxony,Full-Time Employment,0.32282,109,319,0.27143,0.37421
1984,17-29 y.,Lower Saxony,Vocational Training,0.17273,53,319,0.13118,0.21428
1984,17-29 y.,Lower Saxony,Not Employed,0.45798,157,319,0.40322,0.51274
1984,17-29 y.,North Rhine-Westphalia,Full-Time Employment,0.41881,396,935,0.38717,0.45045
1984,17-29 y.,North Rhine-Westphalia,Vocational Training,0.11081,107,935,0.09068,0.13095
1984,17-29 y.,North Rhine-Westphalia,Not Employed,0.42978,432,935,0.39803,0.46153
1984,17-29 y.,Hesse,Full-Time Employment,0.38896,156,354,0.33810,0.43981
1984,17-29 y.,Hesse,Vocational Training,0.13762,46,354,0.10168,0.17356
1984,17-29 y.,Hesse,Not Employed,0.40511,152,354,0.35390,0.45633
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Full-Time Employment,0.44669,110,234,0.38285,0.51053
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Vocational Training,0.14597,35,234,0.10063,0.19130
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Not Employed,0.35938,89,234,0.29777,0.42099
1984,17-29 y.,Baden-Wuerttemberg,Full-Time Employment,0.48580,322,618,0.44636,0.52524
1984,17-29 y.,Baden-Wuerttemberg,Vocational Training,0.12559,78,618,0.09944,0.15174
1984,17-29 y.,Baden-Wuerttemberg,Not Employed,0.33385,218,618,0.29664,0.37106
1984,17-29 y.,Bavaria,Full-Time Employment,0.48526,264,541,0.44310,0.52741
1984,17-29 y.,Bavaria,Vocational Training,0.14925,83,541,0.11919,0.17930
1984,17-29 y.,Bavaria,Not Employed,0.32154,194,541,0.28214,0.36093
1984,17-29 y.,Berlin,Full-Time Employment,0.54543,51,51,0.40741,0.68345
1984,30-45 y.,Schleswig-Holstein,Full-Time Employment,0.58132,80,119,0.49231,0.67034
1984,30-45 y.,Schleswig-Holstein,Not Employed,0.25711,39,119,0.17825,0.33596
1984,30-45 y.,Hamburg,Full-Time Employment,0.66837,82,82,0.56584,0.77090
1984,30-45 y.,Lower Saxony,Full-Time Employment,0.58948,228,367,0.53908,0.63988
1984,30-45 y.,Lower Saxony,Regular Part-Time Employment,0.11511,40,367,0.08241,0.14780
1984,30-45 y.,Lower Saxony,Not Employed,0.23315,99,367,0.18983,0.27647
1984,30-45 y.,North Rhine-Westphalia,Full-Time Employment,0.56430,626,1092,0.53488,0.59373
1984,30-45 y.,North Rhine-Westphalia,Regular Part-Time Employment,0.09595,88,1092,0.07848,0.11343
