year,quintil_oecd,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Full-Time Employment,0.16171,717,2486,0.14724,0.17619
1984,1st Quintile,Regular Part-Time Employment,0.01938,67,2486,0.01396,0.02480
1984,1st Quintile,Vocational Training,0.02876,98,2486,0.02219,0.03533
1984,1st Quintile,"Marginal, Irregular Part-Time Employment",0.02308,73,2486,0.01718,0.02898
1984,1st Quintile,Not Employed,0.53470,1531,2486,0.51509,0.55431
1984,2nd Quintile,Full-Time Employment,0.26944,960,2387,0.25164,0.28724
1984,2nd Quintile,Regular Part-Time Employment,0.03211,98,2387,0.02504,0.03918
1984,2nd Quintile,Vocational Training,0.03189,106,2387,0.02484,0.03893
1984,2nd Quintile,"Marginal, Irregular Part-Time Employment",0.02928,83,2387,0.02251,0.03604
1984,2nd Quintile,Not Employed,0.43119,1140,2387,0.41132,0.45107
1984,3rd Quintile,Full-Time Employment,0.33216,1114,2363,0.31317,0.35116
1984,3rd Quintile,Regular Part-Time Employment,0.05032,153,2363,0.04150,0.05913
1984,3rd Quintile,Vocational Training,0.03778,114,2363,0.03010,0.04547
1984,3rd Quintile,"Marginal, Irregular Part-Time Employment",0.02190,56,2363,0.01600,0.02780
1984,3rd Quintile,Not Employed,0.37896,926,2363,0.35939,0.39852
1984,4th Quintile,Full-Time Employment,0.41417,1379,2498,0.39485,0.43349
1984,4th Quintile,Regular Part-Time Employment,0.06361,177,2498,0.05404,0.07319
1984,4th Quintile,Vocational Training,0.02457,78,2498,0.01850,0.03065
1984,4th Quintile,"Marginal, Irregular Part-Time Employment",0.02143,60,2498,0.01575,0.02711
1984,4th Quintile,Not Employed,0.32808,804,2498,0.30967,0.34650
1984,5th Quintile,Full-Time Employment,0.51902,1502,2407,0.49906,0.53899
1984,5th Quintile,Regular Part-Time Employment,0.06291,166,2407,0.05321,0.07261
1984,5th Quintile,Vocational Training,0.01506,42,2407,0.01020,0.01993
1984,5th Quintile,"Marginal, Irregular Part-Time Employment",0.02718,69,2407,0.02068,0.03368
1984,5th Quintile,Not Employed,0.27090,628,2407,0.25315,0.28866
1985,1st Quintile,Full-Time Employment,0.17252,684,2249,0.15690,0.18814
1985,1st Quintile,Regular Part-Time Employment,0.03794,109,2249,0.03004,0.04584
1985,1st Quintile,Vocational Training,0.02502,68,2249,0.01857,0.03148
1985,1st Quintile,"Marginal, Irregular Part-Time Employment",0.02306,55,2249,0.01685,0.02926
1985,1st Quintile,Not Employed,0.51645,1333,2249,0.49579,0.53710
1985,2nd Quintile,Full-Time Employment,0.26186,859,2158,0.24330,0.28041
1985,2nd Quintile,Regular Part-Time Employment,0.04935,137,2158,0.04021,0.05849
1985,2nd Quintile,Vocational Training,0.02082,62,2158,0.01479,0.02684
