year,sampreg,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Full-Time Employment,0.33879,5676,12164,0.33038,0.34721
1984,West,Regular Part-Time Employment,0.04556,661,12164,0.04185,0.04926
1984,West,Vocational Training,0.02755,438,12164,0.02464,0.03046
1984,West,"Marginal, Irregular Part-Time Employment",0.02452,341,12164,0.02177,0.02727
1984,West,Not Employed,0.38985,5048,12164,0.38119,0.39852
1985,West,Full-Time Employment,0.34999,5217,11026,0.34109,0.35889
1985,West,Regular Part-Time Employment,0.05741,754,11026,0.05307,0.06175
1985,West,Vocational Training,0.02073,284,11026,0.01807,0.02339
1985,West,"Marginal, Irregular Part-Time Employment",0.01830,232,11026,0.01579,0.02080
1985,West,Not Employed,0.39220,4539,11026,0.38309,0.40132
1986,West,Full-Time Employment,0.35098,4997,10583,0.34189,0.36007
1986,West,Regular Part-Time Employment,0.05033,641,10583,0.04616,0.05450
1986,West,Vocational Training,0.02637,364,10583,0.02331,0.02942
1986,West,"Marginal, Irregular Part-Time Employment",0.02114,266,10583,0.01840,0.02388
1986,West,Not Employed,0.38866,4315,10583,0.37937,0.39795
1987,West,Full-Time Employment,0.35445,4929,10449,0.34527,0.36362
1987,West,Regular Part-Time Employment,0.05617,688,10449,0.05176,0.06059
1987,West,Vocational Training,0.02908,435,10449,0.02586,0.03231
1987,West,"Marginal, Irregular Part-Time Employment",0.01728,212,10449,0.01478,0.01978
1987,West,Not Employed,0.37791,4185,10449,0.36862,0.38721
1988,West,Full-Time Employment,0.35457,4647,9968,0.34518,0.36396
1988,West,Regular Part-Time Employment,0.05685,679,9968,0.05230,0.06139
1988,West,Vocational Training,0.02771,429,9968,0.02449,0.03093
1988,West,"Marginal, Irregular Part-Time Employment",0.01769,207,9968,0.01510,0.02027
1988,West,Not Employed,0.37813,4006,9968,0.36861,0.38765
1989,West,Full-Time Employment,0.36147,4614,9662,0.35189,0.37105
1989,West,Regular Part-Time Employment,0.05856,673,9662,0.05388,0.06324
1989,West,Vocational Training,0.02645,374,9662,0.02325,0.02965
1989,West,"Marginal, Irregular Part-Time Employment",0.01691,196,9662,0.01434,0.01948
1989,West,Not Employed,0.37331,3805,9662,0.36366,0.38295
1990,West,Full-Time Employment,0.36466,4506,9461,0.35496,0.37436
1990,West,Regular Part-Time Employment,0.06506,722,9461,0.06009,0.07003
1990,West,Vocational Training,0.02567,341,9461,0.02248,0.02885
1990,West,"Marginal, Irregular Part-Time Employment",0.01562,178,9461,0.01313,0.01812
1990,West,Not Employed,0.36258,3714,9461,0.35290,0.37227
1990,East,Full-Time Employment,0.47122,2878,4415,0.45649,0.48594
1990,East,Regular Part-Time Employment,0.06545,408,4415,0.05815,0.07275
1990,East,Vocational Training,0.02033,132,4415,0.01616,0.02449
1990,East,Not Employed,0.22275,997,4415,0.21047,0.23503
1991,West,Full-Time Employment,0.36042,4508,9447,0.35073,0.37010
1991,West,Regular Part-Time Employment,0.06618,750,9447,0.06116,0.07119
1991,West,Vocational Training,0.02725,383,9447,0.02397,0.03054
1991,West,"Marginal, Irregular Part-Time Employment",0.02049,227,9447,0.01763,0.02335
1991,West,Not Employed,0.35378,3579,9447,0.34413,0.36342
1991,East,Full-Time Employment,0.43675,2451,4122,0.42161,0.45190
1991,East,Regular Part-Time Employment,0.04012,232,4122,0.03413,0.04611
1991,East,Vocational Training,0.01994,128,4122,0.01567,0.02421
1991,East,Not Employed,0.30692,1311,4122,0.29284,0.32100
1992,West,Full-Time Employment,0.35640,4399,9340,0.34668,0.36611
1992,West,Regular Part-Time Employment,0.06889,784,9340,0.06375,0.07403
1992,West,Vocational Training,0.02380,334,9340,0.02071,0.02689
1992,West,"Marginal, Irregular Part-Time Employment",0.01493,165,9340,0.01247,0.01739
1992,West,Not Employed,0.36257,3658,9340,0.35282,0.37232
1992,East,Full-Time Employment,0.38890,2105,3957,0.37371,0.40410
1992,East,Regular Part-Time Employment,0.02752,159,3957,0.02242,0.03262
1992,East,Vocational Training,0.02504,152,3957,0.02017,0.02991
1992,East,Not Employed,0.36830,1541,3957,0.35327,0.38333
1993,West,Full-Time Employment,0.35522,4338,9272,0.34548,0.36496
1993,West,Regular Part-Time Employment,0.06798,764,9272,0.06286,0.07311
1993,West,Vocational Training,0.02427,336,9272,0.02113,0.02740
1993,West,"Marginal, Irregular Part-Time Employment",0.01697,176,9272,0.01434,0.01960
1993,West,Not Employed,0.36156,3658,9272,0.35178,0.37134
1993,East,Full-Time Employment,0.36566,1923,3810,0.35037,0.38096
1993,East,Regular Part-Time Employment,0.02828,154,3810,0.02302,0.03354
1993,East,Vocational Training,0.03251,176,3810,0.02688,0.03815
1993,East,Not Employed,0.38211,1557,3810,0.36668,0.39754
1994,West,Full-Time Employment,0.34454,4142,9098,0.33477,0.35430
1994,West,Regular Part-Time Employment,0.06416,708,9098,0.05913,0.06920
1994,West,Vocational Training,0.02028,278,9098,0.01739,0.02318
1994,West,"Marginal, Irregular Part-Time Employment",0.01952,210,9098,0.01667,0.02236
1994,West,Not Employed,0.37487,3760,9098,0.36492,0.38481
1994,East,Full-Time Employment,0.35918,1841,3749,0.34382,0.37454
1994,East,Regular Part-Time Employment,0.03285,175,3749,0.02715,0.03856
1994,East,Vocational Training,0.03038,176,3749,0.02489,0.03588
1994,East,Not Employed,0.39138,1557,3749,0.37576,0.40701
1995,West,Full-Time Employment,0.33685,4328,9590,0.32739,0.34631
1995,West,Regular Part-Time Employment,0.06486,763,9590,0.05993,0.06979
1995,West,Vocational Training,0.01997,290,9590,0.01717,0.02277
1995,West,"Marginal, Irregular Part-Time Employment",0.02199,259,9590,0.01905,0.02492
1995,West,Not Employed,0.37687,3950,9590,0.36717,0.38657
1995,East,Full-Time Employment,0.36337,1804,3693,0.34785,0.37888
1995,East,Regular Part-Time Employment,0.04047,213,3693,0.03411,0.04682
1995,East,Vocational Training,0.02873,164,3693,0.02334,0.03412
1995,East,"Marginal, Irregular Part-Time Employment",0.00701,32,3693,0.00432,0.00970
1995,East,Not Employed,0.38518,1480,3693,0.36948,0.40088
1996,West,Full-Time Employment,0.33295,4162,9363,0.32340,0.34250
1996,West,Regular Part-Time Employment,0.07244,841,9363,0.06719,0.07769
1996,West,Vocational Training,0.01879,265,9363,0.01604,0.02154
1996,West,"Marginal, Irregular Part-Time Employment",0.02122,244,9363,0.01830,0.02414
1996,West,Not Employed,0.37570,3851,9363,0.36589,0.38552
1996,East,Full-Time Employment,0.34953,1733,3657,0.33408,0.36499
1996,East,Regular Part-Time Employment,0.04257,213,3657,0.03602,0.04911
1996,East,Vocational Training,0.02784,169,3657,0.02251,0.03317
1996,East,Not Employed,0.40270,1542,3657,0.38680,0.41860
1997,West,Full-Time Employment,0.32941,4035,9194,0.31980,0.33902
1997,West,Regular Part-Time Employment,0.07088,797,9194,0.06563,0.07613
1997,West,Vocational Training,0.01836,266,9194,0.01561,0.02110
1997,West,"Marginal, Irregular Part-Time Employment",0.01869,228,9194,0.01592,0.02146
1997,West,Not Employed,0.38379,3868,9194,0.37385,0.39373
1997,East,Full-Time Employment,0.34320,1688,3634,0.32777,0.35864
1997,East,Regular Part-Time Employment,0.04239,195,3634,0.03584,0.04894
1997,East,Vocational Training,0.02505,157,3634,0.01996,0.03013
1997,East,"Marginal, Irregular Part-Time Employment",0.00738,31,3634,0.00459,0.01016
1997,East,Not Employed,0.41882,1563,3634,0.40278,0.43487
1998,West,Full-Time Employment,0.32946,4485,10362,0.32041,0.33851
1998,West,Regular Part-Time Employment,0.07219,907,10362,0.06720,0.07717
1998,West,Vocational Training,0.01963,303,10362,0.01696,0.02230
1998,West,"Marginal, Irregular Part-Time Employment",0.01842,260,10362,0.01583,0.02101
1998,West,Not Employed,0.38275,4407,10362,0.37339,0.39211
1998,East,Full-Time Employment,0.33638,1738,3863,0.32148,0.35129
1998,East,Regular Part-Time Employment,0.04127,203,3863,0.03500,0.04754
1998,East,Vocational Training,0.02895,175,3863,0.02366,0.03423
1998,East,"Marginal, Irregular Part-Time Employment",0.00915,45,3863,0.00615,0.01216
1998,East,Not Employed,0.42179,1702,3863,0.40622,0.43737
1999,West,Full-Time Employment,0.33391,4327,9877,0.32460,0.34321
1999,West,Regular Part-Time Employment,0.07029,887,9877,0.06524,0.07533
1999,West,Vocational Training,0.02025,284,9877,0.01747,0.02303
1999,West,"Marginal, Irregular Part-Time Employment",0.03070,376,9877,0.02730,0.03411
1999,West,Not Employed,0.36760,4003,9877,0.35809,0.37711
1999,East,Full-Time Employment,0.34439,1716,3781,0.32924,0.35954
1999,East,Regular Part-Time Employment,0.04707,229,3781,0.04032,0.05382
1999,East,Vocational Training,0.02761,163,3781,0.02239,0.03283
1999,East,"Marginal, Irregular Part-Time Employment",0.01234,60,3781,0.00882,0.01586
1999,East,Not Employed,0.41410,1613,3781,0.39840,0.42980
2000,West,Full-Time Employment,0.33402,7570,18234,0.32717,0.34087
2000,West,Regular Part-Time Employment,0.07952,1864,18234,0.07559,0.08344
2000,West,Vocational Training,0.01790,457,18234,0.01598,0.01983
2000,West,"Marginal, Irregular Part-Time Employment",0.02940,662,18234,0.02695,0.03185
2000,West,Not Employed,0.36098,7681,18234,0.35400,0.36795
2000,East,Full-Time Employment,0.33326,2490,5844,0.32118,0.34535
2000,East,Regular Part-Time Employment,0.04978,368,5844,0.04420,0.05535
2000,East,Vocational Training,0.02814,239,5844,0.02390,0.03239
2000,East,"Marginal, Irregular Part-Time Employment",0.01802,104,5844,0.01461,0.02143
2000,East,Not Employed,0.41849,2643,5844,0.40584,0.43114
2001,West,Full-Time Employment,0.33070,6788,16462,0.32352,0.33789
2001,West,Regular Part-Time Employment,0.07934,1699,16462,0.07521,0.08347
2001,West,Vocational Training,0.02063,454,16462,0.01846,0.02280
2001,West,"Marginal, Irregular Part-Time Employment",0.03022,642,16462,0.02760,0.03283
2001,West,Not Employed,0.36069,6879,16462,0.35336,0.36803
2001,East,Full-Time Employment,0.33163,2271,5430,0.31910,0.34415
