year,age_gr,migback,pgemplst,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Full-Time Employment,0.43021,1012,2347,0.41018,0.45025
1984,17-29 y.,No migration background,Regular Part-Time Employment,0.02736,70,2347,0.02076,0.03397
1984,17-29 y.,No migration background,Vocational Training,0.13848,316,2347,0.12451,0.15246
1984,17-29 y.,No migration background,"Marginal, Irregular Part-Time Employment",0.02356,59,2347,0.01742,0.02970
1984,17-29 y.,No migration background,Not Employed,0.37915,890,2347,0.35952,0.39878
1984,17-29 y.,Direct migration background,Full-Time Employment,0.45330,449,959,0.42178,0.48483
1984,17-29 y.,Direct migration background,Vocational Training,0.07926,95,959,0.06216,0.09637
1984,17-29 y.,Direct migration background,Not Employed,0.42862,415,959,0.39728,0.45995
1984,17-29 y.,Indirect migration background,Not Employed,0.45790,43,43,0.30722,0.60858
1984,30-45 y.,No migration background,Full-Time Employment,0.59526,1448,2497,0.57600,0.61452
1984,30-45 y.,No migration background,Regular Part-Time Employment,0.10511,277,2497,0.09308,0.11714
1984,30-45 y.,No migration background,"Marginal, Irregular Part-Time Employment",0.05034,129,2497,0.04176,0.05891
1984,30-45 y.,No migration background,Not Employed,0.24887,643,2497,0.23191,0.26583
1984,30-45 y.,Direct migration background,Full-Time Employment,0.60924,929,1361,0.58330,0.63517
1984,30-45 y.,Direct migration background,Regular Part-Time Employment,0.07494,64,1361,0.06094,0.08893
1984,30-45 y.,Direct migration background,Not Employed,0.28567,368,1361,0.26166,0.30968
1984,46-65 y.,No migration background,Full-Time Employment,0.44954,1198,2596,0.43040,0.46868
1984,46-65 y.,No migration background,Regular Part-Time Employment,0.06355,170,2596,0.05416,0.07293
1984,46-65 y.,No migration background,"Marginal, Irregular Part-Time Employment",0.02888,75,2596,0.02244,0.03533
1984,46-65 y.,No migration background,Not Employed,0.45803,1153,2596,0.43886,0.47720
1984,46-65 y.,Direct migration background,Full-Time Employment,0.52017,590,935,0.48813,0.55221
1984,46-65 y.,Direct migration background,Regular Part-Time Employment,0.06788,39,935,0.05175,0.08402
1984,46-65 y.,Direct migration background,Not Employed,0.39629,306,935,0.36492,0.42766
1984,66 and older,No migration background,Not Employed,0.96465,1181,1181,0.95411,0.97519
1984,66 and older,Direct migration background,Not Employed,0.99893,34,34,0.98778,1.01008
1985,17-29 y.,No migration background,Full-Time Employment,0.46665,1019,2205,0.44582,0.48748
1985,17-29 y.,No migration background,Regular Part-Time Employment,0.04000,91,2205,0.03182,0.04818
1985,17-29 y.,No migration background,Vocational Training,0.09680,205,2205,0.08446,0.10915
1985,17-29 y.,No migration background,"Marginal, Irregular Part-Time Employment",0.02546,58,2205,0.01889,0.03204
1985,17-29 y.,No migration background,Not Employed,0.37109,832,2205,0.35092,0.39126
1985,17-29 y.,Direct migration background,Full-Time Employment,0.48591,393,775,0.45070,0.52112
1985,17-29 y.,Direct migration background,Vocational Training,0.06494,52,775,0.04758,0.08230
1985,17-29 y.,Direct migration background,Not Employed,0.38641,330,775,0.35211,0.42072
1985,17-29 y.,Indirect migration background,Full-Time Employment,0.45497,32,91,0.35209,0.55785
1985,17-29 y.,Indirect migration background,Not Employed,0.41689,59,91,0.31503,0.51876
1985,30-45 y.,No migration background,Full-Time Employment,0.60013,1332,2272,0.57998,0.62028
1985,30-45 y.,No migration background,Regular Part-Time Employment,0.12747,301,2272,0.11375,0.14118
1985,30-45 y.,No migration background,"Marginal, Irregular Part-Time Employment",0.02983,72,2272,0.02283,0.03682
1985,30-45 y.,No migration background,Not Employed,0.23988,567,2272,0.22232,0.25744
1985,30-45 y.,Direct migration background,Full-Time Employment,0.61120,776,1165,0.58320,0.63921
1985,30-45 y.,Direct migration background,Regular Part-Time Employment,0.07238,64,1165,0.05750,0.08727
1985,30-45 y.,Direct migration background,Not Employed,0.28947,325,1165,0.26342,0.31552
1985,46-65 y.,No migration background,Full-Time Employment,0.44716,1108,2430,0.42739,0.46693
1985,46-65 y.,No migration background,Regular Part-Time Employment,0.08262,211,2430,0.07167,0.09357
1985,46-65 y.,No migration background,"Marginal, Irregular Part-Time Employment",0.01929,48,2430,0.01382,0.02476
1985,46-65 y.,No migration background,Not Employed,0.45093,1063,2430,0.43114,0.47071
1985,46-65 y.,Direct migration background,Full-Time Employment,0.49276,533,859,0.45930,0.52621
