"plh0108","year","bula_h","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"1 Sehr wichtig","1990","Schleswig-Holstein","Staedtischer Raum","23","","",""
"1 Sehr wichtig","1990","Schleswig-Holstein","Laendlicher Raum","30","0.197169573235805","0.130547266223439","0.263791880248171"
"1 Sehr wichtig","1990","Hamburg","Staedtischer Raum","8","","",""
"1 Sehr wichtig","1990","Hamburg","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Niedersachsen","Staedtischer Raum","68","0.160637450779103","0.124053483138831","0.197221418419375"
"1 Sehr wichtig","1990","Niedersachsen","Laendlicher Raum","132","0.301014428802343","0.258680596771533","0.343348260833152"
"1 Sehr wichtig","1990","Bremen","Staedtischer Raum","22","","",""
"1 Sehr wichtig","1990","Bremen","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Nordrhein-Westfalen","Staedtischer Raum","327","0.165109690817099","0.148149833708351","0.182069547925846"
"1 Sehr wichtig","1990","Nordrhein-Westfalen","Laendlicher Raum","15","","",""
"1 Sehr wichtig","1990","Hessen","Staedtischer Raum","119","0.204980326741798","0.171364930333001","0.238595723150595"
"1 Sehr wichtig","1990","Hessen","Laendlicher Raum","21","","",""
"1 Sehr wichtig","1990","Rheinland-Pfalz,Saarland","Staedtischer Raum","114","0.226818787640481","0.188083652172358","0.265553923108603"
"1 Sehr wichtig","1990","Rheinland-Pfalz,Saarland","Laendlicher Raum","28","","",""
"1 Sehr wichtig","1990","Baden-Wuerttemberg","Staedtischer Raum","284","0.275733390236607","0.247868102564202","0.303598677909013"
"1 Sehr wichtig","1990","Baden-Wuerttemberg","Laendlicher Raum","46","0.259272354408628","0.191368334953984","0.327176373863272"
"1 Sehr wichtig","1990","Bayern","Staedtischer Raum","147","0.220918655696085","0.188262892004588","0.253574419387581"
"1 Sehr wichtig","1990","Bayern","Laendlicher Raum","165","0.238954489502446","0.206171064484166","0.271737914520727"
"1 Sehr wichtig","1990","Saarland","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Saarland","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Berlin","Staedtischer Raum","11","","",""
"1 Sehr wichtig","1990","Berlin","Laendlicher Raum","","","",""
