year,regtyp,plh0108,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,Very important,0.19102,1128,5416,0.18055,0.20149
1990,Urban regions,Important,0.30229,1719,5416,0.29006,0.31452
1990,Urban regions,Less important,0.32146,1723,5416,0.30902,0.33390
1990,Urban regions,Unimportant,0.18524,846,5416,0.17489,0.19558
1990,Rural regions,Very important,0.24542,432,1671,0.22478,0.26606
1990,Rural regions,Important,0.32808,575,1671,0.30556,0.35060
1990,Rural regions,Less important,0.28094,473,1671,0.25939,0.30250
1990,Rural regions,Unimportant,0.14556,191,1671,0.12864,0.16247
1992,No answer / don't know,Less important,0.43840,55,55,0.30606,0.57075
1992,Urban regions,Very important,0.19813,1333,6573,0.18849,0.20777
1992,Urban regions,Important,0.28926,1900,6573,0.27830,0.30022
1992,Urban regions,Less important,0.31440,2164,6573,0.30318,0.32563
1992,Urban regions,Unimportant,0.19821,1176,6573,0.18857,0.20785
1992,Rural regions,Very important,0.25795,1142,4204,0.24472,0.27118
1992,Rural regions,Important,0.31528,1304,4204,0.30123,0.32932
1992,Rural regions,Less important,0.27003,1197,4204,0.25661,0.28345
1992,Rural regions,Unimportant,0.15674,561,4204,0.14575,0.16773
1995,Urban regions,Very important,0.20972,1470,6880,0.20010,0.21934
1995,Urban regions,Important,0.30491,2154,6880,0.29403,0.31579
1995,Urban regions,Less important,0.31932,2271,6880,0.30830,0.33033
1995,Urban regions,Unimportant,0.16605,985,6880,0.15726,0.17485
1995,Rural regions,Very important,0.27524,1197,4250,0.26181,0.28867
1995,Rural regions,Important,0.33970,1472,4250,0.32546,0.35394
1995,Rural regions,Less important,0.26199,1155,4250,0.24876,0.27521
1995,Rural regions,Unimportant,0.12308,426,4250,0.11320,0.13295
2004,Urban regions,Very important,0.21164,3231,14246,0.20493,0.21835
2004,Urban regions,Important,0.30339,4695,14246,0.29584,0.31094
2004,Urban regions,Less important,0.30611,4252,14246,0.29854,0.31368
2004,Urban regions,Unimportant,0.17886,2068,14246,0.17257,0.18515
2004,Rural regions,Very important,0.26169,1933,7164,0.25151,0.27187
2004,Rural regions,Important,0.33628,2536,7164,0.32534,0.34722
2004,Rural regions,Less important,0.27030,1906,7164,0.26001,0.28058
2004,Rural regions,Unimportant,0.13173,789,7164,0.12390,0.13956
2008,Urban regions,Very important,0.17099,2401,12616,0.16442,0.17756
2008,Urban regions,Important,0.30363,4167,12616,0.29561,0.31166
2008,Urban regions,Less important,0.32927,3949,12616,0.32107,0.33747
2008,Urban regions,Unimportant,0.19611,2099,12616,0.18918,0.20304
2008,Rural regions,Very important,0.21508,1520,6555,0.20513,0.22502
2008,Rural regions,Important,0.35770,2409,6555,0.34609,0.36930
2008,Rural regions,Less important,0.28031,1796,6555,0.26944,0.29118
2008,Rural regions,Unimportant,0.14692,830,6555,0.13834,0.15549
2012,Urban regions,Very important,0.17294,3200,17413,0.16732,0.17855
2012,Urban regions,Important,0.32046,5841,17413,0.31353,0.32739
2012,Urban regions,Less important,0.31139,5462,17413,0.30451,0.31827
2012,Urban regions,Unimportant,0.19521,2910,17413,0.18932,0.20110
2012,Rural regions,Very important,0.21708,2354,10045,0.20902,0.22515
2012,Rural regions,Important,0.36077,3720,10045,0.35138,0.37016
2012,Rural regions,Less important,0.26470,2639,10045,0.25608,0.27333
2012,Rural regions,Unimportant,0.15745,1332,10045,0.15032,0.16457
2016,Urban regions,Very important,0.18269,3058,15674,0.17664,0.18874
2016,Urban regions,Important,0.32821,5303,15674,0.32086,0.33556
2016,Urban regions,Less important,0.30506,4712,15674,0.29785,0.31226
2016,Urban regions,Unimportant,0.18404,2601,15674,0.17798,0.19011
2016,Rural regions,Very important,0.22221,2036,8460,0.21335,0.23107
2016,Rural regions,Important,0.36263,3220,8460,0.35239,0.37288
2016,Rural regions,Less important,0.26105,2105,8460,0.25169,0.27041
2016,Rural regions,Unimportant,0.15411,1099,8460,0.14642,0.16181
2021,Urban regions,Very important,0.18335,2226,11343,0.17622,0.19047
2021,Urban regions,Important,0.32499,3773,11343,0.31637,0.33361
2021,Urban regions,Less important,0.32095,3550,11343,0.31236,0.32954
2021,Urban regions,Unimportant,0.17072,1794,11343,0.16379,0.17764
2021,Rural regions,Very important,0.22745,1385,5755,0.21662,0.23829
2021,Rural regions,Important,0.36736,2147,5755,0.35491,0.37982
2021,Rural regions,Less important,0.26376,1485,5755,0.25238,0.27515
2021,Rural regions,Unimportant,0.14142,738,5755,0.13242,0.15042
