year,migback,sampreg,plh0108,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,West,Very important,0.20208,1435,6595,0.19239,0.21178
1990,No migration background,West,Important,0.31027,2150,6595,0.29910,0.32144
1990,No migration background,West,Less important,0.31053,2036,6595,0.29936,0.32170
1990,No migration background,West,Unimportant,0.17712,974,6595,0.16791,0.18633
1990,Direct migration background,West,Very important,0.22853,111,440,0.18925,0.26781
1990,Direct migration background,West,Important,0.29082,134,440,0.24833,0.33330
1990,Direct migration background,West,Less important,0.32378,139,440,0.28001,0.36755
1990,Direct migration background,West,Unimportant,0.15687,56,440,0.12285,0.19089
1992,No migration background,West,Very important,0.21757,1486,6468,0.20751,0.22762
1992,No migration background,West,Important,0.32125,2150,6468,0.30987,0.33263
1992,No migration background,West,Less important,0.29345,1927,6468,0.28235,0.30455
1992,No migration background,West,Unimportant,0.16773,905,6468,0.15863,0.17684
1992,No migration background,East,Very important,0.20262,845,3778,0.18980,0.21544
1992,No migration background,East,Important,0.22153,893,3778,0.20829,0.23478
1992,No migration background,East,Less important,0.33700,1315,3778,0.32193,0.35208
1992,No migration background,East,Unimportant,0.23885,725,3778,0.22525,0.25244
1992,Direct migration background,West,Very important,0.28468,124,426,0.24178,0.32758
1992,Direct migration background,West,Important,0.27433,133,426,0.23191,0.31675
1992,Direct migration background,West,Less important,0.26748,108,426,0.22539,0.30956
1992,Direct migration background,West,Unimportant,0.17351,61,426,0.13751,0.20952
1992,Direct migration background,East,Important,0.25338,33,120,0.17523,0.33152
1992,Direct migration background,East,Less important,0.21083,34,120,0.13754,0.28412
1992,Direct migration background,East,Unimportant,0.37781,53,120,0.29070,0.46492
1995,No migration background,West,Very important,0.22678,1521,6388,0.21651,0.23705
1995,No migration background,West,Important,0.32674,2161,6388,0.31524,0.33824
1995,No migration background,West,Less important,0.30022,1949,6388,0.28898,0.31146
1995,No migration background,West,Unimportant,0.14626,757,6388,0.13760,0.15493
1995,No migration background,East,Very important,0.23951,851,3492,0.22535,0.25366
1995,No migration background,East,Important,0.27221,1026,3492,0.25745,0.28698
