"plh0108","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr wichtig","1990","(noch) kein Abschluss","kein Migrationshintergrund","24","","",""
"Sehr wichtig","1990","(noch) kein Abschluss","direkter Migrationshintergrund","3","","",""
"Sehr wichtig","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","2","","",""
"Sehr wichtig","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr wichtig","1990","Hauptschule","kein Migrationshintergrund","966","0.231404225600363","0.217993629486838","0.244814821713889"
"Sehr wichtig","1990","Hauptschule","direkter Migrationshintergrund","58","0.211204627024015","0.160710005462238","0.261699248585792"
"Sehr wichtig","1990","Hauptschule","indirekter Migrationshintergrund","10","","",""
"Sehr wichtig","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr wichtig","1990","Realschule","kein Migrationshintergrund","230","0.152185181686167","0.133515583204383","0.170854780167952"
"Sehr wichtig","1990","Realschule","direkter Migrationshintergrund","27","","",""
"Sehr wichtig","1990","Realschule","indirekter Migrationshintergrund","2","","",""
"Sehr wichtig","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr wichtig","1990","(Fach-)Abitur","kein Migrationshintergrund","70","0.128809576883677","0.0999895066237355","0.157629647143619"
"Sehr wichtig","1990","(Fach-)Abitur","direkter Migrationshintergrund","8","","",""
"Sehr wichtig","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr wichtig","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr wichtig","1990","AkademikerIn","kein Migrationshintergrund","130","0.209520723139893","0.177038318539523","0.242003127740264"
"Sehr wichtig","1990","AkademikerIn","direkter Migrationshintergrund","14","","",""
"Sehr wichtig","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr wichtig","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Wichtig","1990","(noch) kein Abschluss","kein Migrationshintergrund","40","0.227388863460736","0.162032989742207","0.292744737179265"
"Wichtig","1990","(noch) kein Abschluss","direkter Migrationshintergrund","1","","",""
"Wichtig","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","1","","",""
"Wichtig","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Wichtig","1990","Hauptschule","kein Migrationshintergrund","1241","0.311759924098306","0.297030235459917","0.326489612736695"
"Wichtig","1990","Hauptschule","direkter Migrationshintergrund","78","0.290537262970098","0.234370816774472","0.346703709165724"
"Wichtig","1990","Hauptschule","indirekter Migrationshintergrund","6","","",""
"Wichtig","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Wichtig","1990","Realschule","kein Migrationshintergrund","463","0.310173663189803","0.286131660687715","0.33421566569189"
"Wichtig","1990","Realschule","direkter Migrationshintergrund","25","","",""
"Wichtig","1990","Realschule","indirekter Migrationshintergrund","1","","",""
"Wichtig","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Wichtig","1990","(Fach-)Abitur","kein Migrationshintergrund","151","0.272977672392151","0.234650935123319","0.311304409660983"
"Wichtig","1990","(Fach-)Abitur","direkter Migrationshintergrund","8","","",""
"Wichtig","1990","(Fach-)Abitur","indirekter Migrationshintergrund","2","","",""
"Wichtig","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Wichtig","1990","AkademikerIn","kein Migrationshintergrund","224","0.351703827799171","0.313591567044922","0.38981608855342"
"Wichtig","1990","AkademikerIn","direkter Migrationshintergrund","19","","",""
"Wichtig","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Wichtig","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weniger wichtig","1990","(noch) kein Abschluss","kein Migrationshintergrund","73","0.475526766184247","0.397657031362023","0.553396501006472"
"Weniger wichtig","1990","(noch) kein Abschluss","direkter Migrationshintergrund","3","","",""
"Weniger wichtig","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","3","","",""
"Weniger wichtig","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weniger wichtig","1990","Hauptschule","kein Migrationshintergrund","1005","0.27104032287985","0.256905767554222","0.285174878205479"
"Weniger wichtig","1990","Hauptschule","direkter Migrationshintergrund","79","0.330962074140955","0.27274830573496","0.38917584254695"
"Weniger wichtig","1990","Hauptschule","indirekter Migrationshintergrund","8","","",""
"Weniger wichtig","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weniger wichtig","1990","Realschule","kein Migrationshintergrund","520","0.356933235299861","0.332032061502753","0.381834409096969"
"Weniger wichtig","1990","Realschule","direkter Migrationshintergrund","29","","",""
"Weniger wichtig","1990","Realschule","indirekter Migrationshintergrund","5","","",""
"Weniger wichtig","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
