year,migback,sex,plh0108,proportion,n,lower_confidence,upper_confidence
1990,kein Migrationshintergrund,weiblich,2 Wichtig,0.15587941134447778,18165,0.1506042591343332,0.16115456355462235
1990,kein Migrationshintergrund,weiblich,3 Weniger wichtig,0.15059294184883554,18165,0.14539180103750232,0.15579408266016875
1990,kein Migrationshintergrund,maennlich,2 Wichtig,0.14773539077011003,18165,0.1425751748995019,0.15289560664071816
1990,kein Migrationshintergrund,maennlich,3 Weniger wichtig,0.13487641091584512,18165,0.12990882430757267,0.13984399752411758
1990,kein Migrationshintergrund,maennlich,1 Sehr wichtig,0.11315902271753107,18165,0.10855215395818402,0.11776589147687813
1990,kein Migrationshintergrund,weiblich,1 Sehr wichtig,0.09015573653379054,18165,0.08599070221979155,0.09432077084778953
1990,kein Migrationshintergrund,weiblich,4 Ganz unwichtig,0.08586940991570224,18165,0.08179502804616558,0.08994379178523891
1990,kein Migrationshintergrund,maennlich,4 Ganz unwichtig,0.05215030718674096,18165,0.04891707761293087,0.05538353676055106
1990,direkter Migrationshintergrund,weiblich,3 Weniger wichtig,0.01057293899128447,18165,0.009085537798314577,0.012060340184254363
1990,direkter Migrationshintergrund,weiblich,2 Wichtig,0.010001428775539363,18165,0.008554368313701637,0.01144848923737709
1990,direkter Migrationshintergrund,maennlich,3 Weniger wichtig,0.00928704100585798,18165,0.007892115633565682,0.010681966378150278
1990,direkter Migrationshintergrund,maennlich,2 Wichtig,0.009001285897985427,18165,0.007627790547164992,0.010374781248805863
1990,direkter Migrationshintergrund,weiblich,1 Sehr wichtig,0.008286898128304044,18165,0.006968558230183193,0.009605238026424894
1990,direkter Migrationshintergrund,maennlich,1 Sehr wichtig,0.007286755250750107,18165,0.006049904293046877,0.008523606208453337
1990,direkter Migrationshintergrund,weiblich,4 Ganz unwichtig,0.004572081725960852,18165,0.0035910111036430922,0.005553152348278611
1990,direkter Migrationshintergrund,maennlich,4 Ganz unwichtig,0.003286183740534362,18165,0.002453903602141075,0.004118463878927649
1990,indirekter Migrationshintergrund,weiblich,3 Weniger wichtig,0.001428775539362766,18165,0.0008794751625008033,0.0019780759162247286
1990,indirekter Migrationshintergrund,maennlich,3 Weniger wichtig,0.001428775539362766,18165,0.0008794751625008033,0.0019780759162247286
1990,indirekter Migrationshintergrund,weiblich,1 Sehr wichtig,0.001143020431490213,18165,0.0006516409459317288,0.001634399917048697
1990,indirekter Migrationshintergrund,maennlich,1 Sehr wichtig,0.0008572653236176596,18165,0.00043165733987068596,0.0012828733073646332
1990,indirekter Migrationshintergrund,weiblich,4 Ganz unwichtig,0.0008572653236176596,18165,0.00043165733987068596,0.0012828733073646332
1990,indirekter Migrationshintergrund,weiblich,2 Wichtig,0.0008572653236176596,18165,0.00043165733987068596,0.0012828733073646332
