,Unnamed: 0,year,age_gr,pgisced97,plh0108,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,17-29 y.,Pre-primary Level,Less important,1.0,60,6361,0.91006,1.09756
1,1,1990,17-29 y.,Lower Secondary Level,Very important,0.15958,72,6361,0.14431,0.17705
2,2,1990,17-29 y.,Lower Secondary Level,Important,0.29121,127,6361,0.26542,0.31075
3,3,1990,17-29 y.,Lower Secondary Level,Less important,0.40127,172,6361,0.37081,0.43296
4,4,1990,17-29 y.,Lower Secondary Level,Unimportant,0.14794,53,6361,0.12916,0.16972
5,5,1990,17-29 y.,Upper Secondary Level,Very important,0.15499,169,6361,0.14382,0.16623
6,6,1990,17-29 y.,Upper Secondary Level,Important,0.28802,291,6361,0.26742,0.30581
7,7,1990,17-29 y.,Upper Secondary Level,Less important,0.43134,423,6361,0.41083,0.45361
8,8,1990,17-29 y.,Upper Secondary Level,Unimportant,0.12565,115,6361,0.11038,0.14047
9,9,1990,17-29 y.,Post-secondary Non-tertiary Level,Less important,1.0,49,6361,0.86449,1.15545
10,10,1990,30-45 y.,Lower Secondary Level,Very important,0.20097,49,6361,0.18015,0.2249
11,11,1990,30-45 y.,Lower Secondary Level,Important,0.40205,77,6361,0.36447,0.43761
12,12,1990,30-45 y.,Lower Secondary Level,Less important,0.39698,84,6361,0.36914,0.42717
13,13,1990,30-45 y.,Upper Secondary Level,Very important,0.18651,239,6361,0.17887,0.1947
14,14,1990,30-45 y.,Upper Secondary Level,Important,0.33935,423,6361,0.32812,0.35215
15,15,1990,30-45 y.,Upper Secondary Level,Less important,0.36894,420,6361,0.35242,0.38351
16,16,1990,30-45 y.,Upper Secondary Level,Unimportant,0.1052,115,6361,0.09865,0.11335
17,17,1990,30-45 y.,First Stage of Tertiary Education,Very important,0.21968,37,6361,0.1985,0.24221
18,18,1990,30-45 y.,First Stage of Tertiary Education,Important,0.36687,66,6361,0.33348,0.40202
19,19,1990,30-45 y.,First Stage of Tertiary Education,Less important,0.41345,71,6361,0.35779,0.46396
20,20,1990,30-45 y.,Second Stage of Tertiary Education,Very important,0.14741,52,6361,0.12658,0.16486
21,21,1990,30-45 y.,Second Stage of Tertiary Education,Important,0.37657,122,6361,0.3461,0.40715
22,22,1990,30-45 y.,Second Stage of Tertiary Education,Less important,0.32687,102,6361,0.29601,0.36333
23,23,1990,30-45 y.,Second Stage of Tertiary Education,Unimportant,0.14915,39,6361,0.1242,0.17741
24,24,1990,46-65 y.,Lower Secondary Level,Very important,0.27356,173,6361,0.26175,0.28602
