year,bula_h,pgisced97,plh0108,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Upper Secondary Level,Very important,0.17777,32,131,0.11205,0.24350
1990,Schleswig-Holstein,Upper Secondary Level,Important,0.32952,47,131,0.24872,0.41032
1990,Schleswig-Holstein,Upper Secondary Level,Less important,0.34669,52,131,0.26488,0.42851
1990,Hamburg,Upper Secondary Level,Less important,0.42729,34,34,0.25851,0.59607
1990,Lower Saxony,Lower Secondary Level,Very important,0.28483,55,192,0.22082,0.34884
1990,Lower Saxony,Lower Secondary Level,Important,0.24893,53,192,0.18760,0.31025
1990,Lower Saxony,Lower Secondary Level,Less important,0.19488,42,192,0.13870,0.25105
1990,Lower Saxony,Lower Secondary Level,Unimportant,0.27137,42,192,0.20831,0.33443
1990,Lower Saxony,Upper Secondary Level,Very important,0.22366,105,460,0.18554,0.26178
1990,Lower Saxony,Upper Secondary Level,Important,0.30440,148,460,0.26230,0.34650
1990,Lower Saxony,Upper Secondary Level,Less important,0.29844,137,460,0.25658,0.34030
1990,Lower Saxony,Upper Secondary Level,Unimportant,0.17350,70,460,0.13886,0.20815
1990,North Rhine-Westphalia,Lower Secondary Level,Very important,0.16403,70,386,0.12704,0.20102
1990,North Rhine-Westphalia,Lower Secondary Level,Important,0.26824,110,386,0.22398,0.31250
1990,North Rhine-Westphalia,Lower Secondary Level,Less important,0.30260,116,386,0.25671,0.34849
1990,North Rhine-Westphalia,Lower Secondary Level,Unimportant,0.26513,90,386,0.22104,0.30922
1990,North Rhine-Westphalia,Upper Secondary Level,Very important,0.16436,185,1054,0.14198,0.18675
1990,North Rhine-Westphalia,Upper Secondary Level,Important,0.30268,337,1054,0.27493,0.33043
1990,North Rhine-Westphalia,Upper Secondary Level,Less important,0.36703,383,1054,0.33792,0.39614
1990,North Rhine-Westphalia,Upper Secondary Level,Unimportant,0.16593,149,1054,0.14346,0.18840
1990,North Rhine-Westphalia,First Stage of Tertiary Education,Important,0.25793,38,81,0.16206,0.35379
1990,North Rhine-Westphalia,First Stage of Tertiary Education,Less important,0.31668,43,81,0.21474,0.41862
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Very important,0.17758,38,175,0.12080,0.23437
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Important,0.41509,79,175,0.34188,0.48831
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Less important,0.30897,58,175,0.24031,0.37763
1990,Hesse,Lower Secondary Level,Very important,0.30749,48,133,0.22877,0.38621
1990,Hesse,Lower Secondary Level,Important,0.27649,40,133,0.20019,0.35279
1990,Hesse,Lower Secondary Level,Less important,0.25957,45,133,0.18478,0.33436
1990,Hesse,Upper Secondary Level,Very important,0.15582,64,357,0.11814,0.19349
1990,Hesse,Upper Secondary Level,Important,0.37540,133,357,0.32510,0.42571
1990,Hesse,Upper Secondary Level,Less important,0.31112,114,357,0.26303,0.35921
1990,Hesse,Upper Secondary Level,Unimportant,0.15766,46,357,0.11980,0.19551
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Very important,0.22115,46,121,0.14689,0.29540
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Important,0.40355,75,121,0.31577,0.49133
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Very important,0.21982,69,288,0.17191,0.26773
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Important,0.41817,124,288,0.36110,0.47524
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Less important,0.21342,62,288,0.16601,0.26082
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Unimportant,0.14859,33,288,0.10744,0.18975
1990,Baden-Wuerttemberg,Lower Secondary Level,Very important,0.28033,87,267,0.22635,0.33431
1990,Baden-Wuerttemberg,Lower Secondary Level,Important,0.29261,93,267,0.23794,0.34729
1990,Baden-Wuerttemberg,Lower Secondary Level,Less important,0.32228,87,267,0.26611,0.37844
1990,Baden-Wuerttemberg,Upper Secondary Level,Very important,0.27632,175,602,0.24057,0.31208
1990,Baden-Wuerttemberg,Upper Secondary Level,Important,0.32922,206,602,0.29165,0.36679
1990,Baden-Wuerttemberg,Upper Secondary Level,Less important,0.27775,164,602,0.24195,0.31356
1990,Baden-Wuerttemberg,Upper Secondary Level,Unimportant,0.11670,57,602,0.09103,0.14237
1990,Baden-Wuerttemberg,First Stage of Tertiary Education,Important,0.34969,35,35,0.18940,0.50998
1990,Baden-Wuerttemberg,Second Stage of Tertiary Education,Important,0.39056,34,34,0.22410,0.55702
1990,Bavaria,Lower Secondary Level,Very important,0.20750,61,271,0.15913,0.25587
1990,Bavaria,Lower Secondary Level,Important,0.30189,86,271,0.24713,0.35665
1990,Bavaria,Lower Secondary Level,Less important,0.28318,79,271,0.22944,0.33693
1990,Bavaria,Lower Secondary Level,Unimportant,0.20742,45,271,0.15906,0.25579
1990,Bavaria,Upper Secondary Level,Very important,0.23445,179,709,0.20325,0.26566
1990,Bavaria,Upper Secondary Level,Important,0.32001,236,709,0.28564,0.35437
1990,Bavaria,Upper Secondary Level,Less important,0.29959,208,709,0.26585,0.33334
1990,Bavaria,Upper Secondary Level,Unimportant,0.14595,86,709,0.11994,0.17196
1990,Bavaria,First Stage of Tertiary Education,Important,0.32513,32,32,0.16023,0.49002
1990,Bavaria,Second Stage of Tertiary Education,Important,0.30445,40,40,0.16002,0.44888
1990,Berlin,Upper Secondary Level,Less important,0.51247,55,88,0.40744,0.61750
1990,Berlin,Upper Secondary Level,Unimportant,0.33979,33,88,0.24026,0.43932
1992,Schleswig-Holstein,Upper Secondary Level,Very important,0.22155,33,131,0.15016,0.29294
1992,Schleswig-Holstein,Upper Secondary Level,Important,0.32631,48,131,0.24572,0.40691
