,Unnamed: 0,year,pgisced97,plh0108,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,Pre-primary Level,Less important,1.0,60,6832,0.92441,1.09002
1,1,1990,Lower Secondary Level,Very important,0.22021,388,6832,0.21262,0.22819
2,2,1990,Lower Secondary Level,Important,0.28506,488,6832,0.27428,0.29481
3,3,1990,Lower Secondary Level,Less important,0.27609,444,6832,0.26583,0.28824
4,4,1990,Lower Secondary Level,Unimportant,0.21864,292,6832,0.208,0.22817
5,5,1990,Upper Secondary Level,Very important,0.19793,833,6832,0.19268,0.20274
6,6,1990,Upper Secondary Level,Important,0.3156,1266,6832,0.30909,0.32201
7,7,1990,Upper Secondary Level,Less important,0.32013,1218,6832,0.3123,0.32871
8,8,1990,Upper Secondary Level,Unimportant,0.16634,537,6832,0.16044,0.1728
9,9,1990,Post-secondary Non-tertiary Level,Important,0.39058,65,6832,0.35063,0.43684
10,10,1990,Post-secondary Non-tertiary Level,Less important,0.60942,88,6832,0.55532,0.66658
11,11,1990,First Stage of Tertiary Education,Very important,0.23305,119,6832,0.22007,0.24699
12,12,1990,First Stage of Tertiary Education,Important,0.29655,160,6832,0.27355,0.32143
13,13,1990,First Stage of Tertiary Education,Less important,0.26465,143,6832,0.24633,0.28395
14,14,1990,First Stage of Tertiary Education,Unimportant,0.20575,77,6832,0.18909,0.21888
15,15,1990,Second Stage of Tertiary Education,Very important,0.21227,144,6832,0.19972,0.22558
16,16,1990,Second Stage of Tertiary Education,Important,0.35613,243,6832,0.33703,0.37354
17,17,1990,Second Stage of Tertiary Education,Less important,0.29415,189,6832,0.2729,0.31294
18,18,1990,Second Stage of Tertiary Education,Unimportant,0.13744,78,6832,0.12533,0.15073
19,19,1992,Pre-primary Level,Important,0.37412,39,10685,0.30014,0.44188
20,20,1992,Pre-primary Level,Less important,0.62588,63,10685,0.55432,0.71478
21,21,1992,Primary Level,Less important,1.0,35,10685,0.8349,1.17396
22,22,1992,Lower Secondary Level,Very important,0.21086,430,10685,0.20093,0.2189
23,23,1992,Lower Secondary Level,Important,0.28455,556,10685,0.27249,0.29659
24,24,1992,Lower Secondary Level,Less important,0.25593,540,10685,0.24363,0.26843
25,25,1992,Lower Secondary Level,Unimportant,0.24865,402,10685,0.23656,0.26233
26,26,1992,Upper Secondary Level,Very important,0.2202,1417,10685,0.21421,0.22814
27,27,1992,Upper Secondary Level,Important,0.29369,1744,10685,0.28659,0.30178
28,28,1992,Upper Secondary Level,Less important,0.31123,1888,10685,0.30035,0.32077
29,29,1992,Upper Secondary Level,Unimportant,0.17488,935,10685,0.16745,0.1814
30,30,1992,Post-secondary Non-tertiary Level,Very important,0.16453,47,10685,0.13869,0.19856
31,31,1992,Post-secondary Non-tertiary Level,Important,0.33566,94,10685,0.29519,0.37246
32,32,1992,Post-secondary Non-tertiary Level,Less important,0.34901,107,10685,0.30357,0.39023
33,33,1992,Post-secondary Non-tertiary Level,Unimportant,0.1508,42,10685,0.12525,0.17314
34,34,1992,First Stage of Tertiary Education,Very important,0.27418,212,10685,0.25073,0.29417
35,35,1992,First Stage of Tertiary Education,Important,0.31217,240,10685,0.28654,0.33748
36,36,1992,First Stage of Tertiary Education,Less important,0.26793,210,10685,0.2511,0.28911
37,37,1992,First Stage of Tertiary Education,Unimportant,0.14572,82,10685,0.12814,0.15923
38,38,1992,Second Stage of Tertiary Education,Very important,0.21189,338,10685,0.19887,0.22694
39,39,1992,Second Stage of Tertiary Education,Important,0.32029,493,10685,0.30058,0.33793
40,40,1992,Second Stage of Tertiary Education,Less important,0.30962,527,10685,0.29024,0.32782
41,41,1992,Second Stage of Tertiary Education,Unimportant,0.15821,244,10685,0.14749,0.17084
42,42,1995,Pre-primary Level,Very important,0.14671,33,10925,0.11721,0.17474
43,43,1995,Pre-primary Level,Important,0.38912,88,10925,0.34403,0.4378
44,44,1995,Pre-primary Level,Less important,0.46417,104,10925,0.41187,0.53644
45,45,1995,Primary Level,Important,1.0,34,10925,0.7911,1.21175
46,46,1995,Lower Secondary Level,Very important,0.2249,418,10925,0.21242,0.2378
47,47,1995,Lower Secondary Level,Important,0.30643,596,10925,0.2915,0.32492
48,48,1995,Lower Secondary Level,Less important,0.25453,487,10925,0.2394,0.27244
49,49,1995,Lower Secondary Level,Unimportant,0.21413,308,10925,0.20095,0.22762
50,50,1995,Upper Secondary Level,Very important,0.23682,1518,10925,0.22962,0.24456
51,51,1995,Upper Secondary Level,Important,0.30868,1886,10925,0.29934,0.31923
52,52,1995,Upper Secondary Level,Less important,0.31036,1895,10925,0.30136,0.32098
53,53,1995,Upper Secondary Level,Unimportant,0.14415,739,10925,0.13796,0.15194
54,54,1995,Post-secondary Non-tertiary Level,Very important,0.19641,77,10925,0.16503,0.2264
55,55,1995,Post-secondary Non-tertiary Level,Important,0.32469,135,10925,0.29275,0.36024
56,56,1995,Post-secondary Non-tertiary Level,Less important,0.36944,150,10925,0.31773,0.41611
57,57,1995,Post-secondary Non-tertiary Level,Unimportant,0.10946,32,10925,0.08771,0.13089
58,58,1995,First Stage of Tertiary Education,Very important,0.27482,208,10925,0.25019,0.30571
59,59,1995,First Stage of Tertiary Education,Important,0.3253,249,10925,0.29086,0.35426
60,60,1995,First Stage of Tertiary Education,Less important,0.26622,199,10925,0.2393,0.29515
61,61,1995,First Stage of Tertiary Education,Unimportant,0.13365,76,10925,0.11616,0.15141
62,62,1995,Second Stage of Tertiary Education,Very important,0.21341,367,10925,0.19849,0.22896
63,63,1995,Second Stage of Tertiary Education,Important,0.3477,591,10925,0.32966,0.36521
64,64,1995,Second Stage of Tertiary Education,Less important,0.30625,524,10925,0.28534,0.32613
65,65,1995,Second Stage of Tertiary Education,Unimportant,0.13264,211,10925,0.1207,0.14544
66,66,2004,Pre-primary Level,Very important,0.19251,109,21149,0.16106,0.23439
67,67,2004,Pre-primary Level,Important,0.35338,220,21149,0.31432,0.3921
68,68,2004,Pre-primary Level,Less important,0.36691,253,21149,0.32713,0.40903
69,69,2004,Pre-primary Level,Unimportant,0.0872,47,21149,0.06921,0.10898
