year,quintil_oecd,sampreg,plh0108,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,West,Very important,0.17645,219,1100,0.15391,0.19899
1990,1st Quintile,West,Important,0.26726,311,1100,0.24110,0.29343
1990,1st Quintile,West,Less important,0.27421,309,1100,0.24783,0.30058
1990,1st Quintile,West,Unimportant,0.28208,261,1100,0.25548,0.30869
1990,2nd Quintile,West,Very important,0.21450,310,1342,0.19253,0.23647
1990,2nd Quintile,West,Important,0.29492,418,1342,0.27051,0.31933
1990,2nd Quintile,West,Less important,0.29401,405,1342,0.26963,0.31840
1990,2nd Quintile,West,Unimportant,0.19656,209,1342,0.17529,0.21783
1990,3rd Quintile,West,Very important,0.20753,314,1395,0.18624,0.22882
1990,3rd Quintile,West,Important,0.28388,428,1395,0.26021,0.30754
1990,3rd Quintile,West,Less important,0.33563,455,1395,0.31084,0.36042
1990,3rd Quintile,West,Unimportant,0.17297,198,1395,0.15311,0.19282
1990,4th Quintile,West,Very important,0.20781,358,1581,0.18780,0.22781
1990,4th Quintile,West,Important,0.33579,541,1581,0.31250,0.35907
1990,4th Quintile,West,Less important,0.32960,506,1581,0.30642,0.35278
1990,4th Quintile,West,Unimportant,0.12681,176,1581,0.11040,0.14322
1990,5th Quintile,West,Very important,0.20904,358,1666,0.18950,0.22857
1990,5th Quintile,West,Important,0.34547,595,1666,0.32263,0.36832
1990,5th Quintile,West,Less important,0.31789,521,1666,0.29553,0.34026
1990,5th Quintile,West,Unimportant,0.12760,192,1666,0.11157,0.14362
1992,1st Quintile,West,Very important,0.17401,128,670,0.14529,0.20274
1992,1st Quintile,West,Important,0.24793,171,670,0.21521,0.28065
1992,1st Quintile,West,Less important,0.29795,210,670,0.26329,0.33261
1992,1st Quintile,West,Unimportant,0.28010,161,670,0.24608,0.31413
1992,1st Quintile,East,Very important,0.18259,337,1576,0.16351,0.20167
1992,1st Quintile,East,Important,0.19296,335,1576,0.17347,0.21245
1992,1st Quintile,East,Less important,0.28770,480,1576,0.26534,0.31005
1992,1st Quintile,East,Unimportant,0.33675,424,1576,0.31341,0.36009
1992,2nd Quintile,West,Very important,0.20286,231,1066,0.17871,0.22701
1992,2nd Quintile,West,Important,0.30602,336,1066,0.27834,0.33370
1992,2nd Quintile,West,Less important,0.27434,312,1066,0.24754,0.30114
1992,2nd Quintile,West,Unimportant,0.21678,187,1066,0.19203,0.24152
1992,2nd Quintile,East,Very important,0.23008,303,1203,0.20629,0.25388
1992,2nd Quintile,East,Important,0.24236,293,1203,0.21813,0.26658
1992,2nd Quintile,East,Less important,0.36428,429,1203,0.33707,0.39148
1992,2nd Quintile,East,Unimportant,0.16328,178,1203,0.14239,0.18418
1992,3rd Quintile,West,Very important,0.21502,320,1382,0.19335,0.23669
1992,3rd Quintile,West,Important,0.31139,453,1382,0.28697,0.33581
1992,3rd Quintile,West,Less important,0.29724,415,1382,0.27313,0.32134
1992,3rd Quintile,West,Unimportant,0.17635,194,1382,0.15625,0.19645
1992,3rd Quintile,East,Very important,0.20830,147,704,0.17828,0.23832
1992,3rd Quintile,East,Important,0.25960,185,704,0.22719,0.29201
1992,3rd Quintile,East,Less important,0.36558,274,704,0.32998,0.40118
1992,3rd Quintile,East,Unimportant,0.16652,98,704,0.13898,0.19406
1992,4th Quintile,West,Very important,0.22783,420,1783,0.20836,0.24730
1992,4th Quintile,West,Important,0.32117,591,1783,0.29949,0.34285
1992,4th Quintile,West,Less important,0.30539,544,1783,0.28401,0.32678
1992,4th Quintile,West,Unimportant,0.14561,228,1783,0.12923,0.16198
1992,4th Quintile,East,Very important,0.19686,57,312,0.15267,0.24106
1992,4th Quintile,East,Important,0.22906,75,312,0.18235,0.27576
1992,4th Quintile,East,Less important,0.37143,119,312,0.31773,0.42513
1992,4th Quintile,East,Unimportant,0.20264,61,312,0.15797,0.24732
1992,5th Quintile,West,Very important,0.25097,522,2058,0.23223,0.26971
1992,5th Quintile,West,Important,0.35291,748,2058,0.33226,0.37356
1992,5th Quintile,West,Less important,0.28491,581,2058,0.26540,0.30441
1992,5th Quintile,West,Unimportant,0.11121,207,2058,0.09763,0.12480
1992,5th Quintile,East,Important,0.27729,40,91,0.18480,0.36978
1992,5th Quintile,East,Less important,0.40293,51,91,0.30159,0.50426
1995,1st Quintile,West,Very important,0.18430,235,1091,0.16128,0.20732
1995,1st Quintile,West,Important,0.26367,300,1091,0.23752,0.28983
1995,1st Quintile,West,Less important,0.35259,371,1091,0.32422,0.38095
1995,1st Quintile,West,Unimportant,0.19944,185,1091,0.17572,0.22316
1995,1st Quintile,East,Very important,0.16443,147,777,0.13835,0.19051
1995,1st Quintile,East,Important,0.24370,208,777,0.21349,0.27390
1995,1st Quintile,East,Less important,0.31944,254,777,0.28663,0.35224
1995,1st Quintile,East,Unimportant,0.27244,168,777,0.24111,0.30376
1995,2nd Quintile,West,Very important,0.22893,308,1250,0.20563,0.25223
1995,2nd Quintile,West,Important,0.28172,372,1250,0.25677,0.30667
1995,2nd Quintile,West,Less important,0.28952,382,1250,0.26436,0.31467
1995,2nd Quintile,West,Unimportant,0.19984,188,1250,0.17766,0.22201
1995,2nd Quintile,East,Very important,0.25355,269,1029,0.22695,0.28014
1995,2nd Quintile,East,Important,0.23054,264,1029,0.20479,0.25628
1995,2nd Quintile,East,Less important,0.29494,318,1029,0.26707,0.32282
1995,2nd Quintile,East,Unimportant,0.22097,178,1029,0.19561,0.24633
1995,3rd Quintile,West,Very important,0.23563,354,1487,0.21406,0.25721
1995,3rd Quintile,West,Important,0.32912,525,1487,0.30522,0.35301
1995,3rd Quintile,West,Less important,0.29657,448,1487,0.27335,0.31979
1995,3rd Quintile,West,Unimportant,0.13868,160,1487,0.12111,0.15625
1995,3rd Quintile,East,Very important,0.28843,243,849,0.25793,0.31892
1995,3rd Quintile,East,Important,0.27210,242,849,0.24215,0.30206
1995,3rd Quintile,East,Less important,0.30802,273,849,0.27694,0.33909
1995,3rd Quintile,East,Unimportant,0.13146,91,849,0.10871,0.15420
1995,4th Quintile,West,Very important,0.24705,415,1695,0.22651,0.26759
1995,4th Quintile,West,Important,0.35041,613,1695,0.32769,0.37313
1995,4th Quintile,West,Less important,0.27742,494,1695,0.25610,0.29874
1995,4th Quintile,West,Unimportant,0.12512,173,1695,0.10936,0.14087
1995,4th Quintile,East,Very important,0.23911,152,668,0.20674,0.27148
