"plh0108","year","age_gr","n","percent","lowerconfidence_percent","upperconfidence_percent"
"1 Sehr wichtig","1990","17-34","452","0.161886545309454","0.147763278290106","0.176009812328801"
"1 Sehr wichtig","1990","35-65","851","0.226533049202767","0.212601634739087","0.240464463666448"
"1 Sehr wichtig","1990","66 +","257","0.217283114309042","0.191799299473083","0.242766929145001"
"2 Wichtig","1990","17-34","787","0.291013162461282","0.273596947008343","0.308429377914221"
"2 Wichtig","1990","35-65","1272","0.355100389471876","0.339173528895653","0.371027250048099"
"2 Wichtig","1990","66 +","235","0.214130496226428","0.18878133577311","0.239479656679747"
"3 Weniger wichtig","1990","17-34","1085","0.423024733120159","0.40408212108305","0.441967345157268"
"3 Weniger wichtig","1990","35-65","912","0.277539124621226","0.262635983284125","0.292442265958326"
"3 Weniger wichtig","1990","66 +","199","0.208068401848528","0.18298444747061","0.233152356226446"
"4 Ganz unwichtig","1990","17-34","289","0.124075559109106","0.111435333401389","0.136715784816823"
"4 Ganz unwichtig","1990","35-65","433","0.140827436704131","0.129250533988601","0.152404339419662"
"4 Ganz unwichtig","1990","66 +","315","0.360517987616002","0.330847359774489","0.390188615457515"
"1 Sehr wichtig","1991","17-34","","","",""
"1 Sehr wichtig","1991","35-65","","","",""
"1 Sehr wichtig","1991","66 +","","","",""
"2 Wichtig","1991","17-34","","","",""
"2 Wichtig","1991","35-65","","","",""
"2 Wichtig","1991","66 +","","","",""
"3 Weniger wichtig","1991","17-34","","","",""
"3 Weniger wichtig","1991","35-65","","","",""
"3 Weniger wichtig","1991","66 +","","","",""
"4 Ganz unwichtig","1991","17-34","","","",""
"4 Ganz unwichtig","1991","35-65","","","",""
"4 Ganz unwichtig","1991","66 +","","","",""
"1 Sehr wichtig","1992","17-34","773","0.187384743698446","0.175169147789446","0.199600339607447"
"1 Sehr wichtig","1992","35-65","1411","0.240726733524231","0.229527382428696","0.251926084619765"
"1 Sehr wichtig","1992","66 +","306","0.203292884804546","0.182005453492464","0.224580316116627"
"2 Wichtig","1992","17-34","1118","0.280473991185662","0.266411100420536","0.294536881950788"
"2 Wichtig","1992","35-65","1733","0.319874424073357","0.30765597858014","0.332092869566575"
"2 Wichtig","1992","66 +","376","0.263884673349257","0.240571959342988","0.287197387355526"
"3 Weniger wichtig","1992","17-34","1633","0.430130998418346","0.414632381441416","0.445629615395277"
"3 Weniger wichtig","1992","35-65","1576","0.273332217337794","0.261657536702751","0.285006897972837"
"3 Weniger wichtig","1992","66 +","207","0.157100491192529","0.137852319041618","0.17634866334344"
"4 Ganz unwichtig","1992","17-34","396","0.102010266697546","0.092535627411217","0.111484905983874"
"4 Ganz unwichtig","1992","35-65","878","0.166066625064618","0.156318109232034","0.175815140897202"
"4 Ganz unwichtig","1992","66 +","484","0.375721950653668","0.350104545381395","0.401339355925941"
"1 Sehr wichtig","1993","17-34","","","",""
"1 Sehr wichtig","1993","35-65","","","",""
"1 Sehr wichtig","1993","66 +","","","",""
"2 Wichtig","1993","17-34","","","",""
"2 Wichtig","1993","35-65","","","",""
"2 Wichtig","1993","66 +","","","",""
"3 Weniger wichtig","1993","17-34","","","",""
"3 Weniger wichtig","1993","35-65","","","",""
"3 Weniger wichtig","1993","66 +","","","",""
"4 Ganz unwichtig","1993","17-34","","","",""
"4 Ganz unwichtig","1993","35-65","","","",""
"4 Ganz unwichtig","1993","66 +","","","",""
"1 Sehr wichtig","1994","17-34","","","",""
"1 Sehr wichtig","1994","35-65","","","",""
"1 Sehr wichtig","1994","66 +","","","",""
"2 Wichtig","1994","17-34","","","",""
"2 Wichtig","1994","35-65","","","",""
"2 Wichtig","1994","66 +","","","",""
"3 Weniger wichtig","1994","17-34","","","",""
"3 Weniger wichtig","1994","35-65","","","",""
"3 Weniger wichtig","1994","66 +","","","",""
"4 Ganz unwichtig","1994","17-34","","","",""
"4 Ganz unwichtig","1994","35-65","","","",""
"4 Ganz unwichtig","1994","66 +","","","",""
"1 Sehr wichtig","1995","17-34","825","0.20248885517839","0.189966417110945","0.215011293245834"
"1 Sehr wichtig","1995","35-65","1494","0.24871889946978","0.237545899586595","0.259891899352966"
"1 Sehr wichtig","1995","66 +","348","0.227468842488593","0.205696154082055","0.249241530895131"
"2 Wichtig","1995","17-34","1313","0.318865607726658","0.304343147554915","0.333388067898402"
"2 Wichtig","1995","35-65","1930","0.331866439791186","0.319695405661975","0.344037473920396"
