year,sampreg,sex,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,West,male,Permanent job,0.43053,3112,3498,0.41412,0.44695
1985,West,male,Temporary job,0.05353,386,3498,0.04607,0.06099
1985,West,female,Permanent job,0.25639,1927,2224,0.23824,0.27454
1985,West,female,Temporary job,0.04335,297,2224,0.03488,0.05182
1986,West,male,Permanent job,0.05450,391,516,0.03490,0.07411
1986,West,male,Temporary job,0.01733,125,516,0.00606,0.02859
1986,West,female,Permanent job,0.03022,232,322,0.01149,0.04894
1986,West,female,Temporary job,0.01226,90,322,0.00022,0.02430
1987,West,male,Permanent job,0.06779,478,651,0.04847,0.08712
1987,West,male,Temporary job,0.02171,173,651,0.01051,0.03292
1987,West,female,Permanent job,0.04563,322,486,0.02706,0.06420
1987,West,female,Temporary job,0.02182,164,486,0.00882,0.03483
1988,West,male,Permanent job,0.44205,2844,3213,0.42487,0.45922
1988,West,male,Temporary job,0.05322,369,3213,0.04545,0.06098
1988,West,female,Permanent job,0.27336,1796,2079,0.25420,0.29252
1988,West,female,Temporary job,0.03981,283,2079,0.03140,0.04822
1989,West,male,Permanent job,0.06135,355,477,0.03979,0.08290
1989,West,male,Temporary job,0.01805,122,477,0.00609,0.03001
1989,West,female,Permanent job,0.04844,288,416,0.02778,0.06909
1989,West,female,Temporary job,0.01743,128,416,0.00484,0.03002
1990,West,male,Permanent job,0.06419,384,482,0.04229,0.08609
1990,West,male,Temporary job,0.01589,98,482,0.00472,0.02707
1990,West,female,Permanent job,0.05339,321,449,0.03257,0.07420
1990,West,female,Temporary job,0.01857,128,449,0.00607,0.03107
1990,East,male,Permanent job,0.54643,1580,1701,0.52276,0.57009
1990,East,male,Temporary job,0.04179,121,1701,0.03228,0.05131
1990,East,female,Permanent job,0.44938,1468,1572,0.42479,0.47398
1990,East,female,Temporary job,0.03060,104,1572,0.02208,0.03911
1991,West,male,Permanent job,0.06211,384,489,0.04070,0.08353
1991,West,male,Temporary job,0.01555,105,489,0.00457,0.02653
1991,West,female,Permanent job,0.05074,340,459,0.03064,0.07084
1991,West,female,Temporary job,0.01691,119,459,0.00510,0.02872
1991,East,male,Permanent job,0.10917,296,383,0.07790,0.14045
1991,East,male,Temporary job,0.03167,87,383,0.01411,0.04923
1991,East,female,Permanent job,0.07733,251,325,0.04825,0.10642
1991,East,female,Temporary job,0.02463,74,325,0.00775,0.04151
1992,West,male,Permanent job,0.05588,366,456,0.03478,0.07699
1992,West,male,Temporary job,0.01412,90,456,0.00328,0.02496
1992,West,female,Permanent job,0.04851,321,414,0.02779,0.06923
1992,West,female,Temporary job,0.01361,93,414,0.00243,0.02478
1992,East,male,Permanent job,0.11163,282,402,0.08081,0.14245
1992,East,male,Temporary job,0.04774,120,402,0.02687,0.06861
1992,East,female,Permanent job,0.07986,238,328,0.05047,0.10924
1992,East,female,Temporary job,0.03241,90,328,0.01322,0.05161
1993,West,male,Permanent job,0.05315,304,395,0.03100,0.07531
1993,West,male,Temporary job,0.01550,91,395,0.00330,0.02769
1993,West,female,Permanent job,0.04996,326,419,0.02908,0.07085
1993,West,female,Temporary job,0.01492,93,419,0.00330,0.02654
1993,East,male,Permanent job,0.09655,233,297,0.06291,0.13020
1993,East,male,Temporary job,0.02557,64,297,0.00759,0.04355
1993,East,female,Permanent job,0.06980,189,257,0.03858,0.10101
1993,East,female,Temporary job,0.02353,68,257,0.00496,0.04210
1994,West,male,Permanent job,0.04400,262,386,0.02351,0.06448
1994,West,male,Temporary job,0.02065,124,386,0.00645,0.03486
1994,West,female,Permanent job,0.04069,283,405,0.02142,0.05995
1994,West,female,Temporary job,0.01725,122,405,0.00456,0.02995
1994,East,male,Permanent job,0.06864,161,233,0.03610,0.10117
1994,East,male,Temporary job,0.02900,72,233,0.00741,0.05060
1994,East,female,Permanent job,0.04708,125,218,0.01890,0.07526
1994,East,female,Temporary job,0.03062,93,218,0.00769,0.05354
1995,West,male,Permanent job,0.42525,2651,2965,0.40745,0.44305
1995,West,male,Temporary job,0.04897,314,2965,0.04120,0.05673
1995,West,female,Permanent job,0.29026,1916,2177,0.27119,0.30933
1995,West,female,Temporary job,0.03757,261,2177,0.02958,0.04556
1995,East,male,Permanent job,0.38868,918,1073,0.35950,0.41786
1995,East,male,Temporary job,0.07075,155,1073,0.05540,0.08610
1995,East,female,Permanent job,0.27680,769,961,0.24850,0.30511
1995,East,female,Temporary job,0.07012,192,961,0.05397,0.08628
1996,West,male,Permanent job,0.41901,2561,2841,0.40086,0.43716
1996,West,male,Temporary job,0.04840,280,2841,0.04051,0.05629
1996,West,female,Permanent job,0.29410,1895,2152,0.27484,0.31335
1996,West,female,Temporary job,0.03694,257,2152,0.02897,0.04491
1996,East,male,Permanent job,0.38062,885,1032,0.35098,0.41026
1996,East,male,Temporary job,0.05836,147,1032,0.04405,0.07267
1996,East,female,Permanent job,0.27769,762,940,0.24905,0.30634
1996,East,female,Temporary job,0.06532,178,940,0.04951,0.08112
1997,West,male,Permanent job,0.40582,2429,2769,0.38753,0.42412
1997,West,male,Temporary job,0.05637,340,2769,0.04778,0.06497
1997,West,female,Permanent job,0.28525,1797,2079,0.26584,0.30466
1997,West,female,Temporary job,0.04370,282,2079,0.03491,0.05248
1997,East,male,Permanent job,0.35144,817,990,0.32168,0.38119
1997,East,male,Temporary job,0.07330,173,990,0.05706,0.08954
1997,East,female,Permanent job,0.27819,739,900,0.24889,0.30748
1997,East,female,Temporary job,0.05442,161,900,0.03959,0.06925
1998,West,male,Permanent job,0.40783,2699,3074,0.39045,0.42520
1998,West,male,Temporary job,0.05909,375,3074,0.05076,0.06743
1998,West,female,Permanent job,0.29144,2041,2341,0.27302,0.30985
1998,West,female,Temporary job,0.03799,300,2341,0.03025,0.04574
1998,East,male,Permanent job,0.36024,871,1052,0.33121,0.38926
1998,East,male,Temporary job,0.07167,181,1052,0.05608,0.08727
1998,East,female,Permanent job,0.26467,758,930,0.23630,0.29304
1998,East,female,Temporary job,0.06436,172,930,0.04858,0.08014
1999,West,male,Permanent job,0.40780,2604,2984,0.39016,0.42543
1999,West,male,Temporary job,0.06339,380,2984,0.05465,0.07214
1999,West,female,Permanent job,0.30594,2023,2343,0.28728,0.32460
1999,West,female,Temporary job,0.04233,320,2343,0.03418,0.05049
1999,East,male,Permanent job,0.35600,834,1044,0.32694,0.38506
1999,East,male,Temporary job,0.08336,210,1044,0.06658,0.10013
1999,East,female,Permanent job,0.27930,756,943,0.25065,0.30795
1999,East,female,Temporary job,0.06457,187,943,0.04888,0.08027
2000,West,male,Permanent job,0.39263,4398,4995,0.37909,0.40618
2000,West,male,Temporary job,0.05516,597,4995,0.04883,0.06149
2000,West,female,Permanent job,0.27963,3320,3858,0.26546,0.29379
2000,West,female,Temporary job,0.04431,538,3858,0.03781,0.05080
2000,East,male,Permanent job,0.33837,1199,1474,0.31420,0.36253
2000,East,male,Temporary job,0.07575,275,1474,0.06224,0.08926
2000,East,female,Permanent job,0.27274,1097,1353,0.24900,0.29648
2000,East,female,Temporary job,0.06052,256,1353,0.04781,0.07323
2001,West,male,Permanent job,0.39259,3951,4446,0.37824,0.40695
2001,West,male,Temporary job,0.04778,495,4446,0.04151,0.05405
2001,West,female,Permanent job,0.27876,3052,3553,0.26402,0.29351
2001,West,female,Temporary job,0.04702,501,3553,0.04006,0.05398
2001,East,male,Permanent job,0.33522,1098,1356,0.31008,0.36035
2001,East,male,Temporary job,0.08097,258,1356,0.06645,0.09549
2001,East,female,Permanent job,0.27970,1020,1271,0.25502,0.30439
2001,East,female,Temporary job,0.06476,251,1271,0.05122,0.07829
2002,West,male,Permanent job,0.37975,4144,4678,0.36585,0.39366
2002,West,male,Temporary job,0.04983,534,4678,0.04359,0.05606
2002,West,female,Permanent job,0.27716,3358,3884,0.26309,0.29124
2002,West,female,Temporary job,0.04660,526,3884,0.03997,0.05323
2002,East,male,Permanent job,0.32010,1097,1325,0.29497,0.34523
2002,East,male,Temporary job,0.07256,228,1325,0.05858,0.08653
2002,East,female,Permanent job,0.27165,1043,1268,0.24715,0.29614
2002,East,female,Temporary job,0.06322,225,1268,0.04982,0.07662
2003,West,male,Permanent job,0.36896,3805,4313,0.35456,0.38336
2003,West,male,Temporary job,0.05109,508,4313,0.04452,0.05766
2003,West,female,Permanent job,0.27428,3170,3688,0.25988,0.28868
2003,West,female,Temporary job,0.04555,518,3688,0.03882,0.05228
2003,East,male,Permanent job,0.31322,1035,1260,0.28760,0.33884
2003,East,male,Temporary job,0.06991,225,1260,0.05583,0.08400
2003,East,female,Permanent job,0.27376,1003,1192,0.24844,0.29909
2003,East,female,Temporary job,0.05299,189,1192,0.04027,0.06571
2004,West,male,Permanent job,0.35888,3607,4098,0.34420,0.37357
2004,West,male,Temporary job,0.04991,491,4098,0.04324,0.05657
2004,West,female,Permanent job,0.27646,3079,3584,0.26182,0.29111
2004,West,female,Temporary job,0.04930,505,3584,0.04221,0.05639
2004,East,male,Permanent job,0.30460,965,1205,0.27861,0.33060
2004,East,male,Temporary job,0.07684,240,1205,0.06179,0.09188
2004,East,female,Permanent job,0.26584,987,1187,0.24070,0.29099
2004,East,female,Temporary job,0.06024,200,1187,0.04670,0.07378
2005,West,male,Permanent job,0.37747,3548,3981,0.36241,0.39253
2005,West,male,Temporary job,0.05278,433,3981,0.04583,0.05973
2005,West,female,Permanent job,0.28848,2995,3463,0.27339,0.30357
2005,West,female,Temporary job,0.04789,468,3463,0.04078,0.05501
2005,East,male,Permanent job,0.32099,971,1178,0.29432,0.34766
2005,East,male,Temporary job,0.07820,207,1178,0.06286,0.09353
2005,East,female,Permanent job,0.25963,936,1105,0.23377,0.28549
2005,East,female,Temporary job,0.05555,169,1105,0.04204,0.06907
2006,West,male,Permanent job,0.37042,3650,4142,0.35571,0.38513
2006,West,male,Temporary job,0.05570,492,4142,0.04871,0.06268
2006,West,female,Permanent job,0.28224,3174,3672,0.26768,0.29680
2006,West,female,Temporary job,0.04990,498,3672,0.04286,0.05695
2006,East,male,Permanent job,0.31242,979,1189,0.28607,0.33878
2006,East,male,Temporary job,0.07749,210,1189,0.06228,0.09269
2006,East,female,Permanent job,0.25964,983,1189,0.23471,0.28458
2006,East,female,Temporary job,0.06676,206,1189,0.05257,0.08096
2007,West,male,Permanent job,0.37838,3427,3920,0.36319,0.39356
2007,West,male,Temporary job,0.05817,493,3920,0.05084,0.06550
2007,West,female,Permanent job,0.28998,3016,3512,0.27497,0.30499
2007,West,female,Temporary job,0.05423,496,3512,0.04674,0.06172
2007,East,male,Permanent job,0.32957,960,1166,0.30258,0.35656
2007,East,male,Temporary job,0.07812,206,1166,0.06271,0.09353
2007,East,female,Permanent job,0.26963,941,1146,0.24393,0.29534
2007,East,female,Temporary job,0.07187,205,1146,0.05691,0.08682
2008,West,male,Permanent job,0.39692,3289,3738,0.38124,0.41261
2008,West,male,Temporary job,0.06022,449,3738,0.05260,0.06785
2008,West,female,Permanent job,0.29656,2849,3375,0.28114,0.31197
2008,West,female,Temporary job,0.06229,526,3375,0.05413,0.07044
2008,East,male,Permanent job,0.35017,948,1137,0.32243,0.37791
2008,East,male,Temporary job,0.07220,189,1137,0.05715,0.08726
2008,East,female,Permanent job,0.29016,924,1121,0.26358,0.31674
2008,East,female,Temporary job,0.07414,197,1121,0.05879,0.08948
2009,West,male,Permanent job,0.38936,2960,3391,0.37294,0.40577
2009,West,male,Temporary job,0.06262,431,3391,0.05446,0.07077
2009,West,female,Permanent job,0.31050,2715,3193,0.29445,0.32656
2009,West,female,Temporary job,0.05935,478,3193,0.05116,0.06755
2009,East,male,Permanent job,0.34096,882,1070,0.31254,0.36938
2009,East,male,Temporary job,0.07323,188,1070,0.05761,0.08884
2009,East,female,Permanent job,0.29389,882,1070,0.26658,0.32120
2009,East,female,Temporary job,0.07963,188,1070,0.06340,0.09586
2010,West,male,Permanent job,0.38993,4295,4934,0.37632,0.40354
2010,West,male,Temporary job,0.06065,639,4934,0.05399,0.06731
2010,West,female,Permanent job,0.31622,3666,4390,0.30246,0.32997
2010,West,female,Temporary job,0.06382,724,4390,0.05659,0.07106
2010,East,male,Permanent job,0.35929,1111,1325,0.33344,0.38513
2010,East,male,Temporary job,0.08303,214,1325,0.06816,0.09789
2010,East,female,Permanent job,0.30496,1081,1348,0.28038,0.32955
2010,East,female,Temporary job,0.08492,267,1348,0.07004,0.09981
2011,West,male,Permanent job,0.38854,5044,5761,0.37595,0.40113
2011,West,male,Temporary job,0.06465,717,5761,0.05830,0.07100
2011,West,female,Permanent job,0.31066,4775,5684,0.29863,0.32269
2011,West,female,Temporary job,0.06367,909,5684,0.05732,0.07002
2011,East,male,Permanent job,0.37295,1267,1514,0.34858,0.39731
2011,East,male,Temporary job,0.07817,247,1514,0.06465,0.09170
2011,East,female,Permanent job,0.30707,1325,1622,0.28461,0.32952
2011,East,female,Temporary job,0.07552,297,1622,0.06266,0.08838
2012,West,male,Permanent job,0.38910,4814,5584,0.37631,0.40188
2012,West,male,Temporary job,0.06536,770,5584,0.05888,0.07185
2012,West,female,Permanent job,0.32096,4798,5748,0.30889,0.33303
2012,West,female,Temporary job,0.06760,950,5748,0.06111,0.07409
2012,East,male,Permanent job,0.36799,1234,1476,0.34338,0.39260
2012,East,male,Temporary job,0.07865,242,1476,0.06491,0.09238
2012,East,female,Permanent job,0.31663,1334,1625,0.29400,0.33925
2012,East,female,Temporary job,0.06060,291,1625,0.04899,0.07220
