,Unnamed: 0,year,sex,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,male,Permanent job,0.88932,3112,5722,0.87021,0.90815
1,1,1985,male,Temporary job,0.11068,386,5722,0.10409,0.11696
2,2,1985,female,Permanent job,0.85537,1927,5722,0.83084,0.8762
3,3,1985,female,Temporary job,0.14463,297,5722,0.13605,0.1512
4,4,1986,male,Permanent job,0.75844,391,838,0.71821,0.79751
5,5,1986,male,Temporary job,0.24156,125,838,0.21383,0.26819
6,6,1986,female,Permanent job,0.71143,232,838,0.66587,0.75908
7,7,1986,female,Temporary job,0.28857,90,838,0.25425,0.32556
8,8,1987,male,Permanent job,0.75722,478,1137,0.71615,0.80299
9,9,1987,male,Temporary job,0.24278,173,1137,0.21531,0.26894
10,10,1987,female,Permanent job,0.67648,322,1137,0.63031,0.72321
11,11,1987,female,Temporary job,0.32352,164,1137,0.29368,0.35311
12,12,1988,male,Permanent job,0.89251,2844,5292,0.86812,0.91177
13,13,1988,male,Temporary job,0.10749,369,5292,0.09838,0.11524
14,14,1988,female,Permanent job,0.87286,1796,5292,0.84426,0.89565
15,15,1988,female,Temporary job,0.12714,283,5292,0.11798,0.1359
16,16,1989,male,Permanent job,0.77252,355,893,0.71301,0.82739
17,17,1989,male,Temporary job,0.22748,122,893,0.20007,0.25565
18,18,1989,female,Permanent job,0.73539,288,893,0.68285,0.79268
19,19,1989,female,Temporary job,0.26461,128,893,0.23154,0.2997
20,20,1990,male,Permanent job,0.88506,1964,4204,0.86226,0.91143
21,21,1990,male,Temporary job,0.11494,219,4204,0.10452,0.12735
22,22,1990,female,Permanent job,0.86579,1789,4204,0.83924,0.89486
23,23,1990,female,Temporary job,0.13421,232,4204,0.12228,0.14594
24,24,1991,male,Permanent job,0.79182,680,1656,0.7482,0.83904
25,25,1991,male,Temporary job,0.20818,192,1656,0.18865,0.22931
26,26,1991,female,Permanent job,0.75231,591,1656,0.70691,0.79544
27,27,1991,female,Temporary job,0.24769,193,1656,0.21805,0.27816
28,28,1992,male,Permanent job,0.76235,648,1600,0.71478,0.80346
29,29,1992,male,Temporary job,0.23765,210,1600,0.21694,0.26116
30,30,1992,female,Permanent job,0.75904,559,1600,0.7131,0.80624
31,31,1992,female,Temporary job,0.24096,183,1600,0.22246,0.26671
32,32,1993,male,Permanent job,0.77912,537,1368,0.7313,0.83723
33,33,1993,male,Temporary job,0.22088,155,1368,0.18985,0.24891
34,34,1993,female,Permanent job,0.7642,515,1368,0.71771,0.81182
35,35,1993,female,Temporary job,0.2358,161,1368,0.21138,0.26114
36,36,1994,male,Permanent job,0.68667,423,1242,0.63941,0.73199
37,37,1994,male,Temporary job,0.31333,196,1242,0.2811,0.35405
38,38,1994,female,Permanent job,0.67837,408,1242,0.63345,0.73046
39,39,1994,female,Temporary job,0.32163,215,1242,0.29181,0.35789
40,40,1995,male,Permanent job,0.88722,3569,7176,0.86867,0.90767
41,41,1995,male,Temporary job,0.11278,469,7176,0.10414,0.12162
42,42,1995,female,Permanent job,0.86768,2685,7176,0.83889,0.89365
43,43,1995,female,Temporary job,0.13232,453,7176,0.1232,0.14162
