year,pgisced97,quintil_oecd,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Primary Level,1st Quintile,Permanent job,0.22959,99,99,0.14632,0.31286
1985,Primary Level,2nd Quintile,Permanent job,0.33171,75,75,0.22444,0.43899
1985,Primary Level,3rd Quintile,Permanent job,0.64269,104,104,0.55014,0.73523
1985,Primary Level,4th Quintile,Permanent job,0.63887,87,87,0.53735,0.74039
1985,Primary Level,5th Quintile,Permanent job,0.58943,42,42,0.43885,0.74001
1985,Lower Secondary Level,1st Quintile,Permanent job,0.12884,197,273,0.08902,0.16865
1985,Lower Secondary Level,1st Quintile,Temporary job,0.08141,76,273,0.04891,0.11391
1985,Lower Secondary Level,2nd Quintile,Permanent job,0.21842,221,285,0.17036,0.26647
1985,Lower Secondary Level,2nd Quintile,Temporary job,0.08371,64,285,0.05150,0.11592
1985,Lower Secondary Level,3rd Quintile,Permanent job,0.28361,252,328,0.23475,0.33246
1985,Lower Secondary Level,3rd Quintile,Temporary job,0.09596,76,328,0.06404,0.12789
1985,Lower Secondary Level,4th Quintile,Permanent job,0.36461,224,276,0.30772,0.42150
1985,Lower Secondary Level,4th Quintile,Temporary job,0.10919,52,276,0.07233,0.14605
1985,Lower Secondary Level,5th Quintile,Permanent job,0.37691,148,148,0.29857,0.45525
1985,Upper Secondary Level,1st Quintile,Permanent job,0.28837,298,346,0.24057,0.33617
1985,Upper Secondary Level,1st Quintile,Temporary job,0.05475,48,346,0.03074,0.07875
1985,Upper Secondary Level,2nd Quintile,Permanent job,0.39700,467,525,0.35511,0.43890
1985,Upper Secondary Level,2nd Quintile,Temporary job,0.04830,58,525,0.02994,0.06666
1985,Upper Secondary Level,3rd Quintile,Permanent job,0.45641,530,594,0.41632,0.49650
1985,Upper Secondary Level,3rd Quintile,Temporary job,0.05459,64,594,0.03630,0.07287
1985,Upper Secondary Level,4th Quintile,Permanent job,0.55257,693,737,0.51665,0.58850
1985,Upper Secondary Level,4th Quintile,Temporary job,0.03265,44,737,0.01981,0.04549
1985,Upper Secondary Level,5th Quintile,Permanent job,0.58750,663,701,0.55103,0.62397
1985,Upper Secondary Level,5th Quintile,Temporary job,0.03028,38,701,0.01758,0.04297
1985,Post-secondary Non-tertiary Level,3rd Quintile,Permanent job,0.57739,34,34,0.40885,0.74593
1985,Post-secondary Non-tertiary Level,4th Quintile,Permanent job,0.54900,31,31,0.37094,0.72707
1985,Post-secondary Non-tertiary Level,5th Quintile,Permanent job,0.54029,37,37,0.37749,0.70309
1985,First Stage of Tertiary Education,2nd Quintile,Permanent job,0.39464,34,34,0.22787,0.56140
1985,First Stage of Tertiary Education,3rd Quintile,Permanent job,0.54628,62,62,0.42134,0.67121
1985,First Stage of Tertiary Education,4th Quintile,Permanent job,0.55461,88,88,0.45017,0.65905
1985,First Stage of Tertiary Education,5th Quintile,Permanent job,0.50883,119,119,0.41863,0.59903
1985,Second Stage of Tertiary Education,3rd Quintile,Permanent job,0.58616,59,59,0.45941,0.71292
1985,Second Stage of Tertiary Education,4th Quintile,Permanent job,0.53486,95,95,0.43402,0.63569
1985,Second Stage of Tertiary Education,5th Quintile,Permanent job,0.62640,235,235,0.56442,0.68839
1986,Lower Secondary Level,2nd Quintile,Temporary job,0.02885,31,31,-0.03105,0.08874
1986,Upper Secondary Level,1st Quintile,Permanent job,0.04114,45,45,-0.01755,0.09983
1986,Upper Secondary Level,2nd Quintile,Permanent job,0.04585,53,53,-0.01100,0.10271
1986,Upper Secondary Level,3rd Quintile,Permanent job,0.05875,74,74,0.00481,0.11270
1986,Upper Secondary Level,4th Quintile,Permanent job,0.07617,114,114,0.02726,0.12508
1986,Upper Secondary Level,5th Quintile,Permanent job,0.05894,76,76,0.00564,0.11224
1987,Lower Secondary Level,1st Quintile,Permanent job,0.03758,41,41,-0.02136,0.09652
1987,Lower Secondary Level,2nd Quintile,Permanent job,0.04959,41,74,-0.00021,0.09939
1987,Lower Secondary Level,2nd Quintile,Temporary job,0.03712,33,74,-0.00625,0.08049
1987,Lower Secondary Level,3rd Quintile,Temporary job,0.04172,33,33,-0.02756,0.11099
1987,Lower Secondary Level,4th Quintile,Permanent job,0.04686,32,32,-0.02754,0.12126
1987,Upper Secondary Level,1st Quintile,Permanent job,0.06700,66,66,0.00622,0.12778
1987,Upper Secondary Level,2nd Quintile,Permanent job,0.06840,80,80,0.01274,0.12407
1987,Upper Secondary Level,3rd Quintile,Permanent job,0.08214,108,108,0.03011,0.13416
1987,Upper Secondary Level,4th Quintile,Permanent job,0.08864,115,152,0.04331,0.13398
1987,Upper Secondary Level,4th Quintile,Temporary job,0.02534,37,152,0.00027,0.05040
1987,Upper Secondary Level,5th Quintile,Permanent job,0.07295,82,82,0.01632,0.12959
1987,Second Stage of Tertiary Education,5th Quintile,Permanent job,0.07319,33,33,-0.01705,0.16344
1988,Primary Level,1st Quintile,Permanent job,0.19442,58,58,0.09168,0.29716
1988,Primary Level,2nd Quintile,Permanent job,0.38134,70,70,0.26673,0.49595
1988,Primary Level,3rd Quintile,Permanent job,0.42729,75,75,0.31458,0.54000
1988,Primary Level,4th Quintile,Permanent job,0.64276,73,73,0.53208,0.75345
1988,Lower Secondary Level,1st Quintile,Permanent job,0.13321,168,240,0.09013,0.17629
1988,Lower Secondary Level,1st Quintile,Temporary job,0.06711,72,240,0.03539,0.09883
1988,Lower Secondary Level,2nd Quintile,Permanent job,0.20438,205,277,0.15680,0.25195
1988,Lower Secondary Level,2nd Quintile,Temporary job,0.09460,72,277,0.06007,0.12913
1988,Lower Secondary Level,3rd Quintile,Permanent job,0.34090,231,301,0.28726,0.39454
1988,Lower Secondary Level,3rd Quintile,Temporary job,0.09511,70,301,0.06192,0.12831
1988,Lower Secondary Level,4th Quintile,Permanent job,0.41864,217,257,0.35821,0.47907
1988,Lower Secondary Level,4th Quintile,Temporary job,0.06930,40,257,0.03819,0.10042
1988,Lower Secondary Level,5th Quintile,Permanent job,0.38847,128,165,0.31387,0.46307
1988,Lower Secondary Level,5th Quintile,Temporary job,0.12422,37,165,0.07374,0.17470
1988,Upper Secondary Level,1st Quintile,Permanent job,0.25493,241,281,0.20388,0.30598
1988,Upper Secondary Level,1st Quintile,Temporary job,0.05236,40,281,0.02627,0.07845
1988,Upper Secondary Level,2nd Quintile,Permanent job,0.39505,433,484,0.35145,0.43865
1988,Upper Secondary Level,2nd Quintile,Temporary job,0.03615,51,484,0.01950,0.05279
1988,Upper Secondary Level,3rd Quintile,Permanent job,0.50403,548,593,0.46376,0.54431
1988,Upper Secondary Level,3rd Quintile,Temporary job,0.03852,45,593,0.02302,0.05402
1988,Upper Secondary Level,4th Quintile,Permanent job,0.57540,669,724,0.53937,0.61143
