,Unnamed: 0,year,pgisced97,regtyp,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Primary Level,Urban regions,Permanent job,1.0,367,5591,0.89186,1.09696
1,1,1985,Primary Level,Rural regions,Permanent job,1.0,40,5591,0.69627,1.3544
2,2,1985,Lower Secondary Level,Urban regions,Permanent job,0.74137,838,5591,0.70857,0.77437
3,3,1985,Lower Secondary Level,Urban regions,Temporary job,0.25863,225,5591,0.23574,0.27706
4,4,1985,Lower Secondary Level,Rural regions,Permanent job,0.72364,204,5591,0.6754,0.77466
5,5,1985,Lower Secondary Level,Rural regions,Temporary job,0.27636,69,5591,0.25095,0.30279
6,6,1985,Upper Secondary Level,Urban regions,Permanent job,0.91823,2071,5591,0.89452,0.93585
7,7,1985,Upper Secondary Level,Urban regions,Temporary job,0.08177,195,5591,0.07524,0.08786
8,8,1985,Upper Secondary Level,Rural regions,Permanent job,0.90808,579,5591,0.87977,0.93876
9,9,1985,Upper Secondary Level,Rural regions,Temporary job,0.09192,57,5591,0.08062,0.10026
10,10,1985,Post-secondary Non-tertiary Level,Urban regions,Permanent job,1.0,128,5591,0.88192,1.15048
11,11,1985,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,255,5591,0.96661,1.04091
12,12,1985,First Stage of Tertiary Education,Rural regions,Permanent job,1.0,71,5591,0.91527,1.08115
13,13,1985,Second Stage of Tertiary Education,Urban regions,Permanent job,0.86553,358,5591,0.83123,0.89352
14,14,1985,Second Stage of Tertiary Education,Urban regions,Temporary job,0.13447,65,5591,0.1205,0.15446
15,15,1985,Second Stage of Tertiary Education,Rural regions,Permanent job,1.0,69,5591,0.93075,1.07111
16,16,1986,Lower Secondary Level,Urban regions,Permanent job,0.46863,81,654,0.38999,0.54341
17,17,1986,Lower Secondary Level,Urban regions,Temporary job,0.53137,81,654,0.4573,0.63682
18,18,1986,Upper Secondary Level,Urban regions,Permanent job,0.85775,300,654,0.7969,0.91873
19,19,1986,Upper Secondary Level,Urban regions,Temporary job,0.14225,45,654,0.12246,0.16332
20,20,1986,Upper Secondary Level,Rural regions,Permanent job,1.0,62,654,0.87679,1.12097
21,21,1986,First Stage of Tertiary Education,Urban regions,Permanent job,1.0,31,654,0.88523,1.10591
22,22,1986,Second Stage of Tertiary Education,Urban regions,Permanent job,1.0,54,654,0.89617,1.11041
23,23,1987,Lower Secondary Level,Urban regions,Permanent job,0.52846,113,960,0.4577,0.59666
24,24,1987,Lower Secondary Level,Urban regions,Temporary job,0.47154,102,960,0.41509,0.53062
