year,regtyp,sampreg,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,West,Permanent job,0.35146,4063,4605,0.33767,0.36525
1985,Urban regions,West,Temporary job,0.04889,542,4605,0.04266,0.05512
1985,Rural regions,West,Permanent job,0.30286,976,1117,0.27590,0.32982
1985,Rural regions,West,Temporary job,0.04612,141,1117,0.03381,0.05842
1986,Urban regions,West,Permanent job,0.04509,512,675,0.02942,0.06076
1986,Urban regions,West,Temporary job,0.01410,163,675,0.00520,0.02300
1986,Rural regions,West,Permanent job,0.03174,111,163,0.00474,0.05873
1986,Rural regions,West,Temporary job,0.01647,52,163,-0.00313,0.03607
1987,Urban regions,West,Permanent job,0.05572,608,866,0.04043,0.07101
1987,Urban regions,West,Temporary job,0.02165,258,866,0.01195,0.03135
1987,Rural regions,West,Permanent job,0.05794,192,271,0.03007,0.08581
1987,Rural regions,West,Temporary job,0.02214,79,271,0.00459,0.03969
1988,Urban regions,West,Permanent job,0.37120,3759,4256,0.35668,0.38572
1988,Urban regions,West,Temporary job,0.04284,497,4256,0.03676,0.04893
1988,Rural regions,West,Permanent job,0.30217,881,1036,0.27420,0.33015
1988,Rural regions,West,Temporary job,0.05710,155,1036,0.04296,0.07123
1989,Urban regions,West,Permanent job,0.05520,503,715,0.03845,0.07196
1989,Urban regions,West,Temporary job,0.01888,212,715,0.00890,0.02886
1989,Rural regions,West,Permanent job,0.05291,140,178,0.01993,0.08588
1989,Rural regions,West,Temporary job,0.01398,38,178,-0.00332,0.03128
1990,Urban regions,West,Permanent job,0.05611,540,727,0.03937,0.07285
1990,Urban regions,West,Temporary job,0.01820,187,727,0.00848,0.02793
1990,Urban regions,East,Permanent job,0.50640,1040,1108,0.47695,0.53586
1990,Urban regions,East,Temporary job,0.03382,68,1108,0.02317,0.04446
1990,Rural regions,West,Permanent job,0.06686,165,204,0.03250,0.10122
1990,Rural regions,West,Temporary job,0.01416,39,204,-0.00209,0.03041
1990,Rural regions,East,Permanent job,0.49073,1944,2099,0.46934,0.51212
1990,Rural regions,East,Temporary job,0.03798,155,2099,0.02980,0.04616
1991,Urban regions,West,Permanent job,0.05839,582,761,0.04172,0.07506
1991,Urban regions,West,Temporary job,0.01613,179,761,0.00717,0.02509
1991,Urban regions,East,Permanent job,0.11072,209,265,0.07287,0.14857
1991,Urban regions,East,Temporary job,0.03056,56,265,0.00980,0.05132
1991,Rural regions,West,Permanent job,0.04880,140,184,0.01758,0.08002
1991,Rural regions,West,Temporary job,0.01630,44,184,-0.00204,0.03465
1991,Rural regions,East,Permanent job,0.08332,328,426,0.05705,0.10960
1991,Rural regions,East,Temporary job,0.02585,98,426,0.01076,0.04094
1992,Urban regions,West,Permanent job,0.05019,526,667,0.03360,0.06677
1992,Urban regions,West,Temporary job,0.01341,141,667,0.00467,0.02214
1992,Urban regions,East,Permanent job,0.12177,208,279,0.08333,0.16021
1992,Urban regions,East,Temporary job,0.03869,71,279,0.01602,0.06136
1992,Rural regions,West,Permanent job,0.05657,156,198,0.02431,0.08883
1992,Rural regions,West,Temporary job,0.01537,42,198,-0.00181,0.03256
1992,Rural regions,East,Permanent job,0.08072,297,431,0.05497,0.10647
1992,Rural regions,East,Temporary job,0.04077,134,431,0.02208,0.05946
1993,Urban regions,West,Permanent job,0.05566,512,652,0.03805,0.07327
1993,Urban regions,West,Temporary job,0.01407,140,652,0.00502,0.02311
1993,Urban regions,East,Permanent job,0.10377,182,229,0.06418,0.14335
1993,Urban regions,East,Temporary job,0.02451,47,229,0.00444,0.04458
1993,Rural regions,West,Permanent job,0.03792,118,162,0.00841,0.06742
1993,Rural regions,West,Temporary job,0.01892,44,162,-0.00212,0.03997
1993,Rural regions,East,Permanent job,0.07093,240,325,0.04297,0.09888
1993,Rural regions,East,Temporary job,0.02452,85,325,0.00768,0.04136
1994,Urban regions,West,Permanent job,0.04442,436,622,0.02821,0.06062
1994,Urban regions,West,Temporary job,0.01729,186,622,0.00704,0.02755
1994,Urban regions,East,Permanent job,0.06821,115,168,0.02998,0.10645
1994,Urban regions,East,Temporary job,0.02798,53,168,0.00297,0.05299
1994,Rural regions,West,Permanent job,0.03527,109,169,0.00737,0.06316
1994,Rural regions,West,Temporary job,0.02428,60,169,0.00100,0.04755
1994,Rural regions,East,Permanent job,0.05168,171,283,0.02584,0.07752
1994,Rural regions,East,Temporary job,0.03086,112,283,0.01068,0.05105
1995,Urban regions,West,Permanent job,0.36408,3604,4024,0.34921,0.37894
1995,Urban regions,West,Temporary job,0.03947,420,4024,0.03345,0.04549
1995,Urban regions,East,Permanent job,0.35427,585,676,0.31819,0.39036
1995,Urban regions,East,Temporary job,0.05904,91,676,0.04126,0.07682
1995,Rural regions,West,Permanent job,0.33057,963,1118,0.30299,0.35816
1995,Rural regions,West,Temporary job,0.05491,155,1118,0.04155,0.06827
1995,Rural regions,East,Permanent job,0.31920,1102,1358,0.29439,0.34400
1995,Rural regions,East,Temporary job,0.07630,256,1358,0.06218,0.09043
1996,Urban regions,West,Permanent job,0.35951,3478,3880,0.34441,0.37461
1996,Urban regions,West,Temporary job,0.04122,402,3880,0.03497,0.04748
1996,Urban regions,East,Permanent job,0.34418,577,680,0.30844,0.37991
1996,Urban regions,East,Temporary job,0.06419,103,680,0.04575,0.08262
1996,Rural regions,West,Permanent job,0.34065,978,1113,0.31280,0.36851
1996,Rural regions,West,Temporary job,0.04682,135,1113,0.03440,0.05923
1996,Rural regions,East,Permanent job,0.31894,1070,1292,0.29351,0.34436
1996,Rural regions,East,Temporary job,0.06067,222,1292,0.04765,0.07369
1997,Urban regions,West,Permanent job,0.35019,3296,3779,0.33498,0.36541
1997,Urban regions,West,Temporary job,0.04994,483,3779,0.04299,0.05689
1997,Urban regions,East,Permanent job,0.32152,524,625,0.28487,0.35816
1997,Urban regions,East,Temporary job,0.06119,101,625,0.04238,0.07999
1997,Rural regions,West,Permanent job,0.32457,930,1069,0.29648,0.35265
1997,Rural regions,West,Temporary job,0.04975,139,1069,0.03671,0.06279
1997,Rural regions,East,Permanent job,0.31003,1032,1265,0.28453,0.33553
1997,Rural regions,East,Temporary job,0.06498,233,1265,0.05139,0.07857
1998,Urban regions,West,Permanent job,0.35260,3656,4183,0.33812,0.36708
1998,Urban regions,West,Temporary job,0.05024,527,4183,0.04362,0.05686
1998,Urban regions,East,Permanent job,0.33213,544,650,0.29590,0.36837
1998,Urban regions,East,Temporary job,0.06099,106,650,0.04258,0.07941
1998,Rural regions,West,Permanent job,0.33433,1084,1232,0.30797,0.36068
1998,Rural regions,West,Temporary job,0.04198,148,1232,0.03077,0.05318
1998,Rural regions,East,Permanent job,0.30094,1085,1332,0.27630,0.32559
1998,Rural regions,East,Temporary job,0.07142,247,1332,0.05759,0.08526
1999,Urban regions,West,Permanent job,0.36057,3574,4109,0.34589,0.37526
