year,sampreg,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,West,Permanent job,0.33945,5039,5722,0.32718,0.35172
1985,West,Temporary job,0.04821,683,5722,0.04265,0.05376
1986,West,Permanent job,0.04182,623,838,0.02826,0.05538
1986,West,Temporary job,0.01468,215,838,0.00653,0.02283
1987,West,Permanent job,0.05626,800,1137,0.04286,0.06966
1987,West,Temporary job,0.02177,337,1137,0.01328,0.03026
1988,West,Permanent job,0.35462,4640,5292,0.34173,0.36751
1988,West,Temporary job,0.04627,652,5292,0.04061,0.05193
1989,West,Permanent job,0.05466,643,893,0.03975,0.06958
1989,West,Temporary job,0.01773,250,893,0.00907,0.02639
1990,West,Permanent job,0.05860,705,931,0.04351,0.07370
1990,West,Temporary job,0.01726,226,931,0.00889,0.02564
1990,East,Permanent job,0.49609,3048,3273,0.47896,0.51322
1990,East,Temporary job,0.03599,225,3273,0.02960,0.04237
1991,West,Permanent job,0.05624,724,948,0.04157,0.07092
1991,West,Temporary job,0.01625,224,948,0.00820,0.02431
1991,East,Permanent job,0.09278,547,708,0.07140,0.11417
1991,East,Temporary job,0.02805,161,708,0.01588,0.04022
1992,West,Permanent job,0.05210,687,870,0.03732,0.06687
1992,West,Temporary job,0.01386,183,870,0.00608,0.02163
1992,East,Permanent job,0.09520,520,730,0.07389,0.11651
1992,East,Temporary job,0.03982,210,730,0.02562,0.05401
1993,West,Permanent job,0.05152,630,814,0.03633,0.06672
1993,West,Temporary job,0.01520,184,814,0.00679,0.02361
1993,East,Permanent job,0.08269,422,554,0.05974,0.10565
1993,East,Temporary job,0.02451,132,554,0.01162,0.03740
1994,West,Permanent job,0.04230,545,791,0.02826,0.05633
1994,West,Temporary job,0.01891,246,791,0.00941,0.02841
1994,East,Permanent job,0.05762,286,451,0.03609,0.07916
1994,East,Temporary job,0.02983,165,451,0.01411,0.04554
1995,West,Permanent job,0.35614,4567,5142,0.34305,0.36923
1995,West,Temporary job,0.04313,575,5142,0.03758,0.04868
1995,East,Permanent job,0.33114,1687,2034,0.31068,0.35160
