,Unnamed: 0,year,quintil_oecd,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,1st Quintile,Permanent job,0.7575,654,5722,0.7069,0.80324
1,1,1985,1st Quintile,Temporary job,0.2425,154,5722,0.21993,0.2657
2,2,1985,2nd Quintile,Permanent job,0.84112,855,5722,0.80391,0.87632
3,3,1985,2nd Quintile,Temporary job,0.15888,139,5722,0.14579,0.17247
4,4,1985,3rd Quintile,Permanent job,0.85207,1043,5722,0.81744,0.87658
5,5,1985,3rd Quintile,Temporary job,0.14793,172,5722,0.13572,0.15912
6,6,1985,4th Quintile,Permanent job,0.89909,1235,5722,0.87438,0.92648
7,7,1985,4th Quintile,Temporary job,0.10091,137,5722,0.09344,0.1083
8,8,1985,5th Quintile,Permanent job,0.94132,1252,5722,0.92114,0.96297
9,9,1985,5th Quintile,Temporary job,0.05868,81,5722,0.05257,0.06374
10,10,1986,1st Quintile,Permanent job,0.596,84,838,0.49688,0.70001
11,11,1986,1st Quintile,Temporary job,0.404,40,838,0.30438,0.47031
12,12,1986,2nd Quintile,Permanent job,0.66725,87,838,0.58695,0.75232
13,13,1986,2nd Quintile,Temporary job,0.33275,51,838,0.26317,0.39011
14,14,1986,3rd Quintile,Permanent job,0.75042,133,838,0.68703,0.82331
15,15,1986,3rd Quintile,Temporary job,0.24958,47,838,0.20322,0.28973
16,16,1986,4th Quintile,Permanent job,0.84857,172,838,0.77553,0.91859
17,17,1986,4th Quintile,Temporary job,0.15143,36,838,0.12027,0.18498
18,18,1986,5th Quintile,Permanent job,0.75248,147,838,0.68817,0.81987
19,19,1986,5th Quintile,Temporary job,0.24752,41,838,0.21401,0.27497
20,20,1987,1st Quintile,Permanent job,0.69666,134,1135,0.6002,0.78896
21,21,1987,1st Quintile,Temporary job,0.30334,60,1135,0.24898,0.36007
22,22,1987,2nd Quintile,Permanent job,0.65822,149,1135,0.5722,0.71981
23,23,1987,2nd Quintile,Temporary job,0.34178,80,1135,0.29303,0.38141
24,24,1987,3rd Quintile,Permanent job,0.69012,155,1135,0.63196,0.76009
25,25,1987,3rd Quintile,Temporary job,0.30988,78,1135,0.26872,0.36028
26,26,1987,4th Quintile,Permanent job,0.74336,197,1135,0.68654,0.80504
27,27,1987,4th Quintile,Temporary job,0.25664,78,1135,0.21896,0.29539
28,28,1987,5th Quintile,Permanent job,0.80757,164,1135,0.73642,0.88132
29,29,1987,5th Quintile,Temporary job,0.19243,40,1135,0.17091,0.21375
30,30,1988,1st Quintile,Permanent job,0.76569,520,5291,0.71628,0.82176
31,31,1988,1st Quintile,Temporary job,0.23431,147,5291,0.20436,0.26453
32,32,1988,2nd Quintile,Permanent job,0.84645,812,5291,0.80362,0.88438
33,33,1988,2nd Quintile,Temporary job,0.15355,146,5291,0.13555,0.16995
34,34,1988,3rd Quintile,Permanent job,0.88193,1006,5291,0.84897,0.91829
35,35,1988,3rd Quintile,Temporary job,0.11807,148,5291,0.10848,0.12769
36,36,1988,4th Quintile,Permanent job,0.91017,1163,5291,0.88123,0.94114
37,37,1988,4th Quintile,Temporary job,0.08983,120,5291,0.0797,0.10111
38,38,1988,5th Quintile,Permanent job,0.92625,1138,5291,0.90182,0.95153
39,39,1988,5th Quintile,Temporary job,0.07375,91,5291,0.06699,0.08027
