year,pgisced97,sampreg,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,No answer / don't know,West,Permanent job,0.70523,88,123,0.62432,0.78614
1995,No answer / don't know,West,Temporary job,0.29477,35,123,0.21386,0.37568
1995,Primary Level,West,Permanent job,0.88775,204,204,0.84433,0.93118
1995,Lower Secondary Level,West,Permanent job,0.78172,752,943,0.75535,0.80810
1995,Lower Secondary Level,West,Temporary job,0.21828,191,943,0.19190,0.24465
1995,Lower Secondary Level,East,Permanent job,0.34614,49,143,0.26789,0.42439
1995,Lower Secondary Level,East,Temporary job,0.65386,94,143,0.57561,0.73211
1995,Upper Secondary Level,West,Permanent job,0.92099,2449,2667,0.91075,0.93123
1995,Upper Secondary Level,West,Temporary job,0.07901,218,2667,0.06877,0.08925
1995,Upper Secondary Level,East,Permanent job,0.83883,972,1142,0.81749,0.86016
1995,Upper Secondary Level,East,Temporary job,0.16117,170,1142,0.13984,0.18251
1995,Post-secondary Non-tertiary Level,West,Permanent job,0.88294,211,211,0.83946,0.92642
1995,Post-secondary Non-tertiary Level,East,Permanent job,0.77164,35,35,0.63054,0.91274
1995,First Stage of Tertiary Education,West,Permanent job,0.97758,308,308,0.96102,0.99414
1995,First Stage of Tertiary Education,East,Permanent job,0.95215,119,119,0.91364,0.99066
1995,Second Stage of Tertiary Education,West,Permanent job,0.87539,552,633,0.84963,0.90114
1995,Second Stage of Tertiary Education,West,Temporary job,0.12461,81,633,0.09886,0.15037
1995,Second Stage of Tertiary Education,East,Permanent job,0.88408,499,556,0.85745,0.91072
1995,Second Stage of Tertiary Education,East,Temporary job,0.11592,57,556,0.08928,0.14255
1996,No answer / don't know,West,Permanent job,0.70348,89,89,0.60805,0.79890
1996,Primary Level,West,Permanent job,0.86451,185,185,0.81506,0.91396
1996,Lower Secondary Level,West,Permanent job,0.76967,672,863,0.74156,0.79778
1996,Lower Secondary Level,West,Temporary job,0.23033,191,863,0.20222,0.25844
1996,Lower Secondary Level,East,Permanent job,0.37626,50,144,0.29686,0.45567
1996,Lower Secondary Level,East,Temporary job,0.62374,94,144,0.54433,0.70314
1996,Upper Secondary Level,West,Permanent job,0.92389,2430,2636,0.91376,0.93401
1996,Upper Secondary Level,West,Temporary job,0.07611,206,2636,0.06599,0.08624
1996,Upper Secondary Level,East,Permanent job,0.85987,936,1081,0.83916,0.88057
1996,Upper Secondary Level,East,Temporary job,0.14013,145,1081,0.11943,0.16084
1996,Post-secondary Non-tertiary Level,West,Permanent job,0.88102,209,209,0.83702,0.92502
1996,Post-secondary Non-tertiary Level,East,Permanent job,0.85966,41,41,0.75202,0.96730
1996,First Stage of Tertiary Education,West,Permanent job,0.96297,312,312,0.94198,0.98396
1996,First Stage of Tertiary Education,East,Permanent job,0.95336,118,118,0.91514,0.99157
1996,Second Stage of Tertiary Education,West,Permanent job,0.88616,553,618,0.86109,0.91122
1996,Second Stage of Tertiary Education,West,Temporary job,0.11384,65,618,0.08878,0.13891
1996,Second Stage of Tertiary Education,East,Permanent job,0.89814,490,542,0.87266,0.92363
1996,Second Stage of Tertiary Education,East,Temporary job,0.10186,52,542,0.07637,0.12734
1997,No answer / don't know,West,Permanent job,0.58752,86,118,0.49832,0.67672
1997,No answer / don't know,West,Temporary job,0.41248,32,118,0.32328,0.50168
1997,Primary Level,West,Permanent job,0.89944,165,165,0.85341,0.94547
1997,Lower Secondary Level,West,Permanent job,0.71930,605,828,0.68867,0.74992
1997,Lower Secondary Level,West,Temporary job,0.28070,223,828,0.25008,0.31133
1997,Lower Secondary Level,East,Permanent job,0.33875,35,134,0.25831,0.41919
1997,Lower Secondary Level,East,Temporary job,0.66125,99,134,0.58081,0.74169
1997,Upper Secondary Level,West,Permanent job,0.91433,2297,2522,0.90340,0.92525
1997,Upper Secondary Level,West,Temporary job,0.08567,225,2522,0.07475,0.09660
1997,Upper Secondary Level,East,Permanent job,0.86038,883,1020,0.83910,0.88166
1997,Upper Secondary Level,East,Temporary job,0.13962,137,1020,0.11834,0.16090
1997,Post-secondary Non-tertiary Level,West,Permanent job,0.85558,203,203,0.80711,0.90406
1997,Post-secondary Non-tertiary Level,East,Permanent job,0.93156,43,43,0.85520,1.00793
1997,First Stage of Tertiary Education,West,Permanent job,0.96227,309,309,0.94099,0.98355
1997,First Stage of Tertiary Education,East,Permanent job,0.93251,111,111,0.88562,0.97939
1997,Second Stage of Tertiary Education,West,Permanent job,0.85993,556,640,0.83302,0.88684
1997,Second Stage of Tertiary Education,West,Temporary job,0.14007,84,640,0.11316,0.16698
1997,Second Stage of Tertiary Education,East,Permanent job,0.88153,475,533,0.85407,0.90900
