,Unnamed: 0,year,migback,sex,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,No migration background,male,Permanent job,0.88642,2032,5663,0.87667,0.89509
1,1,1985,No migration background,male,Temporary job,0.11358,267,5663,0.1094,0.11754
2,2,1985,No migration background,female,Permanent job,0.8568,1366,5663,0.84465,0.86919
3,3,1985,No migration background,female,Temporary job,0.1432,220,5663,0.13886,0.14872
4,4,1985,Direct migration background,male,Permanent job,0.91798,1060,5663,0.85492,0.98963
5,5,1985,Direct migration background,male,Temporary job,0.08202,107,5663,0.06827,0.09789
6,6,1985,Direct migration background,female,Permanent job,0.83982,540,5663,0.76353,0.93295
7,7,1985,Direct migration background,female,Temporary job,0.16018,71,5663,0.12215,0.19413
8,8,1986,No migration background,male,Permanent job,0.74826,283,776,0.71251,0.78503
9,9,1986,No migration background,male,Temporary job,0.25174,91,776,0.23245,0.26911
10,10,1986,No migration background,female,Permanent job,0.71,194,776,0.66329,0.75423
11,11,1986,No migration background,female,Temporary job,0.29,74,776,0.2632,0.32164
12,12,1986,Direct migration background,male,Permanent job,1.0,100,776,0.81023,1.20858
13,13,1986,Direct migration background,female,Permanent job,1.0,34,776,0.66532,1.35447
14,14,1987,No migration background,male,Permanent job,0.76023,340,1110,0.72308,0.79775
15,15,1987,No migration background,male,Temporary job,0.23977,120,1110,0.21905,0.26153
16,16,1987,No migration background,female,Permanent job,0.68585,257,1110,0.64509,0.72746
17,17,1987,No migration background,female,Temporary job,0.31415,121,1110,0.29145,0.34341
18,18,1987,Direct migration background,male,Permanent job,0.72587,129,1110,0.61245,0.86344
19,19,1987,Direct migration background,male,Temporary job,0.27413,48,1110,0.18899,0.3801
20,20,1987,Direct migration background,female,Permanent job,0.57344,57,1110,0.43694,0.75515
21,21,1987,Direct migration background,female,Temporary job,0.42656,38,1110,0.33733,0.53628
22,22,1988,No migration background,male,Permanent job,0.89004,1872,5251,0.87615,0.90598
23,23,1988,No migration background,male,Temporary job,0.10996,252,5251,0.1037,0.11489
24,24,1988,No migration background,female,Permanent job,0.87322,1271,5251,0.85382,0.89266
25,25,1988,No migration background,female,Temporary job,0.12678,200,5251,0.11778,0.1337
26,26,1988,Direct migration background,male,Permanent job,0.92277,936,5251,0.85741,0.98863
27,27,1988,Direct migration background,male,Temporary job,0.07723,91,5251,0.06581,0.09437
28,28,1988,Direct migration background,female,Permanent job,0.87781,493,5251,0.7873,0.97145
29,29,1988,Direct migration background,female,Temporary job,0.12219,68,5251,0.08728,0.16201
30,30,1988,Indirect migration background,male,Permanent job,1.0,36,5251,0.67287,1.39078
31,31,1988,Indirect migration background,female,Permanent job,1.0,32,5251,0.63852,1.39707
32,32,1989,No migration background,male,Permanent job,0.77872,253,857,0.73467,0.81555
33,33,1989,No migration background,male,Temporary job,0.22128,80,857,0.19694,0.24217
34,34,1989,No migration background,female,Permanent job,0.74296,214,857,0.69425,0.78674
35,35,1989,No migration background,female,Temporary job,0.25704,85,857,0.23573,0.28571
36,36,1989,Direct migration background,male,Permanent job,0.72119,90,857,0.54371,0.88451
37,37,1989,Direct migration background,male,Temporary job,0.27881,37,857,0.19271,0.38416
38,38,1989,Direct migration background,female,Permanent job,0.70071,63,857,0.50755,0.8766
39,39,1989,Direct migration background,female,Temporary job,0.29929,35,857,0.18278,0.4742
40,40,1990,No migration background,male,Permanent job,0.89193,1793,4153,0.86558,0.92
41,41,1990,No migration background,male,Temporary job,0.10807,177,4153,0.09592,0.11962
42,42,1990,No migration background,female,Permanent job,0.87134,1667,4153,0.84267,0.90153
43,43,1990,No migration background,female,Temporary job,0.12866,189,4153,0.11691,0.14015
44,44,1990,Direct migration background,male,Permanent job,0.80993,154,4153,0.69777,0.90738
45,45,1990,Direct migration background,male,Temporary job,0.19007,33,4153,0.12326,0.25285
46,46,1990,Direct migration background,female,Permanent job,0.80344,108,4153,0.67679,0.90415
47,47,1990,Direct migration background,female,Temporary job,0.19656,32,4153,0.12702,0.2796
48,48,1991,No migration background,male,Permanent job,0.79662,539,1539,0.75342,0.84324
49,49,1991,No migration background,male,Temporary job,0.20338,153,1539,0.18739,0.22183
50,50,1991,No migration background,female,Permanent job,0.74569,480,1539,0.70109,0.79172
51,51,1991,No migration background,female,Temporary job,0.25431,154,1539,0.22893,0.28371
52,52,1991,Direct migration background,male,Permanent job,1.0,118,1539,0.81809,1.19201
53,53,1991,Direct migration background,female,Permanent job,1.0,95,1539,0.81224,1.2196
54,54,1992,No migration background,male,Permanent job,0.7702,523,1489,0.72346,0.82691
55,55,1992,No migration background,male,Temporary job,0.2298,169,1489,0.20657,0.25146
56,56,1992,No migration background,female,Permanent job,0.75526,476,1489,0.70613,0.79939
57,57,1992,No migration background,female,Temporary job,0.24474,153,1489,0.22025,0.27156
58,58,1992,Direct migration background,male,Permanent job,1.0,105,1489,0.86059,1.19576
59,59,1992,Direct migration background,female,Permanent job,1.0,63,1489,0.82467,1.24087
60,60,1993,No migration background,male,Permanent job,0.79479,452,1285,0.74933,0.84703
61,61,1993,No migration background,male,Temporary job,0.20521,115,1285,0.17493,0.23237
62,62,1993,No migration background,female,Permanent job,0.75904,432,1285,0.71278,0.80156
63,63,1993,No migration background,female,Temporary job,0.24096,138,1285,0.21283,0.26692
64,64,1993,Direct migration background,male,Permanent job,1.0,54,1285,0.67202,1.34514
65,65,1993,Direct migration background,female,Permanent job,1.0,63,1285,0.82604,1.17084
66,66,1993,Indirect migration background,male,Permanent job,1.0,31,1285,0.7934,1.21286
67,67,1994,No migration background,male,Permanent job,0.69927,344,1117,0.63959,0.75692
68,68,1994,No migration background,male,Temporary job,0.30073,144,1117,0.26194,0.34235
69,69,1994,No migration background,female,Permanent job,0.68349,339,1117,0.63487,0.73176
70,70,1994,No migration background,female,Temporary job,0.31651,172,1117,0.28864,0.35389
71,71,1994,Direct migration background,male,Permanent job,1.0,49,1117,0.70667,1.29107
72,72,1994,Direct migration background,female,Permanent job,1.0,38,1117,0.72877,1.35911
73,73,1994,Indirect migration background,female,Permanent job,1.0,31,1117,0.79556,1.23804
74,74,1995,No migration background,male,Permanent job,0.8945,2672,7176,0.87198,0.9188
75,75,1995,No migration background,male,Temporary job,0.1055,327,7176,0.09679,0.11435
76,76,1995,No migration background,female,Permanent job,0.8673,2095,7176,0.84269,0.89196
77,77,1995,No migration background,female,Temporary job,0.1327,355,7176,0.12277,0.14272
78,78,1995,Direct migration background,male,Permanent job,0.88034,800,7176,0.81733,0.94149
79,79,1995,Direct migration background,male,Temporary job,0.11966,87,7176,0.10048,0.13965
80,80,1995,Direct migration background,female,Permanent job,0.90254,498,7176,0.82039,0.987
