,Unnamed: 0,year,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Permanent job,0.87559,5039,5722,0.86346,0.88894
1,1,1985,Temporary job,0.12441,683,5722,0.11937,0.13018
2,2,1986,Permanent job,0.73999,623,838,0.70665,0.78003
3,3,1986,Temporary job,0.26001,215,838,0.23634,0.27941
4,4,1987,Permanent job,0.72092,800,1137,0.6927,0.75089
5,5,1987,Temporary job,0.27908,337,1137,0.25957,0.29741
6,6,1988,Permanent job,0.88456,4640,5292,0.867,0.90109
7,7,1988,Temporary job,0.11544,652,5292,0.10955,0.1213
8,8,1989,Permanent job,0.75503,643,893,0.71632,0.79832
9,9,1989,Temporary job,0.24497,250,893,0.22733,0.26704
10,10,1990,Permanent job,0.87591,3753,4204,0.85604,0.8957
11,11,1990,Temporary job,0.12409,451,4204,0.11545,0.13276
12,12,1991,Permanent job,0.77336,1271,1656,0.74146,0.80277
13,13,1991,Temporary job,0.22664,385,1656,0.21015,0.2455
14,14,1992,Permanent job,0.76081,1207,1600,0.72745,0.78771
15,15,1992,Temporary job,0.23919,393,1600,0.22305,0.2601
16,16,1993,Permanent job,0.7719,1052,1368,0.74147,0.80823
17,17,1993,Temporary job,0.2281,316,1368,0.21153,0.24742
18,18,1994,Permanent job,0.68271,831,1242,0.6479,0.71932
19,19,1994,Temporary job,0.31729,411,1242,0.29078,0.34396
20,20,1995,Permanent job,0.87891,6254,7176,0.86553,0.89302
21,21,1995,Temporary job,0.12109,922,7176,0.11521,0.12746
22,22,1996,Permanent job,0.88338,6103,6965,0.86502,0.89834
23,23,1996,Temporary job,0.11662,862,6965,0.11057,0.12303
24,24,1997,Permanent job,0.86579,5782,6738,0.84787,0.88233
25,25,1997,Temporary job,0.13421,956,6738,0.12664,0.14104
26,26,1998,Permanent job,0.8677,6369,7397,0.84916,0.88367
27,27,1998,Temporary job,0.1323,1028,7397,0.12657,0.13851
28,28,1999,Permanent job,0.86042,6217,7314,0.84309,0.87559
29,29,1999,Temporary job,0.13958,1097,7314,0.13364,0.14595
30,30,2000,Permanent job,0.8613,10014,11680,0.85165,0.87215
31,31,2000,Temporary job,0.1387,1666,11680,0.1351,0.14257
32,32,2001,Permanent job,0.86364,9121,10626,0.85236,0.87425
33,33,2001,Temporary job,0.13636,1505,10626,0.13134,0.1402
34,34,2002,Permanent job,0.86136,9642,11155,0.84754,0.8748
35,35,2002,Temporary job,0.13864,1513,11155,0.13227,0.14426
36,36,2003,Permanent job,0.86175,9013,10453,0.8474,0.87713
37,37,2003,Temporary job,0.13825,1440,10453,0.13353,0.14377
38,38,2004,Permanent job,0.85446,8638,10074,0.83808,0.87073
39,39,2004,Temporary job,0.14554,1436,10074,0.13867,0.15237
40,40,2005,Permanent job,0.859,8450,9727,0.84024,0.876
41,41,2005,Temporary job,0.141,1277,9727,0.13433,0.14754
42,42,2006,Permanent job,0.84985,8786,10192,0.83539,0.86305
43,43,2006,Temporary job,0.15015,1406,10192,0.14398,0.15666
44,44,2007,Permanent job,0.84597,8344,9744,0.82979,0.86004
45,45,2007,Temporary job,0.15403,1400,9744,0.14614,0.1621
46,46,2008,Permanent job,0.84322,8010,9371,0.82562,0.86247
47,47,2008,Temporary job,0.15678,1361,9371,0.14944,0.16447
48,48,2009,Permanent job,0.84331,7439,8724,0.82386,0.86505
49,49,2009,Temporary job,0.15669,1285,8724,0.14645,0.16611
50,50,2010,Permanent job,0.84051,10153,11997,0.81814,0.86536
51,51,2010,Temporary job,0.15949,1844,11997,0.14968,0.16975
52,52,2011,Permanent job,0.8395,12411,14581,0.82163,0.85615
53,53,2011,Temporary job,0.1605,2170,14581,0.15183,0.1679
54,54,2012,Permanent job,0.8402,12180,14433,0.82229,0.85688
55,55,2012,Temporary job,0.1598,2253,14433,0.15213,0.1676
56,56,2013,Permanent job,0.83488,13443,16325,0.82,0.8522
57,57,2013,Temporary job,0.16512,2882,16325,0.15522,0.17453
58,58,2014,Permanent job,0.82845,11955,14430,0.81022,0.84229
59,59,2014,Temporary job,0.17155,2475,14430,0.1623,0.18012
60,60,2015,Permanent job,0.83205,11836,14397,0.81301,0.85012
61,61,2015,Temporary job,0.16795,2561,14397,0.15933,0.17714
62,62,2016,Permanent job,0.82729,10886,13406,0.81002,0.84693
63,63,2016,Temporary job,0.17271,2520,13406,0.16313,0.18043
64,64,2017,Permanent job,0.83314,12517,15325,0.8164,0.84913
65,65,2017,Temporary job,0.16686,2808,15325,0.15965,0.17598
66,66,2018,Permanent job,0.83741,12190,15070,0.82154,0.85739
67,67,2018,Temporary job,0.16259,2880,15070,0.15451,0.17113
68,68,2019,Permanent job,0.84337,11794,14576,0.82751,0.86377
69,69,2019,Temporary job,0.15663,2782,14576,0.14815,0.16499
70,70,2020,Permanent job,0.85264,12354,15541,0.83155,0.8721
71,71,2020,Temporary job,0.14736,3187,15541,0.1383,0.1563
72,72,2021,Permanent job,0.86403,8500,10202,0.83795,0.88963
73,73,2021,Temporary job,0.13597,1702,10202,0.12527,0.14658
