year,age_gr,regtyp,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Permanent job,0.71419,1023,1411,0.69060,0.73777
1985,17-29 y.,Urban regions,Temporary job,0.28581,388,1411,0.26223,0.30940
1985,17-29 y.,Rural regions,Permanent job,0.68728,257,369,0.63991,0.73465
1985,17-29 y.,Rural regions,Temporary job,0.31272,112,369,0.26535,0.36009
1985,30-45 y.,Urban regions,Permanent job,0.93853,1716,1828,0.92752,0.94955
1985,30-45 y.,Urban regions,Temporary job,0.06147,112,1828,0.05045,0.07248
1985,30-45 y.,Rural regions,Permanent job,0.95059,433,433,0.93015,0.97103
1985,46-65 y.,Urban regions,Permanent job,0.96910,1312,1354,0.95988,0.97832
1985,46-65 y.,Urban regions,Temporary job,0.03090,42,1354,0.02168,0.04012
1985,46-65 y.,Rural regions,Permanent job,0.97096,284,284,0.95139,0.99052
1986,17-29 y.,Urban regions,Permanent job,0.65431,280,425,0.60904,0.69958
1986,17-29 y.,Urban regions,Temporary job,0.34569,145,425,0.30042,0.39096
1986,17-29 y.,Rural regions,Permanent job,0.50604,57,105,0.40995,0.60213
1986,17-29 y.,Rural regions,Temporary job,0.49396,48,105,0.39787,0.59005
1986,30-45 y.,Urban regions,Permanent job,0.93776,195,195,0.90377,0.97176
1986,30-45 y.,Rural regions,Permanent job,0.92622,41,41,0.84521,1.00723
1986,46-65 y.,Urban regions,Permanent job,0.86606,37,37,0.75480,0.97732
1987,17-29 y.,Urban regions,Permanent job,0.63766,326,530,0.59670,0.67862
1987,17-29 y.,Urban regions,Temporary job,0.36234,204,530,0.32138,0.40330
1987,17-29 y.,Rural regions,Permanent job,0.65220,120,186,0.58357,0.72083
1987,17-29 y.,Rural regions,Temporary job,0.34780,66,186,0.27917,0.41643
1987,30-45 y.,Urban regions,Permanent job,0.83778,206,252,0.79217,0.88339
1987,30-45 y.,Urban regions,Temporary job,0.16222,46,252,0.11661,0.20783
1987,30-45 y.,Rural regions,Permanent job,0.83231,54,54,0.73173,0.93289
1987,46-65 y.,Urban regions,Permanent job,0.84444,76,76,0.76242,0.92647
1988,17-29 y.,Urban regions,Permanent job,0.75824,995,1363,0.73550,0.78098
1988,17-29 y.,Urban regions,Temporary job,0.24176,368,1363,0.21902,0.26450
1988,17-29 y.,Rural regions,Permanent job,0.65826,231,350,0.60850,0.70802
1988,17-29 y.,Rural regions,Temporary job,0.34174,119,350,0.29198,0.39150
1988,30-45 y.,Urban regions,Permanent job,0.94785,1477,1566,0.93683,0.95886
1988,30-45 y.,Urban regions,Temporary job,0.05215,89,1566,0.04114,0.06317
1988,30-45 y.,Rural regions,Permanent job,0.92946,381,381,0.90372,0.95521
1988,46-65 y.,Urban regions,Permanent job,0.96574,1278,1317,0.95591,0.97557
1988,46-65 y.,Urban regions,Temporary job,0.03426,39,1317,0.02443,0.04409
1988,46-65 y.,Rural regions,Permanent job,0.93863,268,268,0.90984,0.96742
1989,17-29 y.,Urban regions,Permanent job,0.68004,280,437,0.63625,0.72382
1989,17-29 y.,Urban regions,Temporary job,0.31996,157,437,0.27618,0.36375
1989,17-29 y.,Rural regions,Permanent job,0.76299,81,81,0.66980,0.85617
1989,30-45 y.,Urban regions,Permanent job,0.83741,180,222,0.78876,0.88606
1989,30-45 y.,Urban regions,Temporary job,0.16259,42,222,0.11394,0.21124
1989,30-45 y.,Rural regions,Permanent job,0.81745,40,40,0.69621,0.93869
1989,46-65 y.,Urban regions,Permanent job,0.83070,43,43,0.71728,0.94411
1990,17-29 y.,Urban regions,Permanent job,0.74831,524,695,0.71602,0.78060
1990,17-29 y.,Urban regions,Temporary job,0.25169,171,695,0.21940,0.28398
1990,17-29 y.,Rural regions,Permanent job,0.84062,570,676,0.81300,0.86823
1990,17-29 y.,Rural regions,Temporary job,0.15938,106,676,0.13177,0.18700
1990,30-45 y.,Urban regions,Permanent job,0.89589,641,696,0.87319,0.91860
1990,30-45 y.,Urban regions,Temporary job,0.10411,55,696,0.08140,0.12681
1990,30-45 y.,Rural regions,Permanent job,0.95065,905,950,0.93687,0.96443
1990,30-45 y.,Rural regions,Temporary job,0.04935,45,950,0.03557,0.06313
1990,46-65 y.,Urban regions,Permanent job,0.91832,410,410,0.89178,0.94486
1990,46-65 y.,Rural regions,Permanent job,0.93904,625,666,0.92085,0.95722
1990,46-65 y.,Rural regions,Temporary job,0.06096,41,666,0.04278,0.07915
1991,17-29 y.,Urban regions,Permanent job,0.73880,342,478,0.69938,0.77822
1991,17-29 y.,Urban regions,Temporary job,0.26120,136,478,0.22178,0.30062
1991,17-29 y.,Rural regions,Permanent job,0.66896,152,222,0.60691,0.73100
1991,17-29 y.,Rural regions,Temporary job,0.33104,70,222,0.26900,0.39309
1991,30-45 y.,Urban regions,Permanent job,0.83803,334,399,0.80183,0.87423
1991,30-45 y.,Urban regions,Temporary job,0.16197,65,399,0.12577,0.19817
1991,30-45 y.,Rural regions,Permanent job,0.83518,225,277,0.79141,0.87896
1991,30-45 y.,Rural regions,Temporary job,0.16482,52,277,0.12104,0.20859
1991,46-65 y.,Urban regions,Permanent job,0.77089,114,148,0.70295,0.83883
1991,46-65 y.,Urban regions,Temporary job,0.22911,34,148,0.16117,0.29705
1991,46-65 y.,Rural regions,Permanent job,0.77743,90,90,0.69101,0.86386
