,Unnamed: 0,year,regtyp,sex,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Urban regions,male,Permanent job,0.8911,2511,5722,0.86736,0.9104
1,1,1985,Urban regions,male,Temporary job,0.1089,309,5722,0.10254,0.1161
2,2,1985,Urban regions,female,Permanent job,0.85896,1542,5722,0.83175,0.87899
3,3,1985,Urban regions,female,Temporary job,0.14104,230,5722,0.13253,0.15028
4,4,1985,Rural regions,male,Permanent job,0.88314,601,5722,0.8506,0.91397
5,5,1985,Rural regions,male,Temporary job,0.11686,77,5722,0.10374,0.12883
6,6,1985,Rural regions,female,Permanent job,0.84339,385,5722,0.8095,0.87833
7,7,1985,Rural regions,female,Temporary job,0.15661,67,5722,0.14256,0.17109
8,8,1986,Urban regions,male,Permanent job,0.766,318,786,0.70941,0.81409
9,9,1986,Urban regions,male,Temporary job,0.234,99,786,0.2069,0.26753
10,10,1986,Urban regions,female,Permanent job,0.75207,192,786,0.69762,0.81045
11,11,1986,Urban regions,female,Temporary job,0.24793,64,786,0.21128,0.28136
12,12,1986,Rural regions,male,Permanent job,1.0,73,786,0.88349,1.14383
13,13,1986,Rural regions,female,Permanent job,1.0,40,786,0.83917,1.16253
14,14,1987,Urban regions,male,Permanent job,0.74597,367,1137,0.69538,0.80292
15,15,1987,Urban regions,male,Temporary job,0.25403,137,1137,0.22304,0.28626
16,16,1987,Urban regions,female,Permanent job,0.69028,241,1137,0.63328,0.74137
17,17,1987,Urban regions,female,Temporary job,0.30972,120,1137,0.27076,0.3468
18,18,1987,Rural regions,male,Permanent job,0.79348,111,1137,0.71929,0.88123
19,19,1987,Rural regions,male,Temporary job,0.20652,36,1137,0.17435,0.24632
20,20,1987,Rural regions,female,Permanent job,0.63894,81,1137,0.57055,0.7169
21,21,1987,Rural regions,female,Temporary job,0.36106,44,1137,0.30546,0.41955
22,22,1988,Urban regions,male,Permanent job,0.90261,2312,5292,0.87062,0.92382
23,23,1988,Urban regions,male,Temporary job,0.09739,286,5292,0.08948,0.10428
24,24,1988,Urban regions,female,Permanent job,0.88849,1441,5292,0.85821,0.91593
25,25,1988,Urban regions,female,Temporary job,0.11151,209,5292,0.10283,0.12255
26,26,1988,Rural regions,male,Permanent job,0.85528,532,5292,0.81566,0.89194
27,27,1988,Rural regions,male,Temporary job,0.14472,83,5292,0.12927,0.15836
28,28,1988,Rural regions,female,Permanent job,0.81838,355,5292,0.77548,0.86114
29,29,1988,Rural regions,female,Temporary job,0.18162,74,5292,0.16182,0.20057
30,30,1989,Urban regions,male,Permanent job,0.7612,272,854,0.69824,0.8221
31,31,1989,Urban regions,male,Temporary job,0.2388,103,854,0.20708,0.27415
32,32,1989,Urban regions,female,Permanent job,0.7277,230,854,0.66477,0.79357
33,33,1989,Urban regions,female,Temporary job,0.2723,108,854,0.23683,0.30998
34,34,1989,Rural regions,male,Permanent job,1.0,83,854,0.89214,1.11901
35,35,1989,Rural regions,female,Permanent job,1.0,58,854,0.87066,1.15537
36,36,1990,Urban regions,male,Permanent job,0.85195,819,4138,0.81176,0.89873
37,37,1990,Urban regions,male,Temporary job,0.14805,119,4138,0.12906,0.1715
38,38,1990,Urban regions,female,Permanent job,0.82524,760,4138,0.78086,0.86987
39,39,1990,Urban regions,female,Temporary job,0.17476,136,4138,0.15685,0.19195
40,40,1990,Rural regions,male,Permanent job,0.91383,1114,4138,0.88365,0.9468
41,41,1990,Rural regions,male,Temporary job,0.08617,100,4138,0.07655,0.09611
42,42,1990,Rural regions,female,Permanent job,0.90581,996,4138,0.87547,0.93926
43,43,1990,Rural regions,female,Temporary job,0.09419,94,4138,0.08275,0.1081
44,44,1991,Urban regions,male,Permanent job,0.81437,416,1636,0.75946,0.87067
45,45,1991,Urban regions,male,Temporary job,0.18563,111,1636,0.16332,0.20949
46,46,1991,Urban regions,female,Permanent job,0.75112,375,1636,0.69664,0.80744
47,47,1991,Urban regions,female,Temporary job,0.24888,123,1636,0.21564,0.29252
48,48,1991,Rural regions,male,Permanent job,0.756,259,1636,0.69628,0.80921
49,49,1991,Rural regions,male,Temporary job,0.244,75,1636,0.2043,0.28585
50,50,1991,Rural regions,female,Permanent job,0.75398,209,1636,0.68584,0.82181
51,51,1991,Rural regions,female,Temporary job,0.24602,68,1636,0.21036,0.28726
52,52,1992,Urban regions,male,Permanent job,0.80268,390,1575,0.74704,0.86603
53,53,1992,Urban regions,male,Temporary job,0.19732,102,1575,0.17358,0.22794
54,54,1992,Urban regions,female,Permanent job,0.75715,338,1575,0.70388,0.81124
55,55,1992,Urban regions,female,Temporary job,0.24285,110,1575,0.21024,0.28007
56,56,1992,Rural regions,male,Permanent job,0.6958,246,1575,0.63162,0.7608
57,57,1992,Rural regions,male,Temporary job,0.3042,107,1575,0.25535,0.36285
58,58,1992,Rural regions,female,Permanent job,0.76359,213,1575,0.69284,0.8274
59,59,1992,Rural regions,female,Temporary job,0.23641,69,1575,0.2066,0.27453
60,60,1993,Urban regions,male,Permanent job,0.80237,338,1368,0.74503,0.8709
61,61,1993,Urban regions,male,Temporary job,0.19763,91,1368,0.17041,0.22599
62,62,1993,Urban regions,female,Permanent job,0.79673,353,1368,0.74684,0.84849
63,63,1993,Urban regions,female,Temporary job,0.20327,95,1368,0.17716,0.23477
64,64,1993,Rural regions,male,Permanent job,0.73184,199,1368,0.65887,0.80809
65,65,1993,Rural regions,male,Temporary job,0.26816,64,1368,0.20668,0.34547
66,66,1993,Rural regions,female,Permanent job,0.68456,162,1368,0.61898,0.74263
67,67,1993,Rural regions,female,Temporary job,0.31544,66,1368,0.27086,0.36667
68,68,1994,Urban regions,male,Permanent job,0.72046,270,1242,0.65256,0.79543
69,69,1994,Urban regions,male,Temporary job,0.27954,114,1242,0.24168,0.32493
70,70,1994,Urban regions,female,Permanent job,0.71506,279,1242,0.66136,0.78794
71,71,1994,Urban regions,female,Temporary job,0.28494,124,1242,0.2498,0.31959
72,72,1994,Rural regions,male,Permanent job,0.61598,153,1242,0.55207,0.68845
73,73,1994,Rural regions,male,Temporary job,0.38402,82,1242,0.32472,0.45762
74,74,1994,Rural regions,female,Permanent job,0.60393,129,1242,0.53701,0.67878
75,75,1994,Rural regions,female,Temporary job,0.39607,91,1242,0.33435,0.46496
76,76,1995,Urban regions,male,Permanent job,0.90552,2394,7176,0.87827,0.93186
77,77,1995,Urban regions,male,Temporary job,0.09448,268,7176,0.08566,0.10373
78,78,1995,Urban regions,female,Permanent job,0.88675,1785,7176,0.85348,0.91947
79,79,1995,Urban regions,female,Temporary job,0.11325,243,7176,0.10283,0.12176
80,80,1995,Rural regions,male,Permanent job,0.84663,1175,7176,0.80575,0.87932
81,81,1995,Rural regions,male,Temporary job,0.15337,201,7176,0.13838,0.1722
82,82,1995,Rural regions,female,Permanent job,0.8258,900,7176,0.78238,0.87192
83,83,1995,Rural regions,female,Temporary job,0.1742,210,7176,0.15852,0.19313
84,84,1996,Urban regions,male,Permanent job,0.89933,2294,6965,0.87344,0.93209
85,85,1996,Urban regions,male,Temporary job,0.10067,252,6965,0.09026,0.11333
86,86,1996,Urban regions,female,Permanent job,0.88129,1751,6965,0.84949,0.91281
87,87,1996,Urban regions,female,Temporary job,0.11871,253,6965,0.10724,0.12758
88,88,1996,Rural regions,male,Permanent job,0.87227,1152,6965,0.83245,0.90993
89,89,1996,Rural regions,male,Temporary job,0.12773,175,6965,0.10932,0.14281
90,90,1996,Rural regions,female,Permanent job,0.85451,906,6965,0.81127,0.90263
91,91,1996,Rural regions,female,Temporary job,0.14549,182,6965,0.12928,0.16009
92,92,1997,Urban regions,male,Permanent job,0.87707,2146,6738,0.84601,0.90521
93,93,1997,Urban regions,male,Temporary job,0.12293,308,6738,0.11263,0.13251
94,94,1997,Urban regions,female,Permanent job,0.86497,1665,6738,0.82689,0.9
95,95,1997,Urban regions,female,Temporary job,0.13503,276,6738,0.12203,0.14642
96,96,1997,Rural regions,male,Permanent job,0.85093,1100,6738,0.81401,0.89227
97,97,1997,Rural regions,male,Temporary job,0.14907,205,6738,0.12875,0.16688
98,98,1997,Rural regions,female,Permanent job,0.85283,871,6738,0.80726,0.8982
99,99,1997,Rural regions,female,Temporary job,0.14717,167,6738,0.12778,0.16676
100,100,1998,Urban regions,male,Permanent job,0.86783,2350,7397,0.84452,0.89491
101,101,1998,Urban regions,male,Temporary job,0.13217,347,7397,0.12109,0.14426
102,102,1998,Urban regions,female,Permanent job,0.87834,1843,7397,0.84497,0.91004
103,103,1998,Urban regions,female,Temporary job,0.12166,286,7397,0.11335,0.13089
104,104,1998,Rural regions,male,Permanent job,0.86287,1220,7397,0.82965,0.89279
105,105,1998,Rural regions,male,Temporary job,0.13713,209,7397,0.12665,0.14987
106,106,1998,Rural regions,female,Permanent job,0.84905,956,7397,0.81312,0.88479
107,107,1998,Rural regions,female,Temporary job,0.15095,186,7397,0.13621,0.16869
108,108,1999,Urban regions,male,Permanent job,0.86029,2278,7314,0.83601,0.88926
109,109,1999,Urban regions,male,Temporary job,0.13971,360,7314,0.13008,0.15026
