year,age_gr,quintil_oecd,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,1st Quintile,Permanent job,0.54537,188,306,0.48949,0.60126
1985,17-29 y.,1st Quintile,Temporary job,0.45463,118,306,0.39874,0.51051
1985,17-29 y.,2nd Quintile,Permanent job,0.61879,197,299,0.56364,0.67393
1985,17-29 y.,2nd Quintile,Temporary job,0.38121,102,299,0.32607,0.43636
1985,17-29 y.,3rd Quintile,Permanent job,0.69839,275,393,0.65296,0.74383
1985,17-29 y.,3rd Quintile,Temporary job,0.30161,118,393,0.25617,0.34704
1985,17-29 y.,4th Quintile,Permanent job,0.76887,331,434,0.72917,0.80858
1985,17-29 y.,4th Quintile,Temporary job,0.23113,103,434,0.19142,0.27083
1985,17-29 y.,5th Quintile,Permanent job,0.82804,289,348,0.78833,0.86774
1985,17-29 y.,5th Quintile,Temporary job,0.17196,59,348,0.13226,0.21167
1985,30-45 y.,1st Quintile,Permanent job,0.91431,308,308,0.88300,0.94562
1985,30-45 y.,2nd Quintile,Permanent job,0.91320,417,448,0.88710,0.93930
1985,30-45 y.,2nd Quintile,Temporary job,0.08680,31,448,0.06070,0.11290
1985,30-45 y.,3rd Quintile,Permanent job,0.91531,414,450,0.88956,0.94107
1985,30-45 y.,3rd Quintile,Temporary job,0.08469,36,450,0.05893,0.11044
1985,30-45 y.,4th Quintile,Permanent job,0.94675,497,497,0.92699,0.96651
1985,30-45 y.,5th Quintile,Permanent job,0.98212,513,513,0.97064,0.99360
1985,46-65 y.,1st Quintile,Permanent job,0.94527,166,166,0.91057,0.97998
1985,46-65 y.,2nd Quintile,Permanent job,0.96104,231,231,0.93604,0.98605
1985,46-65 y.,3rd Quintile,Permanent job,0.98002,356,356,0.96546,0.99458
1985,46-65 y.,4th Quintile,Permanent job,0.97741,400,400,0.96283,0.99199
1985,46-65 y.,5th Quintile,Permanent job,0.96518,443,443,0.94809,0.98227
1986,17-29 y.,1st Quintile,Permanent job,0.50572,53,90,0.40185,0.60959
1986,17-29 y.,1st Quintile,Temporary job,0.49428,37,90,0.39041,0.59815
1986,17-29 y.,2nd Quintile,Permanent job,0.53950,46,92,0.43709,0.64191
1986,17-29 y.,2nd Quintile,Temporary job,0.46050,46,92,0.35809,0.56291
1986,17-29 y.,3rd Quintile,Permanent job,0.64688,75,118,0.56028,0.73349
1986,17-29 y.,3rd Quintile,Temporary job,0.35312,43,118,0.26651,0.43972
1986,17-29 y.,4th Quintile,Permanent job,0.75684,99,132,0.68338,0.83030
1986,17-29 y.,4th Quintile,Temporary job,0.24316,33,132,0.16970,0.31662
1986,17-29 y.,5th Quintile,Permanent job,0.60859,64,98,0.51146,0.70572
1986,17-29 y.,5th Quintile,Temporary job,0.39141,34,98,0.29428,0.48854
1986,30-45 y.,1st Quintile,Permanent job,0.95102,31,31,0.87379,1.02825
1986,30-45 y.,2nd Quintile,Permanent job,0.84209,34,34,0.71767,0.96651
1986,30-45 y.,3rd Quintile,Permanent job,0.94672,50,50,0.88383,1.00960
1986,30-45 y.,4th Quintile,Permanent job,0.99626,55,55,0.97999,1.01254
1986,30-45 y.,5th Quintile,Permanent job,0.92076,66,66,0.85510,0.98643
1987,17-29 y.,1st Quintile,Permanent job,0.62040,86,135,0.53823,0.70257
1987,17-29 y.,1st Quintile,Temporary job,0.37960,49,135,0.29743,0.46177
1987,17-29 y.,2nd Quintile,Permanent job,0.59733,85,149,0.51831,0.67634
1987,17-29 y.,2nd Quintile,Temporary job,0.40267,64,149,0.32366,0.48169
1987,17-29 y.,3rd Quintile,Permanent job,0.63856,95,154,0.56244,0.71469
1987,17-29 y.,3rd Quintile,Temporary job,0.36144,59,154,0.28531,0.43756
1987,17-29 y.,4th Quintile,Permanent job,0.64564,110,176,0.57477,0.71651
1987,17-29 y.,4th Quintile,Temporary job,0.35436,66,176,0.28349,0.42523
1987,17-29 y.,5th Quintile,Permanent job,0.70835,69,101,0.61927,0.79744
1987,17-29 y.,5th Quintile,Temporary job,0.29165,32,101,0.20256,0.38073
1987,30-45 y.,1st Quintile,Permanent job,0.79047,40,40,0.66274,0.91820
1987,30-45 y.,2nd Quintile,Permanent job,0.74729,44,44,0.61739,0.87718
1987,30-45 y.,3rd Quintile,Permanent job,0.80361,45,45,0.68623,0.92100
1987,30-45 y.,4th Quintile,Permanent job,0.87922,64,64,0.79875,0.95969
1987,30-45 y.,5th Quintile,Permanent job,0.93143,67,67,0.87046,0.99240
1988,17-29 y.,1st Quintile,Permanent job,0.58187,166,275,0.52346,0.64027
1988,17-29 y.,1st Quintile,Temporary job,0.41813,109,275,0.35973,0.47654
1988,17-29 y.,2nd Quintile,Permanent job,0.64755,201,316,0.59479,0.70031
1988,17-29 y.,2nd Quintile,Temporary job,0.35245,115,316,0.29969,0.40521
1988,17-29 y.,3rd Quintile,Permanent job,0.71319,257,375,0.66735,0.75903
1988,17-29 y.,3rd Quintile,Temporary job,0.28681,118,375,0.24097,0.33265
1988,17-29 y.,4th Quintile,Permanent job,0.81268,342,427,0.77562,0.84973
1988,17-29 y.,4th Quintile,Temporary job,0.18732,85,427,0.15027,0.22438
1988,17-29 y.,5th Quintile,Permanent job,0.81950,259,319,0.77723,0.86178
1988,17-29 y.,5th Quintile,Temporary job,0.18050,60,319,0.13822,0.22277
1988,30-45 y.,1st Quintile,Permanent job,0.91090,229,229,0.87393,0.94788
1988,30-45 y.,2nd Quintile,Permanent job,0.92573,382,382,0.89940,0.95206
1988,30-45 y.,3rd Quintile,Permanent job,0.95426,418,418,0.93421,0.97431
1988,30-45 y.,4th Quintile,Permanent job,0.94623,392,392,0.92387,0.96858
1988,30-45 y.,5th Quintile,Permanent job,0.95777,437,437,0.93890,0.97665
1988,46-65 y.,1st Quintile,Permanent job,0.89430,135,135,0.84225,0.94636
1988,46-65 y.,2nd Quintile,Permanent job,0.91756,213,213,0.88053,0.95458
1988,46-65 y.,3rd Quintile,Permanent job,0.97976,326,326,0.96445,0.99507
1988,46-65 y.,4th Quintile,Permanent job,0.97024,440,440,0.95435,0.98614
1988,46-65 y.,5th Quintile,Permanent job,0.96914,432,432,0.95282,0.98547
1989,17-29 y.,1st Quintile,Permanent job,0.64790,71,113,0.55944,0.73636
1989,17-29 y.,1st Quintile,Temporary job,0.35210,42,113,0.26364,0.44056
1989,17-29 y.,2nd Quintile,Permanent job,0.72262,78,117,0.64115,0.80410
1989,17-29 y.,2nd Quintile,Temporary job,0.27738,39,117,0.19590,0.35885
1989,17-29 y.,3rd Quintile,Permanent job,0.71172,70,108,0.62589,0.79754
1989,17-29 y.,3rd Quintile,Temporary job,0.28828,38,108,0.20246,0.37411
1989,17-29 y.,4th Quintile,Permanent job,0.64859,74,116,0.56134,0.73585
1989,17-29 y.,4th Quintile,Temporary job,0.35141,42,116,0.26415,0.43866
1989,17-29 y.,5th Quintile,Permanent job,0.76281,68,68,0.66096,0.86466
1989,30-45 y.,1st Quintile,Permanent job,0.69129,43,43,0.55158,0.83101
1989,30-45 y.,2nd Quintile,Permanent job,0.82749,42,42,0.71183,0.94314
1989,30-45 y.,3rd Quintile,Permanent job,0.86660,46,46,0.76725,0.96594
1989,30-45 y.,4th Quintile,Permanent job,0.83027,37,37,0.70764,0.95290
1989,30-45 y.,5th Quintile,Permanent job,0.90680,52,52,0.82702,0.98659
1990,17-29 y.,1st Quintile,Permanent job,0.56138,58,107,0.46692,0.65585
1990,17-29 y.,1st Quintile,Temporary job,0.43862,49,107,0.34415,0.53308
1990,17-29 y.,2nd Quintile,Permanent job,0.62677,59,99,0.53101,0.72253
1990,17-29 y.,2nd Quintile,Temporary job,0.37323,40,99,0.27747,0.46899
1990,17-29 y.,3rd Quintile,Permanent job,0.69396,78,110,0.60744,0.78048
1990,17-29 y.,3rd Quintile,Temporary job,0.30604,32,110,0.21952,0.39256
1990,17-29 y.,4th Quintile,Permanent job,0.81431,102,102,0.73847,0.89014
1990,17-29 y.,5th Quintile,Permanent job,0.81392,67,67,0.72003,0.90781
1990,30-45 y.,1st Quintile,Permanent job,0.80631,68,68,0.71168,0.90093
1990,30-45 y.,2nd Quintile,Permanent job,0.86365,58,58,0.77457,0.95274
