year,quintil_oecd,sex,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,male,Permanent job,0.23939,452,542,0.20344,0.27535
1985,1st Quintile,male,Temporary job,0.06636,90,542,0.04539,0.08734
1985,1st Quintile,female,Permanent job,0.11144,212,274,0.07411,0.14876
1985,1st Quintile,female,Temporary job,0.04055,62,274,0.01715,0.06395
1985,2nd Quintile,male,Permanent job,0.35859,562,643,0.32149,0.39569
1985,2nd Quintile,male,Temporary job,0.05689,81,643,0.03897,0.07481
1985,2nd Quintile,female,Permanent job,0.16836,286,348,0.12899,0.20773
1985,2nd Quintile,female,Temporary job,0.04722,62,348,0.02491,0.06954
1985,3rd Quintile,male,Permanent job,0.44059,652,738,0.40475,0.47643
1985,3rd Quintile,male,Temporary job,0.05795,86,738,0.04108,0.07482
1985,3rd Quintile,female,Permanent job,0.25472,395,473,0.21541,0.29403
1985,3rd Quintile,female,Temporary job,0.05350,78,473,0.03320,0.07380
1985,4th Quintile,male,Permanent job,0.53365,751,830,0.49969,0.56761
1985,4th Quintile,male,Temporary job,0.05352,79,830,0.03820,0.06884
1985,4th Quintile,female,Permanent job,0.34415,479,538,0.30396,0.38433
1985,4th Quintile,female,Temporary job,0.04645,59,538,0.02865,0.06426
1985,5th Quintile,male,Permanent job,0.54488,695,745,0.50909,0.58066
1985,5th Quintile,male,Temporary job,0.03551,50,745,0.02221,0.04880
1985,5th Quintile,female,Permanent job,0.43683,555,591,0.39681,0.47685
1985,5th Quintile,female,Temporary job,0.02900,36,591,0.01546,0.04254
1986,1st Quintile,male,Permanent job,0.03546,56,56,-0.01342,0.08433
1986,1st Quintile,female,Permanent job,0.01920,32,32,-0.02911,0.06750
1986,2nd Quintile,male,Permanent job,0.03833,55,86,-0.00248,0.07915
1986,2nd Quintile,male,Temporary job,0.01450,31,86,-0.01091,0.03991
1986,3rd Quintile,male,Permanent job,0.06410,90,90,0.01321,0.11499
1986,3rd Quintile,female,Permanent job,0.02729,42,42,-0.02258,0.07716
