"plb0037_h","year","age_gr","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Unbefristet","1985","17-34","1901","0.765073867607094","0.748300195066762","0.781847540147425"
"Unbefristet","1985","35-65","3124","0.961759410909137","0.955170178497919","0.968348643320356"
"Unbefristet","1985","66 +","14","","",""
"Befristet","1985","17-34","553","0.234926132392906","0.218152459852575","0.251699804933238"
"Befristet","1985","35-65","130","0.0382405890908626","0.0316513566796444","0.0448298215020809"
"Befristet","1985","66 +","","","",""
"Unbefristet","1986","17-34","436","0.675674753186211","0.63929340760077","0.712056098771651"
"Unbefristet","1986","35-65","187","0.929251198583036","0.89389231740824","0.964610079757833"
"Unbefristet","1986","66 +","","","",""
"Befristet","1986","17-34","200","0.32432524681379","0.287943901228349","0.36070659239923"
"Befristet","1986","35-65","15","","",""
"Befristet","1986","66 +","","","",""
"Unbefristet","1987","17-34","554","0.665394361452054","0.63378487832308","0.697003844581029"
"Unbefristet","1987","35-65","246","0.871918007141922","0.832845003964917","0.910991010318926"
"Unbefristet","1987","66 +","","","",""
"Befristet","1987","17-34","302","0.334605638547946","0.302996155418971","0.36621512167692"
"Befristet","1987","35-65","35","0.128081992858078","0.0890089896810741","0.167154996035083"
"Befristet","1987","66 +","","","",""
"Unbefristet","1988","17-34","1825","0.788265759194391","0.771804138144651","0.80472738024413"
"Unbefristet","1988","35-65","2805","0.959716143237695","0.952575871003193","0.966856415472197"
"Unbefristet","1988","66 +","10","","",""
"Befristet","1988","17-34","541","0.211734240805609","0.19527261975587","0.228195861855349"
"Befristet","1988","35-65","108","0.0402838567623051","0.0331435845278028","0.0474241289968075"
"Befristet","1988","66 +","3","","",""
"Unbefristet","1989","17-34","465","0.732297560145247","0.698771644500085","0.765823475790409"
"Unbefristet","1989","35-65","178","0.822877826026615","0.772770663943926","0.872984988109305"
"Unbefristet","1989","66 +","","","",""
"Befristet","1989","17-34","205","0.267702439854753","0.234176524209591","0.301228355499915"
"Befristet","1989","35-65","45","0.177122173973385","0.127015011890695","0.227229336056074"
"Befristet","1989","66 +","","","",""
"Unbefristet","1990","17-34","476","0.743190654339591","0.709810320465736","0.776570988213445"
"Unbefristet","1990","35-65","228","0.834665761373586","0.790518746964468","0.878812775782703"
"Unbefristet","1990","66 +","1","","",""
"Befristet","1990","17-34","182","0.256809345660409","0.223429011786555","0.290189679534264"
"Befristet","1990","35-65","44","0.165334238626414","0.121187224217296","0.209481253035532"
"Befristet","1990","66 +","","","",""
"Unbefristet","1991","17-34","725","0.738334780147077","0.711023867420716","0.765645692873438"
"Unbefristet","1991","35-65","544","0.828232587975646","0.799435277608745","0.857029898342546"
"Unbefristet","1991","66 +","2","","",""
"Befristet","1991","17-34","270","0.261665219852923","0.234354307126562","0.288976132579284"
"Befristet","1991","35-65","115","0.171767412024354","0.142970101657454","0.200564722391255"
"Befristet","1991","66 +","","","",""
"Unbefristet","1992","17-34","656","0.724167073332716","0.69508087987598","0.753253266789452"
"Unbefristet","1992","35-65","550","0.814632756555947","0.785658887185289","0.843606625926605"
"Unbefristet","1992","66 +","1","","",""
"Befristet","1992","17-34","251","0.275832926667284","0.246746733210548","0.30491912012402"
"Befristet","1992","35-65","141","0.185367243444053","0.156393374073395","0.21434111281471"
"Befristet","1992","66 +","1","","",""
"Unbefristet","1993","17-34","608","0.742580396799103","0.712618866764504","0.772541926833702"
"Unbefristet","1993","35-65","444","0.814012469338949","0.781494442192955","0.846530496484943"
"Unbefristet","1993","66 +","","","",""
"Befristet","1993","17-34","210","0.257419603200897","0.227458073166297","0.287381133235496"
"Befristet","1993","35-65","106","0.185987530661051","0.153469503515057","0.218505557807045"
"Befristet","1993","66 +","","","",""
"Unbefristet","1994","17-34","526","0.635725382072021","0.602927593064936","0.668523171079105"
"Unbefristet","1994","35-65","305","0.771544206207244","0.731151259356428","0.811937153058061"
"Unbefristet","1994","66 +","","","",""
"Befristet","1994","17-34","301","0.364274617927979","0.331476828920895","0.397072406935064"
"Befristet","1994","35-65","110","0.228455793792756","0.188062846941939","0.268848740643572"
"Befristet","1994","66 +","","","",""
"Unbefristet","1995","17-34","2443","0.784973461029055","0.770518040762022","0.799428881296087"
"Unbefristet","1995","35-65","3797","0.940520253622137","0.933241320183963","0.947799187060311"
"Unbefristet","1995","66 +","14","","",""
"Befristet","1995","17-34","660","0.215026538970945","0.200571118703913","0.229481959237978"
"Befristet","1995","35-65","259","0.0594797463778634","0.0522008129396895","0.0667586798160374"
"Befristet","1995","66 +","3","","",""
"Unbefristet","1996","17-34","2325","0.798149360961617","0.783643025103914","0.812655696819321"
"Unbefristet","1996","35-65","3765","0.93578505825481","0.928198795865913","0.943371320643708"
"Unbefristet","1996","66 +","13","","",""
"Befristet","1996","17-34","616","0.201850639038382","0.187344303180679","0.216356974896086"
"Befristet","1996","35-65","246","0.0642149417451898","0.0566286793562922","0.0718012041340874"
"Befristet","1996","66 +","","","",""
"Unbefristet","1997","17-34","2134","0.754622838353815","0.738791270117765","0.770454406589866"
"Unbefristet","1997","35-65","3634","0.934256433381893","0.92646129059344","0.942051576170345"
"Unbefristet","1997","66 +","14","","",""
"Befristet","1997","17-34","704","0.245377161646185","0.229545593410134","0.261208729882235"
"Befristet","1997","35-65","249","0.0657435666181073","0.0579484238296546","0.07353870940656"
"Befristet","1997","66 +","3","","",""
"Unbefristet","1998","17-34","2205","0.736200487402906","0.72038859951638","0.752012375289432"
"Unbefristet","1998","35-65","4146","0.943410401319779","0.936577799276904","0.950243003362654"
"Unbefristet","1998","66 +","18","","",""
"Befristet","1998","17-34","779","0.263799512597094","0.247987624710567","0.27961140048362"
"Befristet","1998","35-65","247","0.0565895986802211","0.0497569966373457","0.0634222007230965"
"Befristet","1998","66 +","2","","",""
"Unbefristet","1999","17-34","2153","0.729976762055066","0.713944795149549","0.746008728960583"
"Unbefristet","1999","35-65","4043","0.934399517267437","0.927037056339345","0.941761978195528"
"Unbefristet","1999","66 +","21","","",""
"Befristet","1999","17-34","793","0.270023237944934","0.253991271039417","0.286055204850451"
