year,age_gr,sampreg,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,West,Permanent job,0.41249,1280,1780,0.38961,0.43536
1985,17-29 y.,West,Temporary job,0.17024,500,1780,0.15278,0.18771
1985,30-45 y.,West,Permanent job,0.62020,2149,2281,0.60028,0.64013
1985,30-45 y.,West,Temporary job,0.03876,132,2281,0.03084,0.04668
1985,46-65 y.,West,Permanent job,0.44010,1596,1647,0.41612,0.46408
1985,46-65 y.,West,Temporary job,0.01385,51,1647,0.00820,0.01949
1986,17-29 y.,West,Permanent job,0.10152,337,530,0.07579,0.12726
1986,17-29 y.,West,Temporary job,0.06166,193,530,0.04116,0.08215
1986,30-45 y.,West,Permanent job,0.07816,236,236,0.04384,0.11248
1986,46-65 y.,West,Permanent job,0.01375,50,50,-0.01886,0.04636
1987,17-29 y.,West,Permanent job,0.14951,446,716,0.12337,0.17564
1987,17-29 y.,West,Temporary job,0.08351,270,716,0.06323,0.10379
1987,30-45 y.,West,Permanent job,0.09033,260,318,0.05877,0.12188
1987,30-45 y.,West,Temporary job,0.01764,58,318,0.00315,0.03213
1987,46-65 y.,West,Permanent job,0.02434,94,94,-0.00698,0.05566
1988,17-29 y.,West,Permanent job,0.45040,1226,1713,0.42684,0.47397
1988,17-29 y.,West,Temporary job,0.16211,487,1713,0.14465,0.17957
1988,30-45 y.,West,Permanent job,0.63720,1858,1966,0.61595,0.65846
1988,30-45 y.,West,Temporary job,0.03790,108,1966,0.02946,0.04634
1988,46-65 y.,West,Permanent job,0.47044,1546,1600,0.44598,0.49491
1988,46-65 y.,West,Temporary job,0.01945,54,1600,0.01268,0.02622
1989,17-29 y.,West,Permanent job,0.14711,361,546,0.11738,0.17685
1989,17-29 y.,West,Temporary job,0.06342,185,546,0.04295,0.08388
1989,30-45 y.,West,Permanent job,0.08864,220,271,0.05474,0.12254
1989,30-45 y.,West,Temporary job,0.01767,51,271,0.00195,0.03338
