year,migback,sampreg,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,No migration background,West,Permanent job,0.87437,3398,3885,0.86395,0.88480
1985,No migration background,West,Temporary job,0.12563,487,3885,0.11520,0.13605
1985,Direct migration background,West,Permanent job,0.88935,1600,1778,0.87476,0.90393
1985,Direct migration background,West,Temporary job,0.11065,178,1778,0.09607,0.12524
1985,Indirect migration background,West,Permanent job,0.79482,41,41,0.66967,0.91997
1986,No migration background,West,Permanent job,0.73322,478,643,0.69900,0.76743
1986,No migration background,West,Temporary job,0.26678,165,643,0.23257,0.30100
1986,Direct migration background,West,Permanent job,0.82368,134,177,0.76738,0.87998
1986,Direct migration background,West,Temporary job,0.17632,43,177,0.12002,0.23262
1987,No migration background,West,Permanent job,0.72631,597,838,0.69610,0.75651
1987,No migration background,West,Temporary job,0.27369,241,838,0.24349,0.30390
1987,Direct migration background,West,Permanent job,0.67141,186,272,0.61548,0.72733
1987,Direct migration background,West,Temporary job,0.32859,86,272,0.27267,0.38452
1988,No migration background,West,Permanent job,0.88322,3144,3596,0.87272,0.89372
1988,No migration background,West,Temporary job,0.11678,452,3596,0.10628,0.12728
1988,Direct migration background,West,Permanent job,0.90574,1429,1588,0.89137,0.92012
1988,Direct migration background,West,Temporary job,0.09426,159,1588,0.07988,0.10863
1988,Indirect migration background,West,Permanent job,0.72299,67,108,0.63819,0.80779
1988,Indirect migration background,West,Temporary job,0.27701,41,108,0.19221,0.36181
1989,No migration background,West,Permanent job,0.76213,467,632,0.72890,0.79535
1989,No migration background,West,Temporary job,0.23787,165,632,0.20465,0.27110
1989,Direct migration background,West,Permanent job,0.71094,153,225,0.65157,0.77031
1989,Direct migration background,West,Temporary job,0.28906,72,225,0.22969,0.34843
1990,No migration background,West,Permanent job,0.78136,505,651,0.74959,0.81314
1990,No migration background,West,Temporary job,0.21864,146,651,0.18686,0.25041
1990,No migration background,East,Permanent job,0.93180,2955,3175,0.92303,0.94057
1990,No migration background,East,Temporary job,0.06820,220,3175,0.05943,0.07697
1990,Direct migration background,West,Permanent job,0.73459,171,231,0.67752,0.79165
1990,Direct migration background,West,Temporary job,0.26541,60,231,0.20835,0.32248
1990,Direct migration background,East,Permanent job,0.94956,91,91,0.90434,0.99477
1991,No migration background,West,Permanent job,0.77448,485,636,0.74197,0.80699
1991,No migration background,West,Temporary job,0.22552,151,636,0.19301,0.25803
1991,No migration background,East,Permanent job,0.76905,534,690,0.73758,0.80052
1991,No migration background,East,Temporary job,0.23095,156,690,0.19948,0.26242
1991,Direct migration background,West,Permanent job,0.80474,200,250,0.75551,0.85398
1991,Direct migration background,West,Temporary job,0.19526,50,250,0.14602,0.24449
1991,Indirect migration background,West,Permanent job,0.62843,39,39,0.47479,0.78208
1992,No migration background,West,Permanent job,0.79793,492,609,0.76601,0.82984
1992,No migration background,West,Temporary job,0.20207,117,609,0.17016,0.23399
1992,No migration background,East,Permanent job,0.70469,507,712,0.67116,0.73822
1992,No migration background,East,Temporary job,0.29531,205,712,0.26178,0.32884
1992,Direct migration background,West,Permanent job,0.78298,155,195,0.72497,0.84099
1992,Direct migration background,West,Temporary job,0.21702,40,195,0.15901,0.27503
1992,Indirect migration background,West,Permanent job,0.58364,40,40,0.42892,0.73835
1993,No migration background,West,Permanent job,0.78031,473,596,0.74705,0.81358
1993,No migration background,West,Temporary job,0.21969,123,596,0.18642,0.25295
1993,No migration background,East,Permanent job,0.77118,411,541,0.73575,0.80661
1993,No migration background,East,Temporary job,0.22882,130,541,0.19339,0.26425
1993,Direct migration background,West,Permanent job,0.74681,108,144,0.67554,0.81808
1993,Direct migration background,West,Temporary job,0.25319,36,144,0.18192,0.32446
1993,Indirect migration background,West,Permanent job,0.65211,49,49,0.51736,0.78685
1994,No migration background,West,Permanent job,0.70233,401,558,0.66436,0.74030
1994,No migration background,West,Temporary job,0.29767,157,558,0.25970,0.33564
1994,No migration background,East,Permanent job,0.66506,282,441,0.62096,0.70916
1994,No migration background,East,Temporary job,0.33494,159,441,0.29084,0.37904
1994,Direct migration background,West,Permanent job,0.71375,83,127,0.63482,0.79267
1994,Direct migration background,West,Temporary job,0.28625,44,127,0.20733,0.36518
1994,Indirect migration background,West,Permanent job,0.50257,61,106,0.40694,0.59821
1994,Indirect migration background,West,Temporary job,0.49743,45,106,0.40179,0.59306
1995,No migration background,West,Permanent job,0.89770,3123,3478,0.88763,0.90778
1995,No migration background,West,Temporary job,0.10230,355,3478,0.09222,0.11237
1995,No migration background,East,Permanent job,0.82998,1644,1972,0.81340,0.84657
1995,No migration background,East,Temporary job,0.17002,328,1972,0.15343,0.18660
1995,Direct migration background,West,Permanent job,0.89708,1259,1387,0.88108,0.91308
