,Unnamed: 0,year,quintil_oecd,regtyp,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,1st Quintile,Urban regions,Permanent job,0.74217,508,5686,0.68567,0.79248
1,1,1985,1st Quintile,Urban regions,Temporary job,0.25783,117,5686,0.2321,0.28862
2,2,1985,1st Quintile,Rural regions,Permanent job,0.79732,146,5686,0.71655,0.87463
3,3,1985,1st Quintile,Rural regions,Temporary job,0.20268,37,5686,0.16465,0.24066
4,4,1985,2nd Quintile,Urban regions,Permanent job,0.85418,680,5686,0.80581,0.89723
5,5,1985,2nd Quintile,Urban regions,Temporary job,0.14582,99,5686,0.12949,0.16294
6,6,1985,2nd Quintile,Rural regions,Permanent job,0.8062,175,5686,0.74681,0.84802
7,7,1985,2nd Quintile,Rural regions,Temporary job,0.1938,40,5686,0.17227,0.21391
8,8,1985,3rd Quintile,Urban regions,Permanent job,0.84893,824,5686,0.81483,0.88839
9,9,1985,3rd Quintile,Urban regions,Temporary job,0.15107,141,5686,0.13645,0.16683
10,10,1985,3rd Quintile,Rural regions,Permanent job,0.86138,219,5686,0.82601,0.90935
11,11,1985,3rd Quintile,Rural regions,Temporary job,0.13862,31,5686,0.12288,0.15623
12,12,1985,4th Quintile,Urban regions,Permanent job,0.89744,1018,5686,0.86925,0.92614
13,13,1985,4th Quintile,Urban regions,Temporary job,0.10256,117,5686,0.09291,0.11033
14,14,1985,4th Quintile,Rural regions,Permanent job,1.0,217,5686,0.9419,1.07561
15,15,1985,5th Quintile,Urban regions,Permanent job,0.94408,1023,5686,0.92115,0.9666
16,16,1985,5th Quintile,Urban regions,Temporary job,0.05592,65,5686,0.04974,0.06243
17,17,1985,5th Quintile,Rural regions,Permanent job,1.0,229,5686,0.94864,1.03964
18,18,1986,1st Quintile,Urban regions,Permanent job,1.0,70,586,0.80094,1.18399
19,19,1986,2nd Quintile,Urban regions,Permanent job,0.61849,58,586,0.51541,0.71242
20,20,1986,2nd Quintile,Urban regions,Temporary job,0.38151,40,586,0.29525,0.46034
21,21,1986,3rd Quintile,Urban regions,Permanent job,0.77117,109,586,0.67357,0.84315
22,22,1986,3rd Quintile,Urban regions,Temporary job,0.22883,36,586,0.17807,0.27635
23,23,1986,4th Quintile,Urban regions,Permanent job,1.0,145,586,0.9164,1.09361
24,24,1986,5th Quintile,Urban regions,Permanent job,1.0,128,586,0.90888,1.11015
25,25,1987,1st Quintile,Urban regions,Permanent job,0.67984,99,1026,0.57865,0.78406
26,26,1987,1st Quintile,Urban regions,Temporary job,0.32016,45,1026,0.25467,0.4049
27,27,1987,1st Quintile,Rural regions,Permanent job,1.0,35,1026,0.82685,1.19069
28,28,1987,2nd Quintile,Urban regions,Permanent job,0.63121,107,1026,0.54244,0.74114
