,Unnamed: 0,year,regtyp,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,Urban regions,Permanent job,0.87817,4053,5722,0.86349,0.89413
1,1,1985,Urban regions,Temporary job,0.12183,539,5722,0.1154,0.12851
2,2,1985,Rural regions,Permanent job,0.86676,986,5722,0.84202,0.89192
3,3,1985,Rural regions,Temporary job,0.13324,144,5722,0.12359,0.14291
4,4,1986,Urban regions,Permanent job,0.76062,510,838,0.72488,0.79797
5,5,1986,Urban regions,Temporary job,0.23938,163,838,0.21162,0.26505
6,6,1986,Rural regions,Permanent job,0.66318,113,838,0.59356,0.73262
7,7,1986,Rural regions,Temporary job,0.33682,52,838,0.28446,0.38819
8,8,1987,Urban regions,Permanent job,0.72151,608,1137,0.68332,0.75918
9,9,1987,Urban regions,Temporary job,0.27849,257,1137,0.25208,0.30219
10,10,1987,Rural regions,Permanent job,0.71914,192,1137,0.66348,0.77327
11,11,1987,Rural regions,Temporary job,0.28086,80,1137,0.24666,0.31391
12,12,1988,Urban regions,Permanent job,0.89693,3753,5292,0.87862,0.91573
13,13,1988,Urban regions,Temporary job,0.10307,495,5292,0.09652,0.10987
14,14,1988,Rural regions,Permanent job,0.83995,887,5292,0.8105,0.864
15,15,1988,Rural regions,Temporary job,0.16005,157,5292,0.14875,0.1706
16,16,1989,Urban regions,Permanent job,0.74485,502,893,0.70339,0.78931
17,17,1989,Urban regions,Temporary job,0.25515,211,893,0.23261,0.28
18,18,1989,Rural regions,Permanent job,0.79119,141,893,0.71077,0.87163
19,19,1989,Rural regions,Temporary job,0.20881,39,893,0.18099,0.24336
20,20,1990,Urban regions,Permanent job,0.8389,1579,4138,0.80975,0.86806
21,21,1990,Urban regions,Temporary job,0.1611,255,4138,0.1457,0.17536
22,22,1990,Rural regions,Permanent job,0.91013,2110,4138,0.88867,0.93279
23,23,1990,Rural regions,Temporary job,0.08987,194,4138,0.08174,0.09764
24,24,1991,Urban regions,Permanent job,0.7845,791,1636,0.74094,0.83347
