year,migback,regtyp,plb0037_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,No migration background,Urban regions,Permanent job,0.90439,2928,3249,0.89427,0.91450
1995,No migration background,Urban regions,Temporary job,0.09561,321,3249,0.08550,0.10573
1995,No migration background,Rural regions,Permanent job,0.84011,1839,2201,0.82479,0.85542
1995,No migration background,Rural regions,Temporary job,0.15989,362,2201,0.14458,0.17521
1995,Direct migration background,Urban regions,Permanent job,0.89949,1101,1210,0.88254,0.91644
1995,Direct migration background,Urban regions,Temporary job,0.10051,109,1210,0.08356,0.11746
1995,Direct migration background,Rural regions,Permanent job,0.83796,197,229,0.79013,0.88579
1995,Direct migration background,Rural regions,Temporary job,0.16204,32,229,0.11421,0.20987
1995,Indirect migration background,Urban regions,Permanent job,0.64428,160,241,0.58372,0.70485
1995,Indirect migration background,Urban regions,Temporary job,0.35572,81,241,0.29515,0.41628
1996,No migration background,Urban regions,Permanent job,0.89854,2879,3209,0.88809,0.90899
1996,No migration background,Urban regions,Temporary job,0.10146,330,3209,0.09101,0.11191
1996,No migration background,Rural regions,Permanent job,0.86760,1823,2136,0.85322,0.88197
1996,No migration background,Rural regions,Temporary job,0.13240,313,2136,0.11803,0.14678
1996,Direct migration background,Urban regions,Permanent job,0.89313,1010,1108,0.87493,0.91133
1996,Direct migration background,Urban regions,Temporary job,0.10687,98,1108,0.08867,0.12507
1996,Direct migration background,Rural regions,Permanent job,0.86914,197,197,0.82192,0.91635
1996,Indirect migration background,Urban regions,Permanent job,0.65091,166,243,0.59085,0.71097
1996,Indirect migration background,Urban regions,Temporary job,0.34909,77,243,0.28903,0.40915
1997,No migration background,Urban regions,Permanent job,0.88399,2713,3091,0.87270,0.89529
1997,No migration background,Urban regions,Temporary job,0.11601,378,3091,0.10471,0.12730
1997,No migration background,Rural regions,Permanent job,0.85184,1744,2074,0.83655,0.86713
1997,No migration background,Rural regions,Temporary job,0.14816,330,2074,0.13287,0.16345
1997,Direct migration background,Urban regions,Permanent job,0.88004,935,1033,0.86021,0.89986
1997,Direct migration background,Urban regions,Temporary job,0.11996,98,1033,0.10014,0.13979
1997,Direct migration background,Rural regions,Permanent job,0.86833,182,182,0.81907,0.91759
1997,Indirect migration background,Urban regions,Permanent job,0.52750,172,280,0.46892,0.58609
1997,Indirect migration background,Urban regions,Temporary job,0.47250,108,280,0.41391,0.53108
1997,Indirect migration background,Rural regions,Permanent job,0.72561,36,36,0.57778,0.87344
1998,No migration background,Urban regions,Permanent job,0.88656,3126,3540,0.87611,0.89701
1998,No migration background,Urban regions,Temporary job,0.11344,414,3540,0.10299,0.12389
1998,No migration background,Rural regions,Permanent job,0.85721,1969,2325,0.84298,0.87143
