year,regtyp,sampreg,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,West,Yes,0.01166,97,5670,0.00887,0.01446
2009,Urban regions,West,No,0.95320,5573,5670,0.94770,0.95870
2009,Urban regions,East,No,0.94928,861,861,0.93462,0.96395
2009,Rural regions,West,Yes,0.03483,65,1766,0.02628,0.04339
2009,Rural regions,West,No,0.91808,1701,1766,0.90528,0.93087
2009,Rural regions,East,Yes,0.01771,44,1620,0.01128,0.02413
2009,Rural regions,East,No,0.94482,1576,1620,0.93370,0.95594
2010,Urban regions,West,Yes,0.01481,192,7898,0.01214,0.01747
2010,Urban regions,West,No,0.96786,7706,7898,0.96397,0.97175
2010,Urban regions,East,No,0.97900,1093,1093,0.97050,0.98751
2010,Rural regions,West,Yes,0.03249,119,2662,0.02575,0.03923
2010,Rural regions,West,No,0.95879,2543,2662,0.95124,0.96635
2010,Rural regions,East,Yes,0.02287,62,2026,0.01636,0.02938
2010,Rural regions,East,No,0.95778,1964,2026,0.94902,0.96653
2011,Urban regions,West,Yes,0.02085,281,9390,0.01796,0.02375
2011,Urban regions,West,No,0.97464,9109,9390,0.97146,0.97782
2011,Urban regions,East,No,0.97914,1309,1309,0.97139,0.98688
2011,Rural regions,West,Yes,0.03919,174,3427,0.03269,0.04569
2011,Rural regions,West,No,0.95257,3253,3427,0.94545,0.95969
2011,Rural regions,East,Yes,0.02305,62,2400,0.01704,0.02905
2011,Rural regions,East,No,0.96907,2338,2400,0.96214,0.97600
2012,Urban regions,West,Yes,0.02463,297,9130,0.02145,0.02781
2012,Urban regions,West,No,0.97164,8833,9130,0.96824,0.97505
2012,Urban regions,East,No,0.98176,1272,1272,0.97441,0.98912
2012,Rural regions,West,Yes,0.03679,150,3439,0.03050,0.04308
2012,Rural regions,West,No,0.95965,3289,3439,0.95308,0.96623
2012,Rural regions,East,Yes,0.02705,67,2408,0.02057,0.03353
2012,Rural regions,East,No,0.97027,2341,2408,0.96349,0.97706
2013,Urban regions,West,Yes,0.02417,312,10529,0.02124,0.02711
2013,Urban regions,West,No,0.97485,10217,10529,0.97185,0.97784
2013,Urban regions,East,No,0.98335,1293,1293,0.97638,0.99033
2013,Rural regions,West,Yes,0.03872,172,3676,0.03248,0.04495
2013,Rural regions,West,No,0.96039,3504,3676,0.95408,0.96669
2013,Rural regions,East,Yes,0.02568,63,2340,0.01927,0.03209
2013,Rural regions,East,No,0.97403,2277,2340,0.96758,0.98047
2014,Urban regions,West,Yes,0.03050,328,9175,0.02698,0.03402
2014,Urban regions,West,No,0.96744,8847,9175,0.96381,0.97108
2014,Urban regions,East,No,0.98528,1192,1192,0.97844,0.99212
2014,Rural regions,West,Yes,0.04928,183,3262,0.04185,0.05671
2014,Rural regions,West,No,0.95057,3079,3262,0.94313,0.95801
2014,Rural regions,East,Yes,0.03072,67,2161,0.02345,0.03800
2014,Rural regions,East,No,0.96733,2094,2161,0.95983,0.97483
2015,Urban regions,West,Yes,0.02636,294,9162,0.02308,0.02964
2015,Urban regions,West,No,0.97129,8868,9162,0.96787,0.97471
2015,Urban regions,East,No,0.97773,1176,1176,0.96929,0.98616
2015,Rural regions,West,Yes,0.04440,175,3300,0.03738,0.05143
2015,Rural regions,West,No,0.95332,3125,3300,0.94612,0.96051
2015,Rural regions,East,Yes,0.03074,72,2072,0.02330,0.03817
2015,Rural regions,East,No,0.96748,2000,2072,0.95985,0.97512
2016,Urban regions,West,Yes,0.02906,281,8246,0.02544,0.03269
2016,Urban regions,West,No,0.96385,7965,8246,0.95982,0.96788
2016,Urban regions,East,No,0.97084,1099,1099,0.96089,0.98080
2016,Rural regions,West,Yes,0.04694,163,2971,0.03933,0.05455
2016,Rural regions,West,No,0.94603,2808,2971,0.93790,0.95415
2016,Rural regions,East,Yes,0.03382,65,1948,0.02579,0.04185
2016,Rural regions,East,No,0.95647,1883,1948,0.94741,0.96554
2017,Urban regions,West,Yes,0.03393,354,8994,0.03019,0.03768
2017,Urban regions,West,No,0.95814,8640,8994,0.95400,0.96228
2017,Urban regions,East,No,0.96336,1203,1203,0.95274,0.97398
2017,Rural regions,West,Yes,0.05494,203,3242,0.04710,0.06279
2017,Rural regions,West,No,0.93481,3039,3242,0.92631,0.94330
2017,Rural regions,East,Yes,0.02927,76,2180,0.02219,0.03635
2017,Rural regions,East,No,0.96218,2104,2180,0.95417,0.97019
2018,Urban regions,West,Yes,0.03434,344,8906,0.03055,0.03812
2018,Urban regions,West,No,0.95513,8562,8906,0.95083,0.95943
2018,Urban regions,East,No,0.96285,1217,1217,0.95222,0.97348
2018,Rural regions,West,Yes,0.05921,191,3090,0.05089,0.06754
2018,Rural regions,West,No,0.93149,2899,3090,0.92258,0.94040
2018,Rural regions,East,Yes,0.03749,79,2175,0.02951,0.04548
2018,Rural regions,East,No,0.95346,2096,2175,0.94460,0.96231
2019,Urban regions,West,Yes,0.02904,292,7212,0.02517,0.03292
2019,Urban regions,West,No,0.87504,6920,7212,0.86740,0.88267
2019,Urban regions,East,No,0.87563,994,994,0.85510,0.89615
2019,Rural regions,West,Yes,0.05459,171,2549,0.04577,0.06342
2019,Rural regions,West,No,0.85426,2378,2549,0.84056,0.86796
2019,Rural regions,East,Yes,0.03412,72,1824,0.02579,0.04246
2019,Rural regions,East,No,0.88118,1752,1824,0.86632,0.89603
2020,Urban regions,West,Yes,0.02868,351,9651,0.02535,0.03201
2020,Urban regions,West,No,0.95576,9300,9651,0.95166,0.95986
2020,Urban regions,East,Yes,0.01991,33,1284,0.01227,0.02756
2020,Urban regions,East,No,0.95200,1251,1284,0.94031,0.96370
2020,Rural regions,West,Yes,0.05208,186,3132,0.04430,0.05986
2020,Rural regions,West,No,0.93549,2946,3132,0.92689,0.94410
2020,Rural regions,East,Yes,0.04385,111,2132,0.03515,0.05254
2020,Rural regions,East,No,0.94950,2021,2132,0.94020,0.95880
2021,Urban regions,West,Yes,0.02636,230,5784,0.02223,0.03049
2021,Urban regions,West,No,0.85231,5554,5784,0.84316,0.86145
2021,Urban regions,East,No,0.82494,790,790,0.79842,0.85146
2021,Rural regions,West,Yes,0.05145,126,1968,0.04169,0.06122
2021,Rural regions,West,No,0.85532,1842,1968,0.83977,0.87087
