year,hhtyp,rentown,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Single-person household,Owner,No,0.95887,838,838,0.94541,0.97232
2009,Single-person household,Tenant,No,0.96292,1923,1923,0.95447,0.97136
2009,Couple without children,Owner,Yes,0.03410,67,1951,0.02605,0.04216
2009,Couple without children,Owner,No,0.91554,1884,1951,0.90320,0.92788
2009,Couple without children,Tenant,No,0.96103,1504,1504,0.95124,0.97081
2009,Single parent,Owner,No,0.93480,186,186,0.89923,0.97038
2009,Single parent,Tenant,No,0.96107,426,426,0.94268,0.97946
2009,Couple with children,Owner,Yes,0.04267,99,1858,0.03347,0.05186
2009,Couple with children,Owner,No,0.90197,1759,1858,0.88844,0.91549
2009,Couple with children,Tenant,No,0.96069,1062,1062,0.94899,0.97238
2009,Multi-generational household,Owner,No,0.99187,43,43,0.96472,1.01903
2009,Other Combinations,Owner,No,0.89970,36,36,0.80018,0.99922
2010,Single-person household,Owner,No,0.97724,840,840,0.96715,0.98734
2010,Single-person household,Tenant,No,0.97748,1803,1803,0.97063,0.98433
2010,Couple without children,Owner,Yes,0.03120,64,1898,0.02338,0.03903
2010,Couple without children,Owner,No,0.94896,1834,1898,0.93906,0.95887
2010,Couple without children,Tenant,No,0.97267,1428,1428,0.96421,0.98113
2010,Single parent,Owner,No,0.98668,395,395,0.97537,0.99800
2010,Single parent,Tenant,No,0.98616,1424,1424,0.98009,0.99223
2010,Couple with children,Owner,Yes,0.05987,231,3029,0.05142,0.06833
2010,Couple with children,Owner,No,0.92735,2798,3029,0.91811,0.93660
2010,Couple with children,Tenant,Yes,0.00728,36,2656,0.00405,0.01051
2010,Couple with children,Tenant,No,0.97802,2620,2656,0.97245,0.98360
2010,Multi-generational household,Owner,No,0.99952,63,63,0.99408,1.00496
2010,Other Combinations,Owner,No,0.93195,34,34,0.84603,1.01787
2011,Single-person household,Owner,No,0.97807,1059,1059,0.96925,0.98690
2011,Single-person household,Tenant,No,0.98651,2429,2429,0.98192,0.99109
2011,Couple without children,Owner,Yes,0.04054,103,2498,0.03280,0.04827
2011,Couple without children,Owner,No,0.94935,2395,2498,0.94075,0.95795
2011,Couple without children,Tenant,No,0.98333,1834,1834,0.97747,0.98919
2011,Single parent,Owner,No,0.97386,490,490,0.95972,0.98800
2011,Single parent,Tenant,No,0.99346,1780,1780,0.98971,0.99720
2011,Couple with children,Owner,Yes,0.07425,305,3487,0.06555,0.08296
2011,Couple with children,Owner,No,0.92285,3182,3487,0.91399,0.93171
2011,Couple with children,Tenant,Yes,0.00983,43,2670,0.00609,0.01358
2011,Couple with children,Tenant,No,0.98612,2627,2670,0.98168,0.99056
2011,Multi-generational household,Owner,No,0.99950,75,75,0.99442,1.00459
2011,Multi-generational household,Tenant,No,0.99505,43,43,0.97384,1.01627
2011,Other Combinations,Owner,No,0.97111,43,43,0.92045,1.02177
2011,Other Combinations,Tenant,No,0.95603,52,52,0.89976,1.01230
2012,Single-person household,Owner,No,0.96975,1067,1067,0.95947,0.98003
2012,Single-person household,Tenant,No,0.99060,2566,2566,0.98686,0.99433
2012,Couple without children,Owner,Yes,0.04560,112,2544,0.03749,0.05371
2012,Couple without children,Owner,No,0.94943,2432,2544,0.94092,0.95795
2012,Couple without children,Tenant,No,0.97939,1872,1872,0.97296,0.98583
2012,Single parent,Owner,No,0.98431,478,478,0.97315,0.99546
2012,Single parent,Tenant,No,0.99422,1668,1668,0.99058,0.99786
2012,Couple with children,Owner,Yes,0.07745,297,3331,0.06837,0.08652
2012,Couple with children,Owner,No,0.91948,3034,3331,0.91024,0.92873
2012,Couple with children,Tenant,Yes,0.00694,33,2440,0.00365,0.01023
2012,Couple with children,Tenant,No,0.99306,2407,2440,0.98977,0.99635
