year,rentown,sampreg,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Owner,West,Yes,0.03142,137,3869,0.02592,0.03692
2009,Owner,West,No,0.96858,3732,3869,0.96308,0.97408
2009,Owner,East,Yes,0.03336,44,1058,0.02254,0.04419
2009,Owner,East,No,0.96664,1014,1058,0.95581,0.97746
2009,Tenant,West,No,0.99376,3542,3542,0.99117,0.99636
2009,Tenant,East,No,0.99751,1423,1423,0.99492,1.00010
2010,Owner,West,Yes,0.03402,252,5052,0.02902,0.03902
2010,Owner,West,No,0.96598,4800,5052,0.96098,0.97098
2010,Owner,East,Yes,0.04056,68,1232,0.02954,0.05158
2010,Owner,East,No,0.95944,1164,1232,0.94842,0.97046
2010,Tenant,West,Yes,0.00583,59,5508,0.00382,0.00784
2010,Tenant,West,No,0.99417,5449,5508,0.99216,0.99618
2010,Tenant,East,No,0.99481,1893,1893,0.99157,0.99805
2011,Owner,West,Yes,0.04531,381,6285,0.04017,0.05046
2011,Owner,West,No,0.95469,5904,6285,0.94954,0.95983
2011,Owner,East,Yes,0.03842,68,1408,0.02838,0.04846
2011,Owner,East,No,0.96158,1340,1408,0.95154,0.97162
2011,Tenant,West,Yes,0.00716,74,6532,0.00511,0.00920
2011,Tenant,West,No,0.99284,6458,6532,0.99080,0.99489
2011,Tenant,East,No,0.99009,2307,2307,0.98604,0.99413
2012,Owner,West,Yes,0.04813,375,6205,0.04280,0.05346
2012,Owner,West,No,0.95187,5830,6205,0.94654,0.95720
2012,Owner,East,Yes,0.05382,79,1376,0.04189,0.06575
2012,Owner,East,No,0.94618,1297,1376,0.93425,0.95811
2012,Tenant,West,Yes,0.00891,72,6364,0.00660,0.01122
2012,Tenant,West,No,0.99109,6292,6364,0.98878,0.99340
2012,Tenant,East,No,0.99471,2316,2316,0.99176,0.99767
2013,Owner,West,Yes,0.04694,409,6369,0.04174,0.05213
2013,Owner,West,No,0.95306,5960,6369,0.94787,0.95826
2013,Owner,East,Yes,0.05420,76,1337,0.04206,0.06634
2013,Owner,East,No,0.94580,1261,1337,0.93366,0.95794
2013,Tenant,West,Yes,0.01047,75,7836,0.00822,0.01272
2013,Tenant,West,No,0.98953,7761,7836,0.98728,0.99178
2013,Tenant,East,No,0.99583,2309,2309,0.99320,0.99846
2014,Owner,West,Yes,0.05672,419,5817,0.05078,0.06266
2014,Owner,West,No,0.94328,5398,5817,0.93734,0.94922
2014,Owner,East,Yes,0.05524,76,1231,0.04248,0.06801
2014,Owner,East,No,0.94476,1155,1231,0.93199,0.95752
2014,Tenant,West,Yes,0.01547,92,6620,0.01250,0.01844
2014,Tenant,West,No,0.98453,6528,6620,0.98156,0.98750
2014,Tenant,East,No,0.99108,2131,2131,0.98708,0.99507
2015,Owner,West,Yes,0.04646,378,5540,0.04092,0.05200
2015,Owner,West,No,0.95354,5162,5540,0.94800,0.95908
2015,Owner,East,Yes,0.05833,77,1193,0.04502,0.07163
2015,Owner,East,No,0.94167,1116,1193,0.92837,0.95498
2015,Tenant,West,Yes,0.01653,91,6922,0.01353,0.01953
2015,Tenant,West,No,0.98347,6831,6922,0.98047,0.98647
2015,Tenant,East,No,0.99092,2060,2060,0.98683,0.99502
2016,Owner,West,Yes,0.05664,363,5144,0.05033,0.06296
2016,Owner,West,No,0.94336,4781,5144,0.93704,0.94967
2016,Owner,East,Yes,0.07500,76,1156,0.05981,0.09019
2016,Owner,East,No,0.92500,1080,1156,0.90981,0.94019
2016,Tenant,West,Yes,0.01216,81,6072,0.00941,0.01492
2016,Tenant,West,No,0.98784,5991,6072,0.98508,0.99059
