year,regtyp,rentown,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Owner,Yes,0.02227,87,3023,0.01700,0.02753
2009,Urban regions,Owner,No,0.93466,2936,3023,0.92585,0.94347
2009,Urban regions,Tenant,No,0.96547,3498,3498,0.95942,0.97152
2009,Rural regions,Owner,Yes,0.04400,94,1904,0.03478,0.05321
2009,Rural regions,Owner,No,0.90596,1810,1904,0.89284,0.91907
2009,Rural regions,Tenant,No,0.95266,1467,1467,0.94179,0.96353
2010,Urban regions,Owner,Yes,0.02749,162,3797,0.02229,0.03269
2010,Urban regions,Owner,No,0.95579,3635,3797,0.94925,0.96233
2010,Urban regions,Tenant,Yes,0.00450,49,5213,0.00268,0.00632
2010,Urban regions,Tenant,No,0.97859,5164,5213,0.97466,0.98252
2010,Rural regions,Owner,Yes,0.04684,158,2487,0.03853,0.05514
2010,Rural regions,Owner,No,0.94500,2329,2487,0.93604,0.95396
2010,Rural regions,Tenant,No,0.97359,2178,2178,0.96686,0.98033
2011,Urban regions,Owner,Yes,0.04020,248,4603,0.03453,0.04588
2011,Urban regions,Owner,No,0.95469,4355,4603,0.94868,0.96070
2011,Urban regions,Tenant,Yes,0.00549,55,6118,0.00364,0.00734
2011,Urban regions,Tenant,No,0.99005,6063,6118,0.98757,0.99254
2011,Rural regions,Owner,Yes,0.05089,201,3090,0.04314,0.05864
2011,Rural regions,Owner,No,0.94333,2889,3090,0.93518,0.95149
2011,Rural regions,Tenant,Yes,0.01358,35,2737,0.00924,0.01791
2011,Rural regions,Tenant,No,0.97572,2702,2737,0.96995,0.98149
2012,Urban regions,Owner,Yes,0.04593,262,4503,0.03981,0.05204
2012,Urban regions,Owner,No,0.94911,4241,4503,0.94269,0.95553
2012,Urban regions,Tenant,Yes,0.00688,60,5924,0.00477,0.00898
2012,Urban regions,Tenant,No,0.99004,5864,5924,0.98751,0.99257
2012,Rural regions,Owner,Yes,0.05366,192,3078,0.04570,0.06162
2012,Rural regions,Owner,No,0.94488,2886,3078,0.93681,0.95294
2012,Rural regions,Tenant,No,0.98369,2744,2744,0.97895,0.98843
2013,Urban regions,Owner,Yes,0.04414,276,4680,0.03825,0.05002
2013,Urban regions,Owner,No,0.95528,4404,4680,0.94936,0.96121
2013,Urban regions,Tenant,Yes,0.00813,58,7164,0.00605,0.01021
2013,Urban regions,Tenant,No,0.99064,7106,7164,0.98841,0.99287
2013,Rural regions,Owner,Yes,0.05457,209,3026,0.04647,0.06266
2013,Rural regions,Owner,No,0.94515,2817,3026,0.93703,0.95326
2013,Rural regions,Tenant,No,0.98727,2964,2964,0.98323,0.99131
2014,Urban regions,Owner,Yes,0.04992,279,4272,0.04339,0.05645
2014,Urban regions,Owner,No,0.94895,3993,4272,0.94235,0.95555
2014,Urban regions,Tenant,Yes,0.01323,73,6119,0.01037,0.01609
2014,Urban regions,Tenant,No,0.98429,6046,6119,0.98118,0.98741
2014,Rural regions,Owner,Yes,0.06816,216,2776,0.05879,0.07754
2014,Rural regions,Owner,No,0.93106,2560,2776,0.92163,0.94048
2014,Rural regions,Tenant,Yes,0.01595,34,2647,0.01118,0.02072
2014,Rural regions,Tenant,No,0.98322,2613,2647,0.97832,0.98811
2015,Urban regions,Owner,Yes,0.04267,252,4045,0.03644,0.04889
2015,Urban regions,Owner,No,0.95658,3793,4045,0.95030,0.96286
2015,Urban regions,Tenant,Yes,0.01264,70,6321,0.00988,0.01539
2015,Urban regions,Tenant,No,0.98356,6251,6321,0.98042,0.98669
2015,Rural regions,Owner,Yes,0.05786,203,2688,0.04903,0.06669
2015,Rural regions,Owner,No,0.94199,2485,2688,0.93315,0.95083
2015,Rural regions,Tenant,Yes,0.02034,44,2684,0.01500,0.02568
2015,Rural regions,Tenant,No,0.97553,2640,2684,0.96969,0.98138
2016,Urban regions,Owner,Yes,0.05314,242,3769,0.04598,0.06030
2016,Urban regions,Owner,No,0.94667,3527,3769,0.93949,0.95384
2016,Urban regions,Tenant,Yes,0.00993,61,5597,0.00733,0.01253
2016,Urban regions,Tenant,No,0.98753,5536,5597,0.98462,0.99044
2016,Rural regions,Owner,Yes,0.07011,197,2531,0.06016,0.08006
2016,Rural regions,Owner,No,0.92989,2334,2531,0.91994,0.93984
2016,Rural regions,Tenant,Yes,0.01177,31,2388,0.00744,0.01610
2016,Rural regions,Tenant,No,0.98170,2357,2388,0.97632,0.98708
2017,Urban regions,Owner,Yes,0.05429,290,4256,0.04748,0.06110
2017,Urban regions,Owner,No,0.94445,3966,4256,0.93756,0.95133
2017,Urban regions,Tenant,Yes,0.01619,91,5968,0.01299,0.01939
2017,Urban regions,Tenant,No,0.97241,5877,5968,0.96826,0.97657
2017,Rural regions,Owner,Yes,0.07425,236,2802,0.06454,0.08396
2017,Rural regions,Owner,No,0.92422,2566,2802,0.91442,0.93402
2017,Rural regions,Tenant,Yes,0.01498,43,2620,0.01033,0.01963
2017,Rural regions,Tenant,No,0.97018,2577,2620,0.96367,0.97670
2018,Urban regions,Owner,Yes,0.05770,287,4072,0.05053,0.06486
2018,Urban regions,Owner,No,0.94149,3785,4072,0.93428,0.94870
2018,Urban regions,Tenant,Yes,0.01411,87,6081,0.01115,0.01708
2018,Urban regions,Tenant,No,0.96715,5994,6081,0.96267,0.97163
2018,Rural regions,Owner,Yes,0.08115,228,2675,0.07080,0.09150
2018,Rural regions,Owner,No,0.91663,2447,2675,0.90615,0.92710
2018,Rural regions,Tenant,Yes,0.01928,42,2590,0.01398,0.02457
2018,Rural regions,Tenant,No,0.96396,2548,2590,0.95678,0.97114
2019,Urban regions,Owner,Yes,0.04780,242,3550,0.04079,0.05482
2019,Urban regions,Owner,No,0.89915,3308,3550,0.88925,0.90906
2019,Urban regions,Tenant,Yes,0.01334,75,4681,0.01006,0.01663
