,Unnamed: 0,year,hhtyp,quintil_oecd_hh,hgeqpnrj,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Single-person household,1st Quintile,No,1.0,756,9703,0.95645,1.04631
1,1,2009,Single-person household,2nd Quintile,No,1.0,549,9703,0.95124,1.06457
2,2,2009,Single-person household,3rd Quintile,No,1.0,519,9703,0.93971,1.0513
3,3,2009,Single-person household,4th Quintile,No,1.0,462,9703,0.94181,1.06294
4,4,2009,Single-person household,5th Quintile,No,1.0,472,9703,0.94225,1.05444
5,5,2009,Couple without children,1st Quintile,No,1.0,370,9703,0.91061,1.08884
6,6,2009,Couple without children,2nd Quintile,No,1.0,596,9703,0.94507,1.06128
7,7,2009,Couple without children,3rd Quintile,No,1.0,600,9703,0.93734,1.07131
8,8,2009,Couple without children,4th Quintile,No,1.0,703,9703,0.93421,1.05993
9,9,2009,Couple without children,5th Quintile,Yes,0.04441,48,9703,0.03073,0.06201
10,10,2009,Couple without children,5th Quintile,No,0.95559,1119,9703,0.87804,1.00564
11,11,2009,Single parent,1st Quintile,No,1.0,247,9703,0.89524,1.09908
12,12,2009,Single parent,2nd Quintile,No,1.0,135,9703,0.87396,1.11813
13,13,2009,Single parent,3rd Quintile,No,1.0,106,9703,0.85353,1.15794
14,14,2009,Single parent,4th Quintile,No,1.0,72,9703,0.78621,1.15063
15,15,2009,Single parent,5th Quintile,No,1.0,52,9703,0.80295,1.20203
16,16,2009,Couple with children,1st Quintile,No,1.0,339,9703,0.91818,1.09564
17,17,2009,Couple with children,2nd Quintile,No,1.0,540,9703,0.92983,1.06771
18,18,2009,Couple with children,3rd Quintile,No,1.0,635,9703,0.92807,1.08136
19,19,2009,Couple with children,4th Quintile,Yes,0.04228,31,9703,0.02959,0.05746
20,20,2009,Couple with children,4th Quintile,No,0.95772,661,9703,0.88808,1.02794
21,21,2009,Couple with children,5th Quintile,Yes,0.05092,46,9703,0.03637,0.0668
22,22,2009,Couple with children,5th Quintile,No,0.94908,645,9703,0.87635,1.03186
23,23,2010,Single-person household,1st Quintile,No,1.0,707,13470,0.95615,1.05066
24,24,2010,Single-person household,2nd Quintile,No,1.0,548,13470,0.95035,1.0466
25,25,2010,Single-person household,3rd Quintile,No,1.0,487,13470,0.94261,1.05885
26,26,2010,Single-person household,4th Quintile,No,1.0,455,13470,0.94594,1.06158
27,27,2010,Single-person household,5th Quintile,No,1.0,444,13470,0.92956,1.06889
28,28,2010,Couple without children,1st Quintile,No,1.0,333,13470,0.91597,1.07447
29,29,2010,Couple without children,2nd Quintile,No,1.0,558,13470,0.94289,1.06945
30,30,2010,Couple without children,3rd Quintile,No,1.0,608,13470,0.92633,1.06043
31,31,2010,Couple without children,4th Quintile,No,1.0,674,13470,0.93815,1.07743
32,32,2010,Couple without children,5th Quintile,Yes,0.04059,46,13470,0.02909,0.05635
