year,hhtyp,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Single-person household,No,0.96169,2761,2761,0.95453,0.96885
2009,Couple without children,Yes,0.02260,80,3468,0.01765,0.02755
2009,Couple without children,No,0.93621,3388,3468,0.92808,0.94434
2009,Single parent,No,0.95444,612,612,0.93790,0.97097
2009,Couple with children,Yes,0.02967,109,2930,0.02352,0.03581
2009,Couple with children,No,0.92508,2821,2930,0.91554,0.93461
2009,Multi-generational household,No,0.99464,64,64,0.97662,1.01267
2009,Other Combinations,No,0.92318,65,65,0.85793,0.98842
2010,Single-person household,No,0.97741,2643,2643,0.97174,0.98307
2010,Couple without children,Yes,0.02007,75,3337,0.01531,0.02483
2010,Couple without children,No,0.95941,3262,3337,0.95272,0.96611
2010,Single parent,No,0.98629,1819,1819,0.98094,0.99163
2010,Couple with children,Yes,0.03949,267,5685,0.03442,0.04455
2010,Couple with children,No,0.94700,5418,5685,0.94117,0.95282
2010,Multi-generational household,No,0.99963,100,100,0.99585,1.00341
2010,Other Combinations,No,0.96201,64,64,0.91480,1.00922
2011,Single-person household,No,0.98388,3488,3488,0.97970,0.98806
2011,Couple without children,Yes,0.02746,122,4351,0.02261,0.03232
2011,Couple without children,No,0.96405,4229,4351,0.95851,0.96958
2011,Single parent,Yes,0.01041,33,2303,0.00626,0.01456
2011,Single parent,No,0.98835,2270,2303,0.98397,0.99273
2011,Couple with children,Yes,0.04920,348,6157,0.04380,0.05461
2011,Couple with children,No,0.94745,5809,6157,0.94188,0.95302
2011,Multi-generational household,No,0.99805,118,118,0.99005,1.00604
2011,Other Combinations,No,0.96307,95,95,0.92495,1.00120
2012,Single-person household,Yes,0.01193,39,3672,0.00842,0.01544
2012,Single-person household,No,0.98421,3633,3672,0.98017,0.98824
2012,Couple without children,Yes,0.03203,132,4436,0.02685,0.03721
2012,Couple without children,No,0.96241,4304,4436,0.95681,0.96801
2012,Single parent,Yes,0.00840,33,2179,0.00457,0.01224
2012,Single parent,No,0.99160,2146,2179,0.98776,0.99543
2012,Couple with children,Yes,0.05019,330,5771,0.04456,0.05583
2012,Couple with children,No,0.94792,5441,5771,0.94219,0.95366
2012,Multi-generational household,No,0.99764,117,117,0.98880,1.00647
2012,Other Combinations,No,0.94678,94,94,0.90115,0.99240
2013,Single-person household,Yes,0.01324,42,3840,0.00962,0.01685
2013,Single-person household,No,0.98576,3798,3840,0.98201,0.98951
2013,Couple without children,Yes,0.03304,139,4637,0.02790,0.03819
2013,Couple without children,No,0.96625,4498,4637,0.96105,0.97145
2013,Single parent,Yes,0.01274,35,2243,0.00810,0.01739
2013,Single parent,No,0.98439,2208,2243,0.97926,0.98952
2013,Couple with children,Yes,0.04738,340,6639,0.04227,0.05249
2013,Couple with children,No,0.95227,6299,6639,0.94714,0.95740
2013,Multi-generational household,No,0.97189,139,139,0.94431,0.99947
2013,Other Combinations,No,0.97833,349,349,0.96304,0.99363
2014,Single-person household,Yes,0.01914,52,3559,0.01464,0.02365
2014,Single-person household,No,0.97833,3507,3559,0.97355,0.98312
2014,Couple without children,Yes,0.04021,163,4359,0.03438,0.04604
2014,Couple without children,No,0.95822,4196,4359,0.95228,0.96416
2014,Single parent,No,0.98787,1784,1784,0.98279,0.99295
2014,Couple with children,Yes,0.05716,350,5698,0.05113,0.06319
2014,Couple with children,No,0.94269,5348,5698,0.93666,0.94873
2014,Multi-generational household,No,0.95790,119,119,0.92167,0.99414
2014,Other Combinations,No,0.98321,258,258,0.96750,0.99892
2015,Single-person household,Yes,0.01754,58,3615,0.01326,0.02182
2015,Single-person household,No,0.97946,3557,3615,0.97483,0.98408
2015,Couple without children,Yes,0.03680,152,4371,0.03122,0.04238
2015,Couple without children,No,0.96082,4219,4371,0.95507,0.96657
2015,Single parent,No,0.98732,1678,1678,0.98196,0.99267
2015,Couple with children,Yes,0.05048,320,5654,0.04478,0.05619
2015,Couple with children,No,0.94798,5334,5654,0.94219,0.95377
2015,Multi-generational household,No,0.94598,134,134,0.90756,0.98440
2015,Other Combinations,No,0.98541,247,247,0.97042,1.00039
2016,Single-person household,Yes,0.01809,54,3379,0.01359,0.02258
2016,Single-person household,No,0.97330,3325,3379,0.96787,0.97874
2016,Couple without children,Yes,0.03730,139,4092,0.03149,0.04310
2016,Couple without children,No,0.95996,3953,4092,0.95395,0.96597
2016,Single parent,Yes,0.02096,32,1523,0.01376,0.02816
2016,Single parent,No,0.97139,1491,1523,0.96302,0.97977
2016,Couple with children,Yes,0.05844,300,4989,0.05193,0.06494
2016,Couple with children,No,0.93230,4689,4989,0.92533,0.93927
2016,Multi-generational household,No,0.91713,103,103,0.86362,0.97063
2016,Other Combinations,No,0.96072,194,194,0.93332,0.98813
2017,Single-person household,Yes,0.02141,82,3824,0.01682,0.02599
2017,Single-person household,No,0.97027,3742,3824,0.96489,0.97566
2017,Couple without children,Yes,0.04331,189,4602,0.03743,0.04919
2017,Couple without children,No,0.95228,4413,4602,0.94612,0.95844
2017,Single parent,Yes,0.02555,40,1536,0.01766,0.03345
2017,Single parent,No,0.96225,1496,1536,0.95272,0.97178
2017,Couple with children,Yes,0.06198,339,5314,0.05550,0.06846
2017,Couple with children,No,0.92536,4975,5314,0.91830,0.93243
2017,Multi-generational household,No,0.93832,109,109,0.89294,0.98369
2017,Other Combinations,No,0.93729,251,251,0.90723,0.96734
2018,Single-person household,Yes,0.02091,67,4015,0.01648,0.02533
2018,Single-person household,No,0.96876,3948,4015,0.96337,0.97414
2018,Couple without children,Yes,0.04726,189,4535,0.04108,0.05343
2018,Couple without children,No,0.94822,4346,4535,0.94177,0.95467
2018,Single parent,Yes,0.01550,36,1510,0.00926,0.02173
2018,Single parent,No,0.97233,1474,1510,0.96405,0.98060
2018,Couple with children,Yes,0.07003,342,5014,0.06297,0.07710
2018,Couple with children,No,0.91424,4672,5014,0.90649,0.92199
2018,Multi-generational household,No,0.96203,112,112,0.92647,0.99759
2018,Other Combinations,No,0.92237,222,222,0.88709,0.95765
2019,Single-person household,Yes,0.01731,60,3259,0.01284,0.02179
2019,Single-person household,No,0.87231,3199,3259,0.86085,0.88377
2019,Couple without children,Yes,0.04300,166,3855,0.03660,0.04940
2019,Couple without children,No,0.85745,3689,3855,0.84641,0.86848
2019,Single parent,Yes,0.01802,35,1233,0.01059,0.02545
2019,Single parent,No,0.87240,1198,1233,0.85377,0.89103
2019,Couple with children,Yes,0.05858,290,4011,0.05131,0.06585
2019,Couple with children,No,0.82128,3721,4011,0.80942,0.83314
2019,Multi-generational household,No,0.88995,81,81,0.82137,0.95853
2019,Other Combinations,No,0.75598,156,156,0.68837,0.82360
2020,Single-person household,Yes,0.01995,105,4568,0.01589,0.02400
2020,Single-person household,No,0.96579,4463,4568,0.96052,0.97106
2020,Couple without children,Yes,0.03894,195,5002,0.03358,0.04430
2020,Couple without children,No,0.95385,4807,5002,0.94804,0.95967
2020,Single parent,Yes,0.02419,33,1336,0.01595,0.03243
2020,Single parent,No,0.96328,1303,1336,0.95320,0.97337
2020,Couple with children,Yes,0.06024,338,4884,0.05356,0.06691
2020,Couple with children,No,0.91551,4546,4884,0.90770,0.92331
2020,Multi-generational household,No,0.97417,112,112,0.94467,1.00368
