year,sampreg,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,West,Yes,0.01721,162,7436,0.01425,0.02016
2009,West,No,0.94479,7274,7436,0.93960,0.94999
2009,East,Yes,0.01289,51,2488,0.00846,0.01733
2009,East,No,0.94643,2437,2488,0.93758,0.95528
2010,West,Yes,0.01902,311,10560,0.01642,0.02163
2010,West,No,0.96570,10249,10560,0.96223,0.96917
2010,East,Yes,0.01769,81,3138,0.01307,0.02230
2010,East,No,0.96558,3057,3138,0.95920,0.97196
2011,West,Yes,0.02534,455,12817,0.02262,0.02806
2011,West,No,0.96925,12362,12817,0.96626,0.97224
2011,East,Yes,0.01975,84,3731,0.01529,0.02422
2011,East,No,0.97273,3647,3731,0.96750,0.97796
2012,West,Yes,0.02763,447,12569,0.02477,0.03050
2012,West,No,0.96868,12122,12569,0.96564,0.97173
2012,East,Yes,0.02199,92,3705,0.01727,0.02672
2012,East,No,0.97438,3613,3705,0.96929,0.97947
2013,West,Yes,0.02779,484,14205,0.02508,0.03049
2013,West,No,0.97125,13721,14205,0.96851,0.97400
2013,East,Yes,0.02228,85,3655,0.01750,0.02707
2013,East,No,0.97730,3570,3655,0.97247,0.98213
2014,West,Yes,0.03516,511,12437,0.03193,0.03840
2014,West,No,0.96325,11926,12437,0.95994,0.96656
2014,East,Yes,0.02482,91,3377,0.01957,0.03006
2014,East,No,0.97379,3286,3377,0.96840,0.97918
2015,West,Yes,0.03086,469,12462,0.02782,0.03390
2015,West,No,0.96680,11993,12462,0.96366,0.96995
2015,East,Yes,0.02625,100,3276,0.02077,0.03173
2015,East,No,0.97125,3176,3276,0.96552,0.97697
2016,West,Yes,0.03347,444,11217,0.03014,0.03680
2016,West,No,0.95946,10773,11217,0.95581,0.96311
2016,East,Yes,0.02985,87,3069,0.02383,0.03587
2016,East,No,0.96172,2982,3069,0.95493,0.96851
2017,West,Yes,0.03897,557,12236,0.03554,0.04240
2017,West,No,0.95255,11679,12236,0.94878,0.95631
2017,East,Yes,0.02666,103,3410,0.02125,0.03207
2017,East,No,0.96262,3307,3410,0.95625,0.96898
2018,West,Yes,0.04033,535,11996,0.03681,0.04385
2018,West,No,0.94943,11461,11996,0.94551,0.95335
2018,East,Yes,0.03223,109,3422,0.02631,0.03814
2018,East,No,0.95695,3313,3422,0.95015,0.96375
2019,West,Yes,0.03460,463,9761,0.03097,0.03823
2019,West,No,0.85470,9298,9761,0.84771,0.86169
2019,East,Yes,0.03012,97,2843,0.02384,0.03640
2019,East,No,0.86714,2746,2843,0.85466,0.87962
2020,West,Yes,0.03434,537,12783,0.03118,0.03749
2020,West,No,0.95086,12246,12783,0.94711,0.95460
2020,East,Yes,0.03498,144,3416,0.02882,0.04114
2020,East,No,0.95043,3272,3416,0.94315,0.95771
2021,West,Yes,0.03243,356,7752,0.02848,0.03637
2021,West,No,0.85253,7396,7752,0.84464,0.86042
2021,East,Yes,0.03685,86,2168,0.02892,0.04478
2021,East,No,0.84825,2082,2168,0.83314,0.86336
2022,West,Yes,0.05263,1005,14965,0.04905,0.05621
2022,West,No,0.93394,13960,14965,0.92996,0.93792
2022,East,Yes,0.04320,230,4191,0.03704,0.04936
2022,East,No,0.94322,3961,4191,0.93622,0.95023
